Feature,Importance
SPS_log2_max_pic_order_cnt_lsb_minus4,1.3205475141089917
sbgp,1.241089637941403
sgpd,1.2410890977304552
mvhd_Modify Time,1.2024961103654854
SPS_pic_width_in_mbs_minus1,1.1426533451172032
SPS_vui.num_reorder_frames,1.0812173021803066
mvhd_Timescale,1.077495590926932
ctts,0.9994464299095384
meta,0.894112116380907
tkhd(2)_Create Time,0.8526470491867902
mdhd(2)_Create Time,0.8526470491867902
tkhd_Create Time,0.8408601196888449
mdhd_Create Time,0.8408601196888444
tkhd_Modify Time,0.8254941828913973
mdhd_Modify Time,0.8254941828913973
SPS_vui.max_dec_frame_buffering,0.8143545734149368
mdhd(2)_Modify Time,0.8137072533934526
tkhd(2)_Modify Time,0.8137072533934526
ftyp_Compatible Brands,0.8126580363866275
ftyp_Major Brand,0.7913428853846854
SPS_log2_max_frame_num_minus4,0.7860726050381416
SPS_pic_order_cnt_type,0.7771190213245733
name(2),0.7477395505864358
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.7455941918365583
SPS_vui.aspect_ratio_idc,0.7125781642977095
SPS_vui.video_format,0.6883880666729016
stco(2),0.6687243160521399
mdhd(2)_Timescale,0.6312300290947679
SPS_frame_crop_bottom_offset,0.5872253529670162
SPS_vui.bitstream_restriction_flag,0.5449320018225288
hdlr(4),0.5447725732525893
hdlr(3),0.54476018483355
SPS_vui.log2_max_mv_length_vertical,0.5401261623301721
tkhd(2)_Width,0.5335508565144863
tkhd(2)_Height,0.5335508565144863
ftyp_Minor Version,0.5115350450308764
SPS_vui.log2_max_mv_length_horizontal,0.5060132432172659
tkhd_Width,0.5047262950670516
tkhd_Height,0.5047262950670516
sdtp,0.4997843452683167
SPS_vui.fixed_frame_rate_flag,0.48913752956604994
smrd,0.4745154203044869
SPS_frame_crop_right_offset,0.4651461095344751
mvhd_Create Time,0.463858192214758
smta,0.44456498214014945
tapt,0.43483988352557945
SDLN,0.42893484036675295
SPS_vui.aspect_ratio_info_present_flag,0.38793267156868
SPS_vui.time_scale,0.38603179516642605
sequence,0.3822430843251748
SPS_profile_idc,0.37366827113651996
meta(2),0.36295241170279163
SPS_level_idc,0.3591821233036896
SPS_constraint_set0_flag,0.341476625092508
SPS_vui.matrix_coefficients,0.30864159348004516
SPS_vui.colour_primaries,0.3072652845865431
SPS_vui.transfer_characteristics,0.30110533976199544
SPS_vui.max_bits_per_mb_denom,0.28754613133292856
SPS_vui.max_bytes_per_pic_denom,0.28731254203166695
SPS_frame_cropping_flag,0.2854553706079626
mdhd(2)_Language Code,0.283895711352928
SPS_vui_parameters_present_flag,0.2828630513809042
SPS_vui.timing_info_present_flag,0.25676670176781685
auth,0.2554081727950474
cslg,0.25128705678885455
stss,0.2411425870728108
sbgp(2),0.22269791523002447
SPS_constraint_set1_flag,0.20999749201819867
sgpd(2),0.20781438387043033
elst_Rate,0.20470609980467863
free,0.1997629694064836
SPS_constraint_set3_flag,0.1915840136198057
SPS_seq_parameter_set_id,0.1915840136198057
SPS_direct_8x8_inference_flag,0.1915840136198057
SPS_frame_mbs_only_flag,0.1915840136198057
SPS_constraint_set2_flag,0.1915840136198057
SPS_constraint_set4_flag,0.19158401361980565
SPS_constraint_set5_flag,0.19158401361980565
SPS_gaps_in_frame_num_value_allowed_flag,0.19158401361980565
mdhd_Timescale,0.1684762877726634
elst(2)_Media Time,0.15565665290829242
