Feature,Importance
SPS_vui.num_reorder_frames,0.08165300047542434
SPS_log2_max_frame_num_minus4,0.06809698976150841
sgpd,0.06803855877825543
sbgp,0.06408367680497165
SPS_vui.max_dec_frame_buffering,0.061742824815386045
ftyp_Compatible Brands,0.034794748266472414
SPS_vui.log2_max_mv_length_horizontal,0.02934132683606109
SPS_vui.log2_max_mv_length_vertical,0.026873889108958254
elst(2)_Media Time,0.02444822769959655
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.023564122914798622
SPS_log2_max_pic_order_cnt_lsb_minus4,0.022435424729184292
mdhd_Timescale,0.021347243657102798
SDLN,0.018992834773640187
sequence,0.018945437155780967
SPS_num_ref_frames,0.018136878334101162
SPS_pic_order_cnt_type,0.017912481365810407
SPS_vui.max_bits_per_mb_denom,0.017461167425687665
tapt,0.016978277603781556
mvhd_Timescale,0.01675091109245957
SPS_vui.max_bytes_per_pic_denom,0.016413999999915867
mdhd(2)_Language Code,0.016005225887269988
ctts,0.015135356108941598
mdhd(2)_Modify Time,0.01491925274011574
tkhd_Modify Time,0.014832469866028207
mdhd(2)_Timescale,0.01370608319800959
SPS_vui.colour_primaries,0.013134565307536112
hdlr(4),0.012722951479761603
ftyp_Minor Version,0.012459809849263244
ftyp_Major Brand,0.01215929121620418
mdhd_Modify Time,0.011868192326368925
SPS_constraint_set4_flag,0.011790332684477284
SPS_vui.matrix_coefficients,0.010939730237704108
SPS_seq_parameter_set_id,0.010645852577970738
hdlr(3),0.00959220511072811
smrd,0.008588034643981031
mvhd_Modify Time,0.007154728042800169
SPS_vui.timing_info_present_flag,0.006991097551522167
SPS_pic_height_in_map_units_minus1,0.0066661624791497795
mdhd_Create Time,0.006376662609399705
SPS_level_idc,0.005926745647631282
SPS_vui.bitstream_restriction_flag,0.005873510463981126
tkhd(2)_Modify Time,0.005831997470187105
SPS_vui.fixed_frame_rate_flag,0.005123840302958161
SPS_vui.video_signal_type_present_flag,0.0051070327954070216
GOP,0.005093198448748131
tkhd_Create Time,0.004910279168226318
SPS_constraint_set1_flag,0.003807111227351009
SPS_constraint_set3_flag,0.003242783512232098
meta,0.0032418976422187128
SPS_vui.aspect_ratio_idc,0.0031847584800984404
elst_Media Time,0.0031444638202009338
auth,0.0031096434021024716
SPS_vui.num_units_in_tick,0.00309731279435954
SPS_profile_idc,0.003066768189271476
hdlr(6),0.00292716601686412
SPS_pic_width_in_mbs_minus1,0.0028082462888488298
SPS_constraint_set5_flag,0.002785578523419608
sdtp,0.00254127830378918
tkhd(2)_Create Time,0.0025371887481188114
elst(2)_Rate,0.0023949258135165306
mdhd_Language Code,0.0023746823814399676
hdlr,0.0021957540076372895
SPS_vui.video_format,0.002056865923107227
smta,0.001906536743876988
mdhd(2)_Create Time,0.001849138895250364
SPS_vui.overscan_info_present_flag,0.001668560334574566
mvhd_Create Time,0.0016300606016087101
stco(2),0.0015684140570128946
SPS_qpprime_y_zero_transform_bypass_flag,0.0012281302918018314
SPS_vui.aspect_ratio_info_present_flag,0.0011584681075643847
SPS_seq_scaling_matrix_present_flag,0.0010960980091603862
sbgp(2),0.0010676304834429796
SPS_frame_crop_bottom_offset,0.0009955317161102857
tkhd_Height,0.0009270480636830554
SPS_vui_parameters_present_flag,0.0009245692127869709
SPS_vui.time_scale,0.0008771607643446932
SPS_constraint_set2_flag,0.0007560264033663064
SPS_frame_mbs_only_flag,0.0007560049226951829
tkhd_Width,0.0007540367989900953
SPS_vui.vcl_hrd_parameters_present_flag,0.0007390460391875502
SPS_vui.pic_struct_present_flag,0.000690600086808187
stco,0.0006873546729198935
SPS_frame_crop_right_offset,0.0006819970597567254
SPS_vui.nal_hrd_parameters_present_flag,0.0006342428277044483
cslg,0.0006235902797943066
