Feature,Importance
GOP,2.260068849098733
ctts,1.9635804404179167
mvhd_Timescale,1.722680258670106
name(2),1.6277612695364228
sbgp,1.5493252232198584
sgpd,1.5493249410646655
mdhd_Timescale,1.5397920047036835
mvhd_Modify Time,1.4283629620308964
meta,1.4037867382574993
smrd,1.1506996081001104
ftyp_Compatible Brands,1.145932429130387
SDLN,1.0672981134642114
sdtp,1.0381307509590523
sequence,1.0195886908361635
auth,0.987379474068185
ftyp_Major Brand,0.9690406009743892
smta,0.9188789162483045
hdlr,0.8731320913447064
hdlr(4),0.8448818759044212
hdlr(3),0.8448588889337428
tref,0.7217827825396602
stco(2),0.6779115119109418
tkhd_Modify Time,0.6459764009895389
mdhd_Modify Time,0.6459764009895389
tkhd(2)_Create Time,0.6364930328341143
mdhd(2)_Create Time,0.6364930328341143
vhdr,0.6030396609556363
mdhd(2)_Modify Time,0.5920050288074316
tkhd(2)_Modify Time,0.5920050288074316
tkhd_Create Time,0.582521660652007
mdhd_Create Time,0.582521660652007
tapt,0.5801886678751932
ftyp_Minor Version,0.5615439206898457
type,0.543340794833573
elst_Rate,0.5404885833152111
stss,0.46902606995187524
elst(2)_Media Time,0.46795520579757194
elst_Media Time,0.40687165434640227
meta(2),0.3932050089651884
mdhd_Language Code,0.3551511118551232
sbgp(2),0.3473298289821986
sgpd(2),0.32929450591273607
cslg,0.3269645080653384
mdhd(2)_Timescale,0.32590267825893604
free,0.2924506010707522
hdlr(2),0.22871079478041567
stsz_Sample Size,0.22255530480306548
tkhd_Track ID,0.22255530480306548
dinf,0.22255530480306543
elst(2)_Rate,0.21560212837593276
mvhd_Create Time,0.19986490038935245
vmhd,0.19747430582428266
tkhd(2)_Height,0.175656111267728
tkhd(2)_Width,0.175656111267728
mvhd_Next Track ID,0.1507297131579131
tkhd(3)_Track ID,0.11501757002973287
tkhd(3)_Create Time,0.11501757002973287
tkhd(3)_Modify Time,0.11501757002973287
tkhd(3)_Width,0.11501757002973287
mdhd(3)_Modify Time,0.11501757002973287
tkhd(3)_Height,0.11501757002973287
mdhd(3)_Create Time,0.11501757002973287
mdhd(4)_Modify Time,0.11106815240017072
tkhd(4)_Create Time,0.11106815240017072
mdhd(4)_Create Time,0.11106815240017072
tkhd(4)_Modify Time,0.11106815240017072
tkhd(4)_Width,0.11106815240017072
tkhd(4)_Height,0.11106815240017072
skip,0.1105823658696319
smme,0.11058236586963147
stco,0.09846569003889503
soct,0.09254796140919429
tagc,0.08213556506203525
tagc(3),0.08213556506203525
tapt(2),0.08213556506203512
tagc(2),0.08213556506203479
sgpd(5),0.08213556506203465
ctts(2),0.08213556506203465
sbgp(3),0.08213556506203465
cslg(2),0.08213556506203465
stss(2),0.0821355650620344
tgas,0.0680386663019035
tkhd(5)_Track ID,0.06589492228988017
tkhd(5)_Height,0.06589492228988017
tkhd(5)_Create Time,0.06589492228988017
tkhd(5)_Modify Time,0.06589492228988017
mdhd(5)_Modify Time,0.06589492228988017
mdhd(5)_Create Time,0.06589492228988017
tkhd(5)_Width,0.06589492228988017
tkhd_Height,0.059749982424272485
tkhd_Width,0.059749982424272485
mdhd(2)_Language Code,0.059125330868395415
sgpd(3),0.057919917053215454
csgm(2),0.05454233994314616
sgpd(4),0.05358320109149045
csgm,0.05353241555116444
stsz(5)_Sample Size,0.04734951710606792
stco(5),0.046588287712680344
dinf(2),0.03377056378142049
tkhd(2)_Track ID,0.0337705637814204
smhd,0.0337705637814204
dinf(3),0.031616075393835
elst(3)_Rate,0.031616075393835
gmhd,0.031616075393835
hdlr(6),0.03161607539383485
mdhd(3)_Language Code,0.03161607539383485
hdlr(5),0.031607820005585235
mdhd(3)_Timescale,0.03065223158493328
mdhd(4)_Timescale,0.027666657764273038
mdhd(4)_Language Code,0.027666657764273038
hdlr(8),0.027666657764273038
tkhd(4)_Track ID,0.027666657764273038
hdlr(7),0.027666657764272944
dinf(4),0.027666657764272944
elst(4)_Rate,0.027320724985312482
elst(4)_Media Time,0.027011001522144227
gmhd(2),0.02640072819041015
elst(5)_Media Time,0.017852505124978314
elst(5)_Rate,0.017852505124978095
mdhd(5)_Timescale,0.017506572346017796
hdlr(10),0.017506572346017796
mdhd(5)_Language Code,0.017506572346017796
hdlr(9),0.017506572346017366
dinf(5),0.017506572346017366
tref(3),0.017506572346017366
gmhd(3),0.017506572346017366
tref(2),0.017297305722716524
stsz(3)_Sample Size,0.014745150136275427
stco(4),0.011555036119225355
elst(3)_Media Time,0.007630654146354977
stsz(4)_Sample Size,0.007198834467474896
stco(3),0.00313551122766306
stsz(2)_Sample Size,0.0016379108167566868
vmhd(2),0.0012659295738630275
sdtp(2),0.0012659295738630275
mvhd_Preferred Volume,0.0
0,0.0
free(2),0.0
wide,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
mvhd_Preferred Rate,0.0
co64(2)_Entry Count,0.0
mvhd_Duration,0.0
co64_Entry Count,0.0
elst(4)_Entry Count,0.0
stsz(5)_Sample Count,0.0
stsc(5)_Entry Count,0.0
tkhd(3)_Duration,0.0
SPS,0.0
tkhd_Duration,0.0
stsz(2)_Sample Count,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
stsz_Sample Count,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
mdhd_Duration,0.0
elst_Entries,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
mdhd(3)_Duration,0.0
stsc(4)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
mdhd(5)_Duration,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsz(4)_Sample Count,0.0
stts(4)_Entry Count,0.0
stsd(3)_Entry Count,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Duration,0.0
elst(4)_Entries,0.0
elst_Entry Count,0.0
tkhd(4)_Duration,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
