Feature,Importance
GOP,1.3361141790631144
SPS_log2_max_pic_order_cnt_lsb_minus4,1.284725357637114
sbgp,1.210559254194885
sgpd,1.2105588211688922
mvhd_Modify Time,1.154575816107031
SPS_pic_width_in_mbs_minus1,1.0888627947763874
SPS_vui.num_reorder_frames,1.05077522001519
mvhd_Timescale,1.047289091406036
ctts,0.9985600575082618
meta,0.9225726203519502
tkhd(2)_Create Time,0.8523684983479892
mdhd(2)_Create Time,0.8523684983479892
mdhd_Create Time,0.8399280111593838
tkhd_Create Time,0.8399280111593826
SPS_vui.max_dec_frame_buffering,0.8317986103873082
SPS_log2_max_frame_num_minus4,0.8161955615165443
ftyp_Compatible Brands,0.8016989809833132
tkhd_Modify Time,0.7892254626353866
mdhd_Modify Time,0.7892254626353866
mdhd(2)_Modify Time,0.7767849754467822
tkhd(2)_Modify Time,0.7767849754467822
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.7753766615283857
ftyp_Major Brand,0.7732487771043562
SPS_pic_order_cnt_type,0.7502638386637593
name(2),0.729252076478934
mdhd(2)_Timescale,0.7194560185139595
SPS_vui.video_format,0.6820090044149796
stco(2),0.6715583163785367
SPS_vui.aspect_ratio_idc,0.6382024358182854
SPS_vui.bitstream_restriction_flag,0.5481394562570657
hdlr(4),0.5412420863464865
hdlr(3),0.5412282048389685
sdtp,0.519227068979674
SPS_frame_crop_bottom_offset,0.5054241263219014
ftyp_Minor Version,0.49810558510958397
SPS_vui.log2_max_mv_length_vertical,0.4927764185682954
smrd,0.47601805470173764
mvhd_Create Time,0.4745776576877396
tkhd(2)_Width,0.4671177130368123
tkhd(2)_Height,0.4671177130368123
SPS_vui.log2_max_mv_length_horizontal,0.4502158384962596
smta,0.4397692788856938
tapt,0.43689001948339407
tkhd_Width,0.4338575161683319
tkhd_Height,0.4338575161683319
SDLN,0.43062204961243666
SPS_frame_crop_right_offset,0.40143634224085994
SPS_vui.fixed_frame_rate_flag,0.38713309168544363
SPS_level_idc,0.3723742162749384
SPS_profile_idc,0.3576334857440805
SPS_vui.aspect_ratio_info_present_flag,0.3561967132029447
SPS_vui.matrix_coefficients,0.3389785535195702
SPS_vui.colour_primaries,0.33786784433728423
SPS_vui.transfer_characteristics,0.3203902520997339
SPS_vui.max_bits_per_mb_denom,0.31242134222208245
SPS_vui.max_bytes_per_pic_denom,0.3121852503817775
SPS_frame_cropping_flag,0.30990927431946963
meta(2),0.3081407026934213
SPS_constraint_set0_flag,0.28924531875329923
SPS_vui_parameters_present_flag,0.2833766022487415
cslg,0.2727001040523089
auth,0.25883304282969055
SPS_vui.time_scale,0.24789525507371446
stss,0.21703898545883651
sbgp(2),0.21345629253565415
SPS_constraint_set1_flag,0.20645903504812746
SPS_frame_mbs_only_flag,0.2024285646977524
SPS_direct_8x8_inference_flag,0.2024285646977524
SPS_constraint_set4_flag,0.2024285646977524
SPS_constraint_set3_flag,0.2024285646977524
SPS_constraint_set2_flag,0.2024285646977524
SPS_constraint_set5_flag,0.2024285646977522
SPS_gaps_in_frame_num_value_allowed_flag,0.2024285646977522
SPS_seq_parameter_set_id,0.2024285646977522
SPS_vui.timing_info_present_flag,0.19815377860983147
sgpd(2),0.19653937800363935
elst_Rate,0.17043303566175536
SPS_chroma_format_idc,0.1681229675248778
SPS_bit_depth_luma_minus8,0.1681229675248778
SPS_bit_depth_chroma_minus8,0.1681229675248778
SPS_qpprime_y_zero_transform_bypass_flag,0.1681229675248778
SPS_seq_scaling_matrix_present_flag,0.15626333525159108
free,0.15370616244690702
elst(2)_Media Time,0.14029245959828757
stco,0.13866749058520306
hdlr,0.1302971758033081
SPS_num_ref_frames,0.129446883219482
SPS_frame_crop_top_offset,0.12260842691297784
SPS_frame_crop_left_offset,0.12260842691297784
vhdr,0.1185343061312586
SPS_vui.num_units_in_tick,0.10173231481998005
type,0.0989377892006617
mdhd(2)_Language Code,0.09865846319131479
SPS_vui.video_full_range_flag,0.09762255909036947
SPS_vui.video_signal_type_present_flag,0.08954700572794272
tkhd(3)_Track ID,0.08334260217988958
mdhd(3)_Modify Time,0.08334260217988958
mdhd(3)_Create Time,0.08334260217988958
tkhd(3)_Height,0.08334260217988958
tkhd(3)_Width,0.08334260217988958
tkhd(3)_Modify Time,0.08334260217988958
tkhd(3)_Create Time,0.08334260217988958
tref,0.08297206058223153
SPS_vui.vcl_hrd_parameters_present_flag,0.08113487769252564
SPS_vui.overscan_info_present_flag,0.08113487769252564
tkhd(4)_Modify Time,0.07894917668733525
mdhd(4)_Modify Time,0.07894917668733525
tkhd(4)_Height,0.07894917668733525
tkhd(4)_Width,0.07894917668733525
tkhd(4)_Create Time,0.07894917668733503
mdhd(4)_Create Time,0.07894917668733503
SPS_vui.pic_struct_present_flag,0.07710440734215117
SPS_vui.nal_hrd_parameters_present_flag,0.07710440734215114
mvhd_Next Track ID,0.07216215953540424
mdhd_Language Code,0.07180057114159616
elst(2)_Rate,0.07157058370166174
vmhd,0.06616011673795125
SPS_vui.chroma_loc_info_present_flag,0.06158264814348968
elst_Media Time,0.06093518680374104
SPS_vui.colour_description_present_flag,0.058545106890869614
smme,0.05250080650571435
skip,0.0525008065057143
soct,0.04988279657336714
tkhd(5)_Track ID,0.045633762618615674
tkhd(5)_Modify Time,0.045633762618615674
tkhd(5)_Create Time,0.045633762618615674
mdhd(5)_Modify Time,0.045633762618615674
mdhd(5)_Create Time,0.045633762618615674
tkhd(5)_Width,0.04563376261861564
tkhd(5)_Height,0.04563376261861564
stss(2),0.04178994934564328
tagc(3),0.04178994934564317
tagc,0.04178994934564317
tagc(2),0.04178994934564305
cslg(2),0.04178994934564282
ctts(2),0.04178994934564282
sgpd(5),0.04178994934564144
