Feature,Importance
ctts,1.9303399040193208
mvhd_Timescale,1.7627362209658939
name(2),1.7602853291897014
sbgp,1.667782968021279
sgpd,1.6677825603671348
mdhd_Timescale,1.6223226890280618
mvhd_Modify Time,1.4721275659009545
meta,1.19302234683452
ftyp_Compatible Brands,1.1748310708218315
sequence,1.1480464726450628
smrd,1.1176449136944155
SDLN,1.0398463912048712
auth,1.0333670637946697
sdtp,0.9941461675259445
ftyp_Major Brand,0.9743313295763487
smta,0.9432578800540247
mdhd(2)_Timescale,0.9065866383821161
hdlr,0.8680384960808275
hdlr(4),0.8605239362768816
hdlr(3),0.8605036376953005
tref,0.7336557461190402
stss,0.6828141818595655
stco(2),0.6731366526259368
elst_Rate,0.6571505943469077
vhdr,0.6363573287611554
mdhd(2)_Create Time,0.6350746791126549
tkhd(2)_Create Time,0.6350746791126549
tkhd_Modify Time,0.5994765449250123
mdhd_Modify Time,0.5994765449250123
mdhd_Create Time,0.5820183905836732
tkhd_Create Time,0.5820183905836732
tapt,0.5641817340680731
type,0.5596760869810244
mdhd(2)_Modify Time,0.5464202563960311
tkhd(2)_Modify Time,0.5464202563960311
elst(2)_Media Time,0.5463626533043731
ftyp_Minor Version,0.5204989051148265
meta(2),0.4666179802746478
elst_Media Time,0.4210652212009364
sbgp(2),0.4112595404520831
sgpd(2),0.39998311632749783
mdhd_Language Code,0.3869879549439041
mdhd(2)_Language Code,0.3645549730371143
mvhd_Create Time,0.2906326303922676
free,0.281427887542769
tkhd(2)_Width,0.28094691045466286
tkhd(2)_Height,0.28094691045466286
cslg,0.2725421820296813
tkhd_Width,0.22261455976469546
tkhd_Height,0.22261455976469546
elst(2)_Rate,0.18005832310141406
hdlr(2),0.17303249365403084
dinf,0.1675527390967637
stsz_Sample Size,0.16755273909676358
tkhd_Track ID,0.16755273909676358
vmhd,0.1645247911482183
mvhd_Next Track ID,0.15929787921221988
stco,0.1438733742921578
mdhd(3)_Modify Time,0.12192130858130901
mdhd(3)_Create Time,0.12192130858130901
tkhd(3)_Height,0.12192130858130901
tkhd(3)_Track ID,0.12192130858130901
tkhd(3)_Create Time,0.12192130858130901
tkhd(3)_Modify Time,0.12192130858130901
tkhd(3)_Width,0.12192130858130901
tkhd(4)_Create Time,0.11990637953707242
tkhd(4)_Modify Time,0.11990637953707242
tkhd(4)_Width,0.11990637953707242
tkhd(4)_Height,0.11990637953707242
mdhd(4)_Create Time,0.11990637953707242
mdhd(4)_Modify Time,0.11990637953707242
smme,0.0991074219342316
skip,0.09910742193423137
soct,0.09032032757118298
cslg(2),0.07636351069655009
ctts(2),0.07636351069655009
sbgp(3),0.07636351069655009
sgpd(5),0.07636351069655009
stss(2),0.07636351069655004
tapt(2),0.07636351069654959
tagc(3),0.07636351069654937
tagc,0.07636351069654913
tagc(2),0.07636351069654901
tkhd(5)_Height,0.06220225328295692
tkhd(5)_Width,0.06220225328295692
tkhd(5)_Create Time,0.06220225328295692
tkhd(5)_Modify Time,0.06220225328295692
mdhd(5)_Create Time,0.06220225328295692
tkhd(5)_Track ID,0.06220225328295692
mdhd(5)_Modify Time,0.062202253282956865
sgpd(3),0.0588712119578566
csgm(2),0.057114516812037615
sgpd(4),0.055891129923163176
csgm,0.055867453678219624
stsz(2)_Sample Size,0.053761849576674056
stsz(5)_Sample Size,0.04615413525133016
hdlr(6),0.04412278609176135
mdhd(3)_Language Code,0.04412278609176135
dinf(3),0.044122786091760506
gmhd,0.044122786091760506
elst(3)_Rate,0.044122786091760506
hdlr(5),0.04411342808343299
mdhd(3)_Timescale,0.04303020775175
stco(5),0.04284895480462171
mdhd(4)_Timescale,0.042107857047524386
mdhd(4)_Language Code,0.042107857047524386
hdlr(8),0.042107857047524386
tkhd(4)_Track ID,0.042107857047524386
hdlr(7),0.0421078570475231
dinf(4),0.0421078570475231
elst(4)_Rate,0.04186384922254834
elst(4)_Media Time,0.04163318154929646
gmhd(2),0.04067284525452432
tref(2),0.03346381425803686
tgas,0.0327474231624056
stsz(3)_Sample Size,0.03131061808849496
smhd,0.018031160006584133
tkhd(2)_Track ID,0.018031160006584133
dinf(2),0.01803116000658408
elst(3)_Media Time,0.01707755558786777
elst(5)_Rate,0.015840277031566614
elst(5)_Media Time,0.015840277031566406
hdlr(9),0.015596269206591882
tref(3),0.015596269206591882
gmhd(3),0.015596269206591882
hdlr(10),0.01559626920659163
mdhd(5)_Language Code,0.01559626920659163
dinf(5),0.015596269206591013
mdhd(5)_Timescale,0.015596269206590649
stsz(4)_Sample Size,0.01153304717451563
stco(3),0.005383699357733387
stco(4),0.0018634949560800192
sdtp(2),0.0014350117929985656
vmhd(2),0.001435011792998565
mvhd_Preferred Volume,0.0
mvhd_Duration,0.0
wide,0.0
mvhd_Preferred Rate,0.0
0,0.0
stts_Entry Count,0.0
mdhd_Duration,0.0
co64_Entry Count,0.0
elst(2)_'Duration,0.0
elst_Entries,0.0
elst_'Duration,0.0
free(2),0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
co64(2)_Entry Count,0.0
stsd_Entry Count,0.0
elst(3)_Entry Count,0.0
stsc_Entry Count,0.0
mdhd(4)_Duration,0.0
tkhd(3)_Duration,0.0
stsz(2)_Sample Count,0.0
mdhd(3)_Duration,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
tkhd(4)_Duration,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
stsd(4)_Entry Count,0.0
stsz_Sample Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Duration,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(3)_Entries,0.0
mdhd(5)_Duration,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
stsz(3)_Sample Count,0.0
