Feature,Importance
GOP,1.2281979650255543
meta,0.8038830143053698
SPS_vui.matrix_coefficients,0.8004191918419233
SPS_vui.colour_primaries,0.7990463302787513
sgpd,0.7160465945983215
sbgp,0.7160465757176617
SPS_vui.transfer_characteristics,0.7053446170705864
SPS_log2_max_pic_order_cnt_lsb_minus4,0.6475975304481592
ctts,0.5973449494807705
stss,0.550963131650575
SPS_vui.num_reorder_frames,0.5127409527056248
SPS_constraint_set0_flag,0.5123522756946295
SPS_vui.fixed_frame_rate_flag,0.5013683332963624
SPS_vui.time_scale,0.4837133073573698
elst(2)_Media Time,0.42734480681195725
mdhd(2)_Timescale,0.42609604186983707
mdhd_Timescale,0.4166916879148464
SPS_pic_order_cnt_type,0.4034787399427393
SPS_vui.timing_info_present_flag,0.36825725942203874
SPS_vui.log2_max_mv_length_horizontal,0.3463341728560683
mdhd_Language Code,0.3377811664980937
mvhd_Create Time,0.32704180323155346
mvhd_Modify Time,0.3195778753855609
SPS_frame_crop_top_offset,0.31639725178636535
SPS_frame_crop_left_offset,0.31639725178636535
SPS_level_idc,0.3141150246355401
mdhd_Create Time,0.3102175820326268
tkhd_Create Time,0.3102175820326268
mdhd(2)_Create Time,0.30995434048552456
tkhd(2)_Create Time,0.30995434048552456
tkhd_Modify Time,0.3027536541866307
mdhd_Modify Time,0.3027536541866307
tkhd(2)_Modify Time,0.30249041263952914
mdhd(2)_Modify Time,0.30249041263952914
SPS_vui.log2_max_mv_length_vertical,0.3006663877621175
SPS_vui.max_dec_frame_buffering,0.2631115660594488
SPS_vui.colour_description_present_flag,0.2316596481986446
ftyp_Minor Version,0.21753329098983437
SPS_vui.video_full_range_flag,0.20944558830938462
SPS_pic_height_in_map_units_minus1,0.20939261743474355
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.19879156169473525
SPS_vui.max_bits_per_mb_denom,0.19853164157820422
SPS_vui.max_bytes_per_pic_denom,0.1985315090275762
SPS_pic_width_in_mbs_minus1,0.19729291459768375
mvhd_Timescale,0.1961928434171476
mdhd(2)_Language Code,0.19444999551687142
SPS_vui.video_signal_type_present_flag,0.18861300755293262
SPS_vui.num_units_in_tick,0.18251740613890807
SPS_frame_cropping_flag,0.17369904921694432
ftyp_Major Brand,0.16708869567997756
elst(2)_Rate,0.14149097521995851
SPS_vui.video_format,0.14144632547118005
SPS_log2_max_frame_num_minus4,0.13771334746205866
smrd,0.1367031668562256
SDLN,0.13207089325268492
tkhd(2)_Height,0.11033954079796487
tkhd(2)_Width,0.11033954079796487
elst_Rate,0.1012773319314249
ftyp_Compatible Brands,0.09979433478648793
