Feature,Importance
sgpd(3),0.10198907
stsz(2)_Sample Size,0.04471819
csgm,0.0425852
SPS_vui.fixed_frame_rate_flag,0.038630627
SPS_vui.time_scale,0.03391061
name(2),0.029707378
tref(2),0.02957435
tkhd_Track ID,0.028132182
type,0.027230885
SPS_num_ref_frames,0.02717398
hdlr(3),0.02636571
SPS_vui.transfer_characteristics,0.026293356
vmhd,0.02494418
csgm(2),0.02331183
ftyp_Minor Version,0.022686757
SPS_log2_max_pic_order_cnt_lsb_minus4,0.02262256
sgpd,0.02204642
SPS_vui.aspect_ratio_idc,0.021813156
auth,0.021382255
ftyp_Major Brand,0.021128653
SPS_profile_idc,0.02031355
SPS_vui_parameters_present_flag,0.018639414
mvhd_Timescale,0.01762109
SPS_vui.chroma_sample_loc_type_top_field,0.01669718
mvhd_Next Track ID,0.014819694
elst_Media Time,0.013791931
mdhd_Language Code,0.013597668
SPS_vui.log2_max_mv_length_horizontal,0.013438368
mdhd_Timescale,0.0131683415
sgpd(2),0.012170502
SPS_vui.max_bytes_per_pic_denom,0.012110769
smta,0.011923865
SPS_vui.video_format,0.011570253
cslg,0.010549613
tkhd_Width,0.010422142
sdtp,0.0102694165
elst(2)_Media Time,0.0101374695
SPS_vui.colour_primaries,0.009613586
stsz(3)_Sample Size,0.009029893
mdhd(2)_Timescale,0.008968214
SPS_level_idc,0.0068277875
SPS_vui.bitstream_restriction_flag,0.006712038
elst_Rate,0.006559076
meta,0.0063211364
ctts,0.0058484757
mvhd_Create Time,0.0058154156
GOP,0.0057725087
mdhd(2)_Language Code,0.0048971735
SPS_frame_crop_bottom_offset,0.004754131
stco(3),0.0047072805
SPS_pic_height_in_map_units_minus1,0.00430308
SPS_pic_width_in_mbs_minus1,0.0040578344
tkhd_Create Time,0.0039391676
hdlr,0.0039275927
elst(4)_Media Time,0.0032323543
SPS_frame_crop_left_offset,0.0026653165
tref,0.002280434
stsz(4)_Sample Size,0.0020848876
stco(4),0.0020091226
meta(2),0.001954714
SPS_vui.num_reorder_frames,0.0015961452
SDLN,0.0013995944
SPS_pic_order_cnt_type,0.0013282343
SPS_frame_cropping_flag,0.0013208583
SPS_seq_scaling_matrix_present_flag,0.0013054243
free,0.0011365103
tkhd(2)_Track ID,0.0010831824
stss,0.00073617656
SPS_vui.matrix_coefficients,0.0007360147
stsz(5)_Sample Size,0.00065021304
stco(5),0.0005861919
stco(2),0.00057223113
elst(5)_Media Time,0.0005403176
stco,0.00053379167
SPS_frame_crop_right_offset,0.0005010382
tkhd(2)_Create Time,0.00045126938
SPS_constraint_set0_flag,0.00043301095
tkhd(2)_Width,0.00041795487
tapt,0.0003708965
SPS_vui.video_full_range_flag,0.00028763845
elst(3)_Media Time,0.00016463222
SPS_vui.video_signal_type_present_flag,7.880871e-05
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
smme,0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
mdhd(5)_Language Code,0.0
elst(5)_Entries,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
hdlr(7),0.0
gmhd(2),0.0
0,0.0
hdlr(8),0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
skip,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
elst(5)_Rate,0.0
dinf(5),0.0
tgas,0.0
stts(5)_Entry Count,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
SPS_hrd.time_offset_length,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
sbgp(3),0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
mdhd(4)_Duration,0.0
SPS_vui.max_bits_per_mb_denom,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_vui.log2_max_mv_length_vertical,0.0
SPS_vui.max_dec_frame_buffering,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_vui.num_units_in_tick,0.0
SPS_hrd.bit_rate_scale,0.0
sdtp(2),0.0
stss(2),0.0
vhdr,0.0
smrd,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
co64(2)_Entry Count,0.0
SPS_hrd.cpb_cnt_minus1,0.0
