Feature,Importance
elst_Media Time,0.04155682813255211
mdhd(2)_Timescale,0.041125439824970786
mdhd_Timescale,0.03913201007250274
auth,0.03800694502529707
GOP,0.03424791623345985
mvhd_Timescale,0.025063724903296385
elst(2)_Media Time,0.024995789248686125
mdhd_Language Code,0.02290946985276573
ctts,0.022424758929671596
meta,0.02201642486806296
sgpd,0.021527895104827964
sbgp,0.020805294701948585
mdhd(2)_Language Code,0.02009841034695984
stco,0.018899308955995852
elst_Rate,0.018630693742158456
ftyp_Minor Version,0.01856378761711734
tkhd(2)_Height,0.017910895738078688
ftyp_Major Brand,0.017245457698499018
tkhd_Height,0.016694711784708972
type,0.016431243741094285
free,0.015902301433305732
stco(2),0.01585336167316214
sgpd(2),0.01536558292185346
hdlr,0.01527764839175834
sdtp,0.01500362671580991
smta,0.013853952111051875
stss,0.013790885747100166
mdhd(2)_Create Time,0.013581840197597774
tkhd_Width,0.013455082592443433
vhdr,0.01286951569803006
name(2),0.011905199660078646
ftyp_Compatible Brands,0.011795986387026154
cslg,0.011316969916084725
SDLN,0.01126795158991269
tkhd(2)_Create Time,0.011145635585388412
tkhd(2)_Modify Time,0.010780690180341508
smrd,0.0105252108464356
mdhd_Create Time,0.010458653348161479
tkhd(2)_Width,0.010213677050400596
mdhd_Modify Time,0.009619002292637907
vmhd,0.009213659597769087
tkhd_Create Time,0.00869387572116058
sgpd(4),0.00868634358766532
smme,0.008587908577906112
mdhd(2)_Modify Time,0.008336717710744465
dinf,0.008222935222653145
hdlr(2),0.007865063187754236
hdlr(3),0.007671521477228274
tkhd_Modify Time,0.007421122024904549
sbgp(2),0.006898736982671822
stsz(4)_Sample Size,0.005631655638299865
skip,0.005088082395950017
tref,0.004963899629273418
csgm(2),0.004910701712709953
csgm,0.004663262497699131
hdlr(4),0.004642718636338409
mvhd_Next Track ID,0.004626417481365832
hdlr(7),0.004592740731269207
elst(2)_Rate,0.004324046404564482
mdhd(4)_Timescale,0.004210973859827271
mdhd(4)_Create Time,0.004016324552017488
gmhd,0.003907582342697017
hdlr(6),0.0038125005296368586
tkhd(4)_Width,0.003719630779808887
tapt,0.0037136478612895805
meta(2),0.003672635916711885
mvhd_Create Time,0.0035910669642756237
tref(2),0.0035672286101807588
mvhd_Modify Time,0.003565128406539466
sgpd(3),0.003537328136590346
tkhd(4)_Modify Time,0.003456979349148492
elst(3)_Rate,0.0032789471018659926
tkhd(4)_Height,0.003225710102672204
mdhd(4)_Language Code,0.003162710839041076
mdhd(3)_Create Time,0.0030699177853776506
dinf(2),0.0030132128005653526
mdhd(4)_Modify Time,0.002941192913523052
tkhd(4)_Track ID,0.0028929842332332104
mdhd(3)_Language Code,0.0026538649772941897
hdlr(8),0.0026456187933731777
mdhd(5)_Create Time,0.002584346754840981
stsz(2)_Sample Size,0.002440691982616189
stco(3),0.00242020901526571
dinf(4),0.0023969953156975153
tkhd(3)_Modify Time,0.002350640673400494
tkhd(5)_Track ID,0.002340244407464607
tkhd(3)_Create Time,0.0023254608028060566
stco(4),0.002319513200324048
stsz(3)_Sample Size,0.002177393533734416
gmhd(2),0.0021584094665730567
tkhd(5)_Create Time,0.0021024412502286213
tkhd_Track ID,0.001725624950611107
mdhd(3)_Timescale,0.0016857597017748919
hdlr(5),0.0016708752510509336
tkhd(3)_Width,0.0016268738657923575
smhd,0.0015531895691251573
hdlr(9),0.0012858760215009688
tkhd(5)_Height,0.0012557669667021998
tkhd(3)_Track ID,0.0012352059966777196
