Feature,Importance
vmhd,0.057252426
name(2),0.056220833
tkhd_Track ID,0.055562478
sgpd(3),0.05076045
type,0.046315756
stsz(2)_Sample Size,0.03894906
csgm(2),0.037710316
auth,0.03470379
stsz(3)_Sample Size,0.03196218
tref(2),0.030241229
mdhd_Timescale,0.028583905
hdlr(3),0.028058613
mdhd(2)_Language Code,0.027294096
mdhd_Language Code,0.026879076
ftyp_Minor Version,0.026620239
elst(2)_Media Time,0.024599802
elst_Rate,0.02423913
free,0.024091914
sdtp,0.023725003
mvhd_Next Track ID,0.023214549
sgpd(2),0.022914434
tkhd_Create Time,0.021677421
elst_Media Time,0.020639496
mvhd_Create Time,0.019602308
tkhd_Width,0.018612146
smta,0.017502587
mvhd_Timescale,0.017145408
cslg,0.017054629
hdlr,0.016224755
ftyp_Major Brand,0.015791334
GOP,0.015280122
mdhd(2)_Timescale,0.0147156855
meta(2),0.013251408
csgm,0.010970415
meta,0.010455786
stco(4),0.009862134
sgpd,0.009837359
ctts,0.005537142
tkhd(2)_Width,0.00461583
stco(2),0.0042991745
stco(3),0.0040744245
stsz(4)_Sample Size,0.0032115534
stco,0.002750798
sbgp(2),0.0024837311
stss,0.001618482
stsz(5)_Sample Size,0.0013211175
tref,0.0006452942
stco(5),0.000643916
elst(3)_Media Time,0.00027626797
stsz(5)_Sample Count,0.0
stsd(4)_Entry Count,0.0
stsc(5)_Entry Count,0.0
hdlr(9),0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
dinf(5),0.0
stts(4)_Entry Count,0.0
hdlr(10),0.0
stsc(4)_Entry Count,0.0
gmhd(3),0.0
tkhd(5)_Track ID,0.0
stsz(4)_Sample Count,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
mdhd(5)_Language Code,0.0
stsd_Entry Count,0.0
tkhd_Height,0.0
wide,0.0
SDLN,0.0
smrd,0.0
mvhd_Duration,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
mvhd_Modify Time,0.0
elst_'Duration,0.0
tgas,0.0
elst(2)_'Duration,0.0
ftyp_Compatible Brands,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
free(2),0.0
mvhd_Preferred Rate,0.0
tkhd_Duration,0.0
ctts(2),0.0
hdlr(8),0.0
tkhd_Modify Time,0.0
mvhd_Preferred Volume,0.0
sgpd(4),0.0
tapt(2),0.0
vmhd(2),0.0
cslg(2),0.0
sbgp(3),0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
dinf(4),0.0
mdhd(4)_Timescale,0.0
gmhd(2),0.0
stsz(2)_Sample Count,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
mdhd_Modify Time,0.0
sbgp,0.0
mdhd_Duration,0.0
SPS,0.0
tapt,0.0
mdhd_Create Time,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
smhd,0.0
hdlr(2),0.0
tkhd(3)_Width,0.0
tkhd(2)_Duration,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Height,0.0
mdhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
dinf,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Height,0.0
hdlr(7),0.0
elst(4)_Media Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Rate,0.0
tkhd(4)_Track ID,0.0
elst_Entry Count,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
stts_Entry Count,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
tkhd(4)_Create Time,0.0
stsz(3)_Sample Count,0.0
elst(3)_Entry Count,0.0
mdhd(3)_Language Code,0.0
elst(3)_Entries,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
hdlr(5),0.0
elst_Entries,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
soct,0.0
