Feature,Importance
GOP,1.2259191373583904
meta,0.804141813558017
SPS_vui.matrix_coefficients,0.8011735880480656
SPS_vui.colour_primaries,0.7998344533577512
sgpd,0.7150441733537595
sbgp,0.7150441543570023
SPS_vui.transfer_characteristics,0.7064954155504598
SPS_log2_max_pic_order_cnt_lsb_minus4,0.645273694846896
ctts,0.5964408512955488
stss,0.5512805760292807
SPS_constraint_set0_flag,0.511761320799579
SPS_vui.num_reorder_frames,0.5106100091228012
SPS_vui.fixed_frame_rate_flag,0.5007003797387284
SPS_vui.time_scale,0.4831111335611163
elst(2)_Media Time,0.42658796688818856
mdhd(2)_Timescale,0.4260861494751764
mdhd_Timescale,0.41422042587541336
SPS_pic_order_cnt_type,0.4019071645459939
SPS_vui.timing_info_present_flag,0.36830492343999144
SPS_vui.log2_max_mv_length_horizontal,0.3469420216799253
mdhd_Language Code,0.339067599041762
mvhd_Create Time,0.3246378017690658
mvhd_Modify Time,0.3170533193134163
SPS_frame_crop_top_offset,0.3142346637483863
SPS_frame_crop_left_offset,0.3142346637483863
SPS_level_idc,0.31356633539638945
tkhd_Create Time,0.3081384798787151
mdhd_Create Time,0.3081384798787151
tkhd(2)_Create Time,0.30786807869243993
mdhd(2)_Create Time,0.30786807869243993
SPS_vui.log2_max_mv_length_vertical,0.30147684259306085
mdhd_Modify Time,0.3005539974230646
tkhd_Modify Time,0.3005539974230646
mdhd(2)_Modify Time,0.3002835962367916
tkhd(2)_Modify Time,0.3002835962367916
SPS_vui.max_dec_frame_buffering,0.2613844574579201
SPS_vui.colour_description_present_flag,0.23072758747295063
ftyp_Minor Version,0.21551165233517675
SPS_pic_height_in_map_units_minus1,0.20910347989274372
SPS_vui.video_full_range_flag,0.20846922775278467
SPS_vui.max_bytes_per_pic_denom,0.19818218061831927
SPS_vui.max_bits_per_mb_denom,0.1981816639414219
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.19716850601786368
SPS_pic_width_in_mbs_minus1,0.19691689954882005
mdhd(2)_Language Code,0.1953454925063721
mvhd_Timescale,0.19479171905070064
SPS_vui.video_signal_type_present_flag,0.18850321396610034
SPS_vui.num_units_in_tick,0.18236523623340486
SPS_frame_cropping_flag,0.1721730127431746
ftyp_Major Brand,0.16572941620816167
elst(2)_Rate,0.1403910065096272
SPS_vui.video_format,0.1390778083216017
SPS_log2_max_frame_num_minus4,0.13665198609007975
smrd,0.13531698230322498
SDLN,0.13054905443273265
tkhd(2)_Height,0.10897124113936399
tkhd(2)_Width,0.10897124113936399
elst_Rate,0.10002765982097861
smta,0.09924318631563324
ftyp_Compatible Brands,0.09917136545043954
hdlr(4),0.0970342134776773
hdlr(3),0.09702909198429197
tapt,0.0924341973806697
SPS_vui.aspect_ratio_info_present_flag,0.08937790534597621
SPS_vui.bitstream_restriction_flag,0.08524299156334285
SPS_frame_crop_right_offset,0.07629234134051265
SPS_vui.aspect_ratio_idc,0.07578358654118139
tkhd_Width,0.06830548364878476
tkhd_Height,0.06830548364878476
SPS_num_ref_frames,0.06287668276664315
SPS_profile_idc,0.05844428486849399
SPS_vui.chroma_loc_info_present_flag,0.05632643401400553
SPS_vui.pic_struct_present_flag,0.05502318361976563
SPS_vui.nal_hrd_parameters_present_flag,0.05502318361976563
free,0.04715328659098389
cslg,0.04500307610460122
SPS_vui.overscan_info_present_flag,0.043945690866802875
SPS_vui.vcl_hrd_parameters_present_flag,0.043945690866802875
sdtp,0.04357128544159447
SPS_constraint_set1_flag,0.04298614922372342
sgpd(2),0.03775518607565959
meta(2),0.03669149301740933
tkhd(2)_Track ID,0.035847666400013495
dinf(2),0.035847666400013495
smhd,0.035847666400013495
sbgp(2),0.03578116317026221
dinf,0.03490183871657868
stsz_Sample Size,0.03490183871657864
tkhd_Track ID,0.03490183871657864
hdlr(2),0.03387921211403052
SPS_constraint_set2_flag,0.031908656470760306
SPS_constraint_set3_flag,0.031908656470760306
SPS_constraint_set4_flag,0.031908656470760306
SPS_constraint_set5_flag,0.031908656470760306
SPS_seq_parameter_set_id,0.031908656470760306
SPS_direct_8x8_inference_flag,0.031908656470760306
