Feature,Importance
GOP,0.024816195422897546
mdhd_Language Code,0.024219119128891933
mdhd(2)_Timescale,0.02242046002583169
SPS_pic_width_in_mbs_minus1,0.019978993257960008
mdhd_Timescale,0.01893689737612866
sequence,0.01787594403588573
elst_Media Time,0.016990634262882734
sgpd,0.015206857972273329
SPS_profile_idc,0.014942298862080336
SPS_vui.video_format,0.014925521102668067
meta,0.014825771947529404
type,0.014264525765876094
SPS_level_idc,0.014142155948585063
SPS_frame_crop_right_offset,0.01389919085707878
ftyp_Minor Version,0.013767243782647265
elst_Rate,0.013444272298351179
SPS_vui.time_scale,0.013288694840790307
free,0.01283363984863831
elst(2)_Media Time,0.01280502436670933
sgpd(2),0.012400833085132087
hdlr(2),0.012240496216938429
mvhd_Timescale,0.011517936656546848
mdhd(2)_Language Code,0.0112636229323406
SPS_vui.aspect_ratio_info_present_flag,0.01089904018190098
SPS_vui.transfer_characteristics,0.010564251063462359
ftyp_Compatible Brands,0.01041288973442773
auth,0.01034927029917934
SPS_vui.video_signal_type_present_flag,0.010195631084272742
mdhd_Create Time,0.01007187786987206
mdhd_Modify Time,0.01003449010230344
tkhd_Create Time,0.009715130353858188
SPS_vui.video_full_range_flag,0.0095656550490188
elst(2)_Rate,0.009514648801021677
SDLN,0.009278059743604312
SPS_num_ref_frames,0.009253879154635809
SPS_vui.max_bytes_per_pic_denom,0.009019653504041157
SPS_frame_crop_left_offset,0.008976996833731722
stco(2),0.008932371720600452
SPS_vui.log2_max_mv_length_vertical,0.00888165292870577
SPS_log2_max_frame_num_minus4,0.008829816815834798
smrd,0.008511912718086287
SPS_pic_height_in_map_units_minus1,0.008451249367429687
vhdr,0.008238315736129192
tkhd(2)_Width,0.00823712901270091
SPS_constraint_set1_flag,0.008215678342190462
SPS_frame_cropping_flag,0.008140744501425708
mvhd_Create Time,0.008014044915942606
tkhd_Height,0.007964067356737553
tref,0.007656342266809702
SPS_vui.timing_info_present_flag,0.007635659633389889
tkhd_Width,0.007334772361866531
stco,0.007227829035291252
stsz(2)_Sample Size,0.0071585440981967
hdlr(4),0.007131811394391191
sgpd(4),0.00664847457040098
smme,0.006626133175474322
tkhd(2)_Height,0.006568594501290998
tkhd(4)_Create Time,0.006544434578043437
SPS_vui_parameters_present_flag,0.006517814582540124
SPS_vui.log2_max_mv_length_horizontal,0.006512552300305437
hdlr,0.006491393633680822
SPS_vui.max_bits_per_mb_denom,0.006466453066746663
stsz(4)_Sample Size,0.006422901645748909
SPS_constraint_set0_flag,0.006408735703628682
tkhd(2)_Create Time,0.005995282994271134
SPS_vui.colour_primaries,0.005889021403266167
SPS_log2_max_pic_order_cnt_lsb_minus4,0.00576337496267642
SPS_vui.bitstream_restriction_flag,0.005598464913967161
smta,0.0054951033645894995
cslg,0.005491740131742504
SPS_vui.max_dec_frame_buffering,0.005472997460810278
hdlr(8),0.005413719829776532
SPS_frame_crop_top_offset,0.005262657581855252
SPS_vui.num_units_in_tick,0.005259746518831681
ftyp_Major Brand,0.005201530656677331
SPS_vui.chroma_loc_info_present_flag,0.00511713952602065
SPS_seq_scaling_matrix_present_flag,0.005015740693305447
mdhd(2)_Modify Time,0.004970077819185818
SPS_constraint_set2_flag,0.004830838081657778
tkhd(4)_Modify Time,0.004712489801921299
vmhd,0.004695640222387882
hdlr(7),0.004627722466683503
