Feature,Importance
mdhd_Timescale,0.04210176296833205
auth,0.04093482669855862
GOP,0.03199955889548916
mdhd(2)_Timescale,0.03159513082754278
sequence,0.03135241718844922
elst(2)_Media Time,0.03090666298514382
elst_Media Time,0.028880108434748995
meta,0.027864510354039917
ctts,0.02509933003085236
sgpd,0.022476055351354753
elst_Rate,0.021076924073370824
mdhd(2)_Language Code,0.02062948810588548
mvhd_Timescale,0.02025502188678796
stco,0.020036311655842902
free,0.01876352190748312
tkhd(2)_Height,0.018504549974874985
stco(2),0.017781787543043
type,0.01761129771643416
mdhd_Language Code,0.016323018040199082
ftyp_Major Brand,0.015350194129758032
tkhd_Width,0.014957685890085766
sgpd(2),0.014284637026927609
tkhd(2)_Width,0.014196368191273458
elst(2)_Rate,0.013803505916849708
ftyp_Minor Version,0.013027823659608246
smta,0.01283627174425938
ftyp_Compatible Brands,0.012818150605235952
tkhd(2)_Create Time,0.012502384490886096
tkhd_Height,0.012340920287354696
sbgp,0.012139857838199895
SDLN,0.011893348566386564
vhdr,0.011566668412284643
tkhd_Create Time,0.011404166699849828
sdtp,0.011222417276297397
vmhd,0.01119496349916103
mdhd(2)_Create Time,0.01074727657850593
skip,0.010522212027060334
tkhd_Modify Time,0.00976544341291114
cslg,0.009248734024138443
mdhd(2)_Modify Time,0.009109318831723189
sbgp(2),0.008913830267160208
stss,0.0088627067874462
smrd,0.008669003318403935
mdhd_Create Time,0.00825269144257405
csgm,0.008166417583121827
tkhd(2)_Modify Time,0.007999072635645768
stsz(2)_Sample Size,0.007866851259542564
csgm(2),0.007711632408364771
mdhd_Modify Time,0.007426772050223367
name(2),0.007419505007040041
hdlr,0.007382457735161005
stsz_Sample Size,0.006654593502366286
hdlr(2),0.006127720020325416
tkhd(4)_Create Time,0.006082726253086972
hdlr(3),0.005940946499183947
mvhd_Create Time,0.005650267928764037
tref(2),0.005133599252984175
tkhd(2)_Track ID,0.005112530223546276
dinf,0.00482955452551093
elst(4)_Rate,0.00471503681244427
mdhd(4)_Timescale,0.004526279750313741
smme,0.004409299351057444
tkhd(4)_Width,0.004239120219365158
stco(4),0.00410089497893931
hdlr(4),0.004083810381837843
dinf(2),0.00405901410553656
sgpd(4),0.003984099071485804
mvhd_Next Track ID,0.0038552466263270034
mdhd(4)_Language Code,0.003830729823913776
tapt,0.003824575274789622
mdhd(3)_Language Code,0.0037154027217720913
stco(3),0.003527048584200673
sgpd(3),0.00343844345490343
gmhd,0.0034124183216181127
hdlr(5),0.003288142992257949
elst(4)_Media Time,0.0031811530729225672
dinf(4),0.003079508741666582
gmhd(3),0.0029768312938495984
stsz(4)_Sample Size,0.002936872834300507
dinf(3),0.0029102397967309406
mvhd_Modify Time,0.002774215296763885
mdhd(5)_Modify Time,0.0026787175300625327
mdhd(4)_Modify Time,0.0026749020709368517
hdlr(7),0.0025263411020802194
tkhd(4)_Track ID,0.002525722020979686
