Feature,Importance
SPS_pic_width_in_mbs_minus1,5545
stco(2),4320
SPS_pic_height_in_map_units_minus1,3643
stco,3454
auth,3284
SPS_log2_max_pic_order_cnt_lsb_minus4,3163
vmhd,2813
mdhd_Timescale,2179
SPS_frame_crop_bottom_offset,1781
SPS_level_idc,1742
sdtp,1650
elst(2)_Media Time,1560
elst_Media Time,1264
hdlr(2),981
hdlr,873
SPS_vui.video_signal_type_present_flag,861
mvhd_Timescale,849
sequence,806
SPS_profile_idc,787
SPS_vui.video_format,780
SPS_vui.colour_primaries,757
SPS_vui.log2_max_mv_length_horizontal,728
meta,714
stco(4),708
stss,692
ftyp_Major Brand,658
ftyp_Minor Version,584
mvhd_Next Track ID,563
mdhd(2)_Timescale,541
sgpd(2),539
mdhd_Language Code,518
SPS_frame_crop_right_offset,502
tkhd_Width,498
cslg,487
SPS_vui.time_scale,486
SPS_log2_max_frame_num_minus4,476
stco(5),468
SPS_vui_parameters_present_flag,467
hdlr(3),378
SPS_constraint_set0_flag,376
SPS_frame_cropping_flag,352
smta,314
SPS_pic_order_cnt_type,297
stsz(4)_Sample Size,244
ctts,235
tref(2),230
SPS_num_ref_frames,227
SPS_vui.max_bytes_per_pic_denom,223
tkhd_Track ID,223
stsz(2)_Sample Size,216
elst_Rate,201
sgpd,196
SPS_vui.chroma_sample_loc_type_top_field,181
name(2),181
stsz(3)_Sample Size,177
tkhd_Create Time,156
csgm(2),150
SPS_vui.aspect_ratio_idc,147
tkhd(2)_Track ID,147
mvhd_Create Time,147
mdhd(2)_Language Code,142
SPS_vui.video_full_range_flag,139
sgpd(3),136
free,98
SPS_vui.matrix_coefficients,91
stsz(5)_Sample Size,79
stco(3),75
tref,70
SPS_frame_crop_left_offset,61
tkhd(2)_Create Time,47
SDLN,44
SPS_vui.bitstream_restriction_flag,37
SPS_chroma_format_idc,34
SPS_vui.transfer_characteristics,31
SPS_vui.fixed_frame_rate_flag,25
SPS_vui.aspect_ratio_info_present_flag,22
ftyp_Compatible Brands,20
SPS_vui.timing_info_present_flag,20
elst(4)_Media Time,19
tkhd(5)_Track ID,19
SPS_vui.log2_max_mv_length_vertical,16
meta(2),16
SPS_seq_scaling_matrix_present_flag,11
tkhd(2)_Width,10
elst(3)_Media Time,7
SPS_vui.num_reorder_frames,6
elst(5)_Media Time,6
smrd,6
elst(2)_Rate,4
csgm,3
sbgp(2),2
tkhd_Modify Time,2
tkhd(4)_Track ID,2
SPS_constraint_set1_flag,2
vhdr,1
elst(5)_Entry Count,0
skip,0
stsd(5)_Entry Count,0
stts(4)_Entry Count,0
dinf(5),0
hdlr(10),0
gmhd(3),0
hdlr(9),0
stsc(4)_Entry Count,0
mdhd(5)_Language Code,0
stsz(4)_Sample Count,0
mdhd(5)_Duration,0
0,0
mdhd(5)_Timescale,0
elst(5)_Entries,0
mdhd(5)_Modify Time,0
tkhd(5)_Create Time,0
mdhd(5)_Create Time,0
tref(3),0
tkhd(5)_Modify Time,0
elst(5)_Rate,0
smme,0
tkhd(5)_Duration,0
elst(2)_'Duration,0
tkhd(5)_Width,0
tkhd(5)_Height,0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0
co64(2)_Entry Count,0
stts(5)_Entry Count,0
SPS_vui.max_dec_frame_buffering,0
SPS_hrd.cpb_cnt_minus1,0
tgas,0
ctts(2),0
cslg(2),0
SPS_vui.num_units_in_tick,0
stss(2),0
SPS_vui.max_bits_per_mb_denom,0
stsc(5)_Entry Count,0
sdtp(2),0
tagc,0
tagc(2),0
dinf(4),0
tagc(3),0
sgpd(5),0
SPS_hrd.bit_rate_scale,0
vmhd(2),0
SPS_hrd.cpb_size_scale,0
tapt(2),0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0
SPS_hrd.cpb_removal_delay_length_minus1,0
sgpd(4),0
SPS_hrd.dpb_output_delay_length_minus1,0
SPS_hrd.time_offset_length,0
SPS_vui.low_delay_hrd_flag,0
SPS_vui.chroma_sample_loc_type_bottom_field,0
free(2),0
co64_Entry Count,0
sbgp(3),0
type,0
stsz(5)_Sample Count,0
elst_'Duration,0
stsd(4)_Entry Count,0
mdhd(3)_Modify Time,0
hdlr(8),0
stsz(2)_Sample Count,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
smhd,0
hdlr(4),0
dinf(2),0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
sbgp,0
gmhd(2),0
SPS,0
tapt,0
SPS_constraint_set2_flag,0
SPS_constraint_set3_flag,0
SPS_constraint_set4_flag,0
SPS_constraint_set5_flag,0
SPS_seq_parameter_set_id,0
SPS_bit_depth_luma_minus8,0
SPS_bit_depth_chroma_minus8,0
elst(2)_Entries,0
elst(2)_Entry Count,0
tkhd(2)_Height,0
tkhd(2)_Duration,0
wide,0
mvhd_Modify Time,0
mvhd_Duration,0
mvhd_Preferred Rate,0
mvhd_Preferred Volume,0
tkhd_Duration,0
tkhd_Height,0
elst_Entry Count,0
elst_Entries,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
stsz_Sample Count,0
tkhd(2)_Modify Time,0
SPS_qpprime_y_zero_transform_bypass_flag,0
SPS_gaps_in_frame_num_value_allowed_flag,0
SPS_frame_mbs_only_flag,0
gmhd,0
dinf(3),0
stsd(3)_Entry Count,0
stts(3)_Entry Count,0
stsc(3)_Entry Count,0
stsz(3)_Sample Count,0
tkhd(4)_Create Time,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst(4)_Entry Count,0
elst(4)_Entries,0
elst(4)_Rate,0
mdhd(4)_Create Time,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
hdlr(7),0
hdlr(6),0
hdlr(5),0
SPS_direct_8x8_inference_flag,0
mdhd(3)_Language Code,0
SPS_frame_crop_top_offset,0
SPS_vui.overscan_info_present_flag,0
SPS_vui.colour_description_present_flag,0
SPS_vui.chroma_loc_info_present_flag,0
SPS_vui.nal_hrd_parameters_present_flag,0
SPS_vui.vcl_hrd_parameters_present_flag,0
SPS_vui.pic_struct_present_flag,0
tkhd(3)_Track ID,0
tkhd(3)_Create Time,0
tkhd(3)_Modify Time,0
tkhd(3)_Duration,0
tkhd(3)_Width,0
tkhd(3)_Height,0
elst(3)_Entry Count,0
elst(3)_Entries,0
elst(3)_Rate,0
mdhd(3)_Create Time,0
mdhd(3)_Timescale,0
mdhd(3)_Duration,0
soct,0
