Feature,Importance
meta,0.9052215423927358
SPS_vui.matrix_coefficients,0.879771933634826
SPS_vui.colour_primaries,0.8788576969618553
sgpd,0.7906595186414219
sbgp,0.7906594960381985
SPS_vui.transfer_characteristics,0.7737936704961863
SPS_log2_max_pic_order_cnt_lsb_minus4,0.7042245565010636
ctts,0.6420878085319872
stss,0.6188538968417311
SPS_constraint_set0_flag,0.5750914401642597
SPS_vui.fixed_frame_rate_flag,0.5641208891381382
SPS_vui.time_scale,0.552439963623181
SPS_vui.num_reorder_frames,0.5512965772332638
mdhd(2)_Timescale,0.48025856081995427
elst(2)_Media Time,0.46777874168494177
SPS_pic_order_cnt_type,0.4398651339866428
mdhd_Timescale,0.42598779130605197
SPS_vui.timing_info_present_flag,0.4073805439392655
mdhd_Language Code,0.3789712824542824
SPS_vui.log2_max_mv_length_horizontal,0.37270223298091365
SPS_frame_crop_top_offset,0.3497150269616988
SPS_frame_crop_left_offset,0.3497150269616988
mvhd_Create Time,0.3395500102248487
SPS_level_idc,0.3360896455281711
mvhd_Modify Time,0.331214940863376
SPS_vui.log2_max_mv_length_vertical,0.32567462795680885
tkhd_Create Time,0.31660619493473635
mdhd_Create Time,0.31660619493473635
tkhd(2)_Create Time,0.3164169022518194
mdhd(2)_Create Time,0.3164169022518194
mdhd_Modify Time,0.30827112557326536
tkhd_Modify Time,0.30827112557326536
tkhd(2)_Modify Time,0.3080818328903473
mdhd(2)_Modify Time,0.3080818328903473
SPS_vui.max_dec_frame_buffering,0.27303294078874984
SPS_vui.colour_description_present_flag,0.2603092283426869
mdhd(2)_Language Code,0.24040069321572333
SPS_vui.video_full_range_flag,0.2348662493165237
SPS_pic_width_in_mbs_minus1,0.22595851661590052
ftyp_Minor Version,0.2242675454074635
SPS_pic_height_in_map_units_minus1,0.21670063158530523
SPS_vui.num_units_in_tick,0.21154207572060413
SPS_vui.max_bytes_per_pic_denom,0.20876276560129942
SPS_vui.max_bits_per_mb_denom,0.20875897960733064
SPS_vui.video_signal_type_present_flag,0.20328362534990413
mvhd_Timescale,0.20146633375099882
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.20133497865731415
SPS_frame_cropping_flag,0.19798884241757173
ftyp_Major Brand,0.17136669503247243
elst(2)_Rate,0.14989700107402404
smrd,0.1492438805123365
SPS_vui.video_format,0.14255461444214193
SDLN,0.14044111207336563
SPS_log2_max_frame_num_minus4,0.1394235325556296
tkhd(2)_Width,0.11257344188462656
tkhd(2)_Height,0.11257344188462656
elst_Rate,0.10994102890098988
hdlr(4),0.10504994399125252
hdlr(3),0.10504450331992118
smta,0.10479366061460464
ftyp_Compatible Brands,0.10261686381910622
SPS_vui.aspect_ratio_info_present_flag,0.10056196034306937
SPS_vui.aspect_ratio_idc,0.09974371808004515
tapt,0.0992827222848649
SPS_vui.bitstream_restriction_flag,0.09205291053649181
SPS_profile_idc,0.07462122994058643
SPS_frame_crop_right_offset,0.07369564237291888
SPS_num_ref_frames,0.0726274505887141
tkhd_Width,0.05981543104040131
tkhd_Height,0.05981543104040131
SPS_vui.pic_struct_present_flag,0.05759732319125824
SPS_vui.nal_hrd_parameters_present_flag,0.05759732319125824
SPS_vui.chroma_loc_info_present_flag,0.056178899977072136
free,0.049647723876781485
SPS_constraint_set1_flag,0.04658741615006855
cslg,0.04563347671970591
tkhd(2)_Track ID,0.04390590879144749
dinf(2),0.04390590879144749
smhd,0.04390590879144749
dinf,0.04324378795448115
tkhd_Track ID,0.04324378795448114
stsz_Sample Size,0.04324378795448114
SPS_vui.overscan_info_present_flag,0.042382555879723165
SPS_vui.vcl_hrd_parameters_present_flag,0.042382555879723165
hdlr(2),0.04136596079459808
sgpd(2),0.04003291043188887
sbgp(2),0.038268462207135555
meta(2),0.03772365359600407
sdtp,0.036595970621886735
SPS_hrd.cpb_cnt_minus1,0.032585160174361694
SPS_hrd.cpb_size_scale,0.032585160174361694
SPS_hrd.bit_rate_scale,0.032585160174361694
SPS_vui.low_delay_hrd_flag,0.032585160174361694
stsz(2)_Sample Size,0.0324480582809595
hdlr,0.032229717476452195
SPS_direct_8x8_inference_flag,0.0313726488385336
SPS_frame_mbs_only_flag,0.0313726488385336
SPS_constraint_set3_flag,0.0313726488385336
SPS_gaps_in_frame_num_value_allowed_flag,0.0313726488385336
