Feature,Importance
stco(2),12680
stco,12006
mdhd_Timescale,8713
sequence,8190
elst_Media Time,7744
ftyp_Major Brand,6066
elst(2)_Media Time,6020
auth,5747
mdhd(2)_Timescale,5503
mvhd_Timescale,4736
sdtp,4543
ftyp_Minor Version,3169
stss,2715
hdlr,2528
smta,2305
meta,2253
hdlr(3),2209
ctts,1791
mvhd_Create Time,1752
tkhd_Width,1597
mdhd(2)_Language Code,1481
stco(4),1435
mvhd_Next Track ID,1319
vmhd,1263
SDLN,1211
hdlr(2),1110
tkhd_Create Time,968
elst_Rate,953
mdhd_Language Code,951
stsz(3)_Sample Size,931
tkhd_Modify Time,763
stsz(4)_Sample Size,760
sgpd(2),742
stco(5),740
free,692
sgpd,553
cslg,509
sgpd(3),490
ftyp_Compatible Brands,487
tkhd(2)_Create Time,416
stsz(2)_Sample Size,287
tkhd(2)_Width,281
tref(2),278
tkhd_Track ID,267
tapt,251
smrd,226
stsz(5)_Sample Size,188
name(2),187
tref,172
stco(3),153
csgm(2),150
tkhd(2)_Track ID,111
mvhd_Modify Time,106
meta(2),80
elst(4)_Media Time,58
elst(3)_Media Time,51
elst(3)_Rate,47
tkhd(5)_Track ID,46
elst(2)_Rate,38
csgm,31
tkhd(4)_Track ID,20
gmhd(2),13
sbgp(2),11
elst(5)_Media Time,10
tkhd(4)_Create Time,7
tkhd(3)_Track ID,6
co64(2)_Entry Count,0
mdhd(5)_Duration,0
elst(5)_Rate,0
mdhd(5)_Language Code,0
mdhd(5)_Timescale,0
mdhd(5)_Modify Time,0
hdlr(9),0
mdhd(5)_Create Time,0
tref(3),0
tagc(2),0
hdlr(10),0
type,0
elst(5)_Entries,0
elst_'Duration,0
elst(5)_Entry Count,0
tkhd(5)_Height,0
tkhd(5)_Width,0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
tkhd(5)_Create Time,0
mvhd_Preferred Rate,0
stsz(4)_Sample Count,0
gmhd(3),0
stts(5)_Entry Count,0
dinf(5),0
sgpd(4),0
sdtp(2),0
tagc(3),0
stss(2),0
cslg(2),0
sgpd(5),0
ctts(2),0
vmhd(2),0
tapt(2),0
vhdr,0
sbgp(3),0
tgas,0
free(2),0
stsd(5)_Entry Count,0
stsc(4)_Entry Count,0
smme,0
skip,0
elst(2)_'Duration,0
wide,0
mvhd_Duration,0
0,0
stsz(5)_Sample Count,0
co64_Entry Count,0
stsc(5)_Entry Count,0
tagc,0
stsd_Entry Count,0
mdhd(4)_Modify Time,0
stts(4)_Entry Count,0
elst_Entries,0
tkhd(3)_Modify Time,0
tkhd(3)_Create Time,0
SPS,0
tkhd_Duration,0
sbgp,0
tkhd_Height,0
stsz(2)_Sample Count,0
stsc(2)_Entry Count,0
stts(2)_Entry Count,0
stsd(2)_Entry Count,0
dinf(2),0
hdlr(4),0
smhd,0
elst_Entry Count,0
mdhd(2)_Duration,0
tkhd(3)_Width,0
mdhd_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Create Time,0
mdhd_Modify Time,0
elst(2)_Entries,0
elst(2)_Entry Count,0
tkhd(2)_Height,0
tkhd(2)_Duration,0
tkhd(2)_Modify Time,0
mdhd_Duration,0
stsz_Sample Count,0
stsz_Sample Size,0
stsc_Entry Count,0
dinf,0
tkhd(3)_Duration,0
tkhd(3)_Height,0
stsd(4)_Entry Count,0
tkhd(4)_Modify Time,0
dinf(4),0
hdlr(8),0
hdlr(7),0
mdhd(4)_Language Code,0
mdhd(4)_Duration,0
mdhd(4)_Timescale,0
stts_Entry Count,0
mdhd(4)_Create Time,0
elst(4)_Rate,0
elst(4)_Entries,0
elst(4)_Entry Count,0
tkhd(4)_Height,0
tkhd(4)_Width,0
tkhd(4)_Duration,0
stsz(3)_Sample Count,0
elst(3)_Entry Count,0
mvhd_Preferred Volume,0
stsc(3)_Entry Count,0
stts(3)_Entry Count,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
mdhd(3)_Language Code,0
mdhd(3)_Duration,0
mdhd(3)_Timescale,0
mdhd(3)_Modify Time,0
mdhd(3)_Create Time,0
elst(3)_Entries,0
soct,0
