Feature,Importance
meta,2.8615722095485108
mdhd_Timescale,1.8319484531500014
stss,1.4644141714460601
elst(2)_Media Time,1.240508816383523
ctts,1.2114922700467092
mdhd(2)_Timescale,1.0385707889541245
sgpd,0.6234892512566802
sbgp,0.6234892058130233
mvhd_Create Time,0.4701831222779274
tkhd_Create Time,0.4522523796818653
mdhd_Create Time,0.4522523796818653
tkhd(2)_Create Time,0.4521126501044101
mdhd(2)_Create Time,0.4521126501044101
mdhd(2)_Language Code,0.44003721173492416
mvhd_Modify Time,0.4219158726398569
mdhd_Modify Time,0.4039851300437941
tkhd_Modify Time,0.4039851300437941
mdhd(2)_Modify Time,0.40384540046634054
tkhd(2)_Modify Time,0.40384540046634054
mvhd_Timescale,0.3350610171771981
mdhd_Language Code,0.2938464908778603
ftyp_Minor Version,0.2859462111736276
ftyp_Major Brand,0.2658096264138559
ftyp_Compatible Brands,0.2017421015592087
hdlr(4),0.19150221427327502
hdlr(3),0.19149127663238677
tapt,0.170542480145741
tkhd(2)_Height,0.12004831660920022
tkhd(2)_Width,0.12004831660920022
stco,0.10527052839164061
tkhd_Width,0.10052086552828789
tkhd_Height,0.10052086552828789
free,0.09480857716596387
stco(2),0.09236673504213379
elst(2)_Rate,0.07639909492969797
elst_Rate,0.05971302787275323
sdtp,0.05776583057259872
smrd,0.053654570785334206
SDLN,0.05050268492318913
cslg,0.04664633027966991
elst_Media Time,0.044710775695842406
sgpd(2),0.04181586909024777
sbgp(2),0.03974182563332712
smta,0.03743081069843183
meta(2),0.030274827023678886
name(2),0.02203864685732802
tref,0.0191250484599848
hdlr,0.018743361779957633
hdlr(2),0.016861352032602424
sequence,0.016372895184719932
dinf(2),0.016301067073268425
tkhd(2)_Track ID,0.016301067073268425
smhd,0.016301067073268425
hdlr(6),0.01609453507388602
mdhd(3)_Language Code,0.01609453507388602
elst(3)_Rate,0.016094535073885446
dinf(3),0.016094535073885446
gmhd,0.016094535073885446
hdlr(5),0.01609404925609021
mdhd(3)_Timescale,0.01603781424375766
tkhd_Track ID,0.015812311441783144
dinf,0.015812311441783144
stsz_Sample Size,0.015812311441783144
mdhd(4)_Timescale,0.01400775554778093
tkhd(4)_Track ID,0.01400775554778093
hdlr(8),0.01400775554778093
mdhd(4)_Language Code,0.01400775554778093
dinf(4),0.014007755547780497
hdlr(7),0.014007755547780497
elst(4)_Rate,0.013991685078871913
elst(4)_Media Time,0.013973768866291373
gmhd(2),0.01393325740228208
