Feature,Importance
mdhd_Timescale,0.04221293163290835
elst(2)_Media Time,0.03689981540405075
mdhd(2)_Timescale,0.036371371824750524
ctts,0.03528709307561792
auth,0.032657649151918926
sequence,0.030819135868137195
mdhd_Language Code,0.030458009812711365
type,0.02827426184546431
elst_Media Time,0.02499519970637712
elst_Rate,0.024779945394467515
sgpd,0.024238354283910475
meta,0.022211217900402053
hdlr,0.01771088305942998
stco,0.016741666209377715
mdhd(2)_Language Code,0.016490908039230277
vhdr,0.01612457674719104
stco(2),0.015888172713398593
mvhd_Timescale,0.01582323083394809
tkhd(2)_Height,0.015040397009447419
tkhd(2)_Width,0.014558593270722085
ftyp_Major Brand,0.013490110434198576
mdhd_Create Time,0.013401190644939687
sbgp,0.013360205770259266
sgpd(2),0.013228503029456667
smme,0.013025129237051231
mdhd(2)_Create Time,0.012662745758366895
tkhd_Height,0.012113389776314423
mdhd(2)_Modify Time,0.011862340447978173
smta,0.011422863223565076
SDLN,0.011404849531397358
tkhd_Create Time,0.011333817082914636
tkhd_Width,0.011221062607819394
free,0.011004070874166114
name(2),0.010929027628996803
sdtp,0.010314518731034686
stss,0.010002228360091774
smrd,0.009654059398431567
tref,0.009295596000723721
ftyp_Minor Version,0.008990886643251324
vmhd,0.008826440707692508
tkhd(2)_Create Time,0.008667927386549739
csgm(2),0.008566378220552298
stsz(3)_Sample Size,0.008540882486004143
mdhd_Modify Time,0.00851058278069345
ftyp_Compatible Brands,0.00826918994009976
elst(2)_Rate,0.007969707856863337
sbgp(2),0.007859562819499236
mvhd_Modify Time,0.007531490167317825
mvhd_Create Time,0.007259556896122945
sgpd(4),0.007220506139784974
tkhd_Modify Time,0.006990891162454628
stsz(4)_Sample Size,0.006754057764340248
tkhd(2)_Modify Time,0.006653230549609991
cslg,0.0066039324565596615
hdlr(2),0.00650310759860793
tkhd_Track ID,0.006234935218645674
tkhd(3)_Modify Time,0.005674101828847851
elst(4)_Rate,0.005583069762770521
skip,0.005411562847210259
dinf,0.00531062045660647
tapt,0.005259707980358567
tkhd(4)_Height,0.005234487607744108
mvhd_Next Track ID,0.005062307691892329
csgm,0.0050328286970189665
mdhd(4)_Language Code,0.0049153922295138795
hdlr(3),0.004661065811949128
tkhd(3)_Track ID,0.004528357139090892
elst(3)_Rate,0.004195467871496287
tref(2),0.004046723203880536
mdhd(4)_Timescale,0.0040098790005215455
hdlr(4),0.003855211396253678
tkhd(4)_Track ID,0.0038013453561781428
tkhd(5)_Modify Time,0.003452988057346376
hdlr(8),0.0033029411627308602
mdhd(5)_Create Time,0.003260588445039977
tkhd(4)_Width,0.0032282706937737655
sgpd(3),0.0032159465894227236
dinf(4),0.002880241762049568
hdlr(10),0.002870849201312348
hdlr(7),0.002737006015128997
stco(4),0.0027368769127924858
gmhd,0.0025423749041170378
tkhd(3)_Height,0.00253917114314267
mdhd(3)_Create Time,0.0025329210202401087
stsz_Sample Size,0.0025185116405511397
hdlr(6),0.0024770713287919134
mdhd(4)_Create Time,0.0022563764279421535
stco(3),0.0022458253135037233
dinf(3),0.0021430126326756217
tkhd(4)_Create Time,0.0018913386574648439
tkhd(4)_Modify Time,0.0018551771595094863
mdhd(3)_Language Code,0.0017804233532436294
elst(4)_Media Time,0.001695915283564774
stsz(5)_Sample Size,0.0016018849699448066
stsz(2)_Sample Size,0.0015048927312532401
smhd,0.0014813230930093941
mdhd(3)_Timescale,0.0014560632089271044
tkhd(2)_Track ID,0.001373593109162618
mdhd(4)_Modify Time,0.0013067192829720724
mdhd(5)_Modify Time,0.0012650459241502956
dinf(2),0.00126383987097337
elst(5)_Rate,0.0012517308369075844
tgas,0.0012132817876866439
mdhd(5)_Timescale,0.0011810479430618545
soct,0.0011631625590354424
stco(5),0.0011500173333377109
mdhd(3)_Modify Time,0.0009629875044265798
tkhd(3)_Create Time,0.000900261634442262
tkhd(5)_Height,0.0007906571625488248
meta(2),0.0007792280417318587
tkhd(3)_Width,0.0007281904099922953
tkhd(5)_Width,0.000710859390499938
tref(3),0.0006452866754985281
tkhd(5)_Create Time,0.000392679946331866
hdlr(9),0.0003904249254555884
gmhd(2),8.864385514071347e-05
sdtp(2),7.362112144981921e-05
elst(3)_Media Time,6.428077799645119e-05
tagc,5.856810704290824e-05
sgpd(5),5.482738563931057e-05
hdlr(5),4.4761672405699466e-05
ctts(2),3.377294329989761e-05
tagc(3),3.2993777082558885e-05
dinf(5),2.2773727953703166e-05
mdhd(5)_Language Code,4.232589144244504e-06
stss(2),0.0
cslg(2),0.0
tagc(2),0.0
vmhd(2),0.0
tapt(2),0.0
stsc_Entry Count,0.0
elst(4)_Entries,0.0
stsz(2)_Sample Count,0.0
sbgp(3),0.0
stsd(2)_Entry Count,0.0
0,0.0
tkhd(2)_Duration,0.0
stsz_Sample Count,0.0
wide,0.0
mdhd(2)_Duration,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
mvhd_Duration,0.0
stsd_Entry Count,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
stts(2)_Entry Count,0.0
free(2),0.0
stsc(2)_Entry Count,0.0
stts_Entry Count,0.0
stsz(5)_Sample Count,0.0
SPS,0.0
mdhd_Duration,0.0
tkhd(4)_Duration,0.0
stsz(3)_Sample Count,0.0
mdhd(4)_Duration,0.0
elst_Entries,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
elst(2)_Entries,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsd(3)_Entry Count,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Track ID,0.0
mdhd(3)_Duration,0.0
tkhd(5)_Duration,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
mdhd(5)_Duration,0.0
gmhd(3),0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
tkhd(3)_Duration,0.0
elst(4)_Entry Count,0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
elst(2)_Entry Count,0.0
