Feature,Importance
sgpd(3),0.14547387
stsz(2)_Sample Size,0.056479756
csgm,0.0552698
tref(2),0.04511409
ftyp_Major Brand,0.039335478
name(2),0.034288604
type,0.034052763
vmhd,0.033841223
stsz(3)_Sample Size,0.03360852
tkhd_Track ID,0.03265106
csgm(2),0.03051202
hdlr(3),0.029793028
mvhd_Next Track ID,0.02300823
auth,0.022829026
elst_Media Time,0.021794247
mdhd_Language Code,0.021791492
mdhd(2)_Language Code,0.021656528
ftyp_Minor Version,0.02150325
tkhd_Create Time,0.021283345
sdtp,0.019929737
mdhd_Timescale,0.019466728
tkhd_Width,0.01839335
elst(2)_Media Time,0.016751949
smta,0.016699206
sequence,0.016370013
sgpd(2),0.016143402
cslg,0.016070507
mvhd_Timescale,0.012898228
mdhd(2)_Timescale,0.011093342
meta,0.010989425
elst_Rate,0.010743817
mvhd_Create Time,0.010644427
stco(4),0.010504766
tkhd(2)_Width,0.010435239
free,0.010318535
hdlr,0.007446382
sgpd,0.0056933598
elst(4)_Media Time,0.004745959
stsz(4)_Sample Size,0.00400515
stco(3),0.0038990565
ctts,0.0038341135
stss,0.0026914235
tref,0.0025617478
stco(2),0.002530602
SDLN,0.0024146435
stco(5),0.0016628096
stco,0.0015732608
meta(2),0.0015179877
stsz(5)_Sample Size,0.001262846
elst(5)_Media Time,0.0011022252
tkhd(2)_Track ID,0.0006113124
tkhd(2)_Create Time,0.00048625545
elst(3)_Media Time,0.00022189021
mdhd(5)_Language Code,0.0
hdlr(9),0.0
gmhd(3),0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mvhd_Preferred Volume,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Rate,0.0
tref(3),0.0
hdlr(10),0.0
sbgp(2),0.0
dinf(5),0.0
sgpd(5),0.0
0,0.0
skip,0.0
smme,0.0
vhdr,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
ftyp_Compatible Brands,0.0
wide,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
smrd,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
tagc(3),0.0
stsd(5)_Entry Count,0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
mvhd_Modify Time,0.0
gmhd(2),0.0
stsz(5)_Sample Count,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
hdlr(8),0.0
tkhd(4)_Modify Time,0.0
hdlr(7),0.0
SPS,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
mvhd_Duration,0.0
stsz(2)_Sample Count,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Modify Time,0.0
stsz_Sample Count,0.0
mdhd_Modify Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
mdhd_Create Time,0.0
mdhd_Duration,0.0
stsz_Sample Size,0.0
mvhd_Preferred Rate,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
sbgp,0.0
tapt,0.0
mdhd(4)_Language Code,0.0
tkhd(3)_Track ID,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Rate,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
elst(3)_Entries,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Rate,0.0
gmhd,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
soct,0.0
