Feature,Importance
meta,0.907495407650998
SPS_vui.matrix_coefficients,0.8804042779117169
SPS_vui.colour_primaries,0.8795008372082731
sgpd,0.7897765678737438
sbgp,0.7897765455889899
SPS_vui.transfer_characteristics,0.7750519364194246
SPS_log2_max_pic_order_cnt_lsb_minus4,0.7028484263439414
ctts,0.6415296296158295
stss,0.6176291539399792
SPS_constraint_set0_flag,0.5752259258835108
SPS_vui.fixed_frame_rate_flag,0.5639902688110389
SPS_vui.time_scale,0.5522120828608271
SPS_vui.num_reorder_frames,0.5496826438942787
mdhd(2)_Timescale,0.4798237781943665
elst(2)_Media Time,0.46873481341766005
SPS_pic_order_cnt_type,0.4390885169118891
mdhd_Timescale,0.4238718097146209
SPS_vui.timing_info_present_flag,0.40701534090176705
mdhd_Language Code,0.37855770345038725
SPS_vui.log2_max_mv_length_horizontal,0.3721833393314972
SPS_frame_crop_top_offset,0.34774800611521184
SPS_frame_crop_left_offset,0.34774800611521184
SPS_level_idc,0.3379002451256478
mvhd_Create Time,0.33768331792291734
mvhd_Modify Time,0.3293544033276998
SPS_vui.log2_max_mv_length_vertical,0.32528263129086565
mdhd_Create Time,0.3148965166098103
tkhd_Create Time,0.3148965166098103
tkhd(2)_Create Time,0.31470566626994456
mdhd(2)_Create Time,0.31470566626994456
mdhd_Modify Time,0.3065676020145909
tkhd_Modify Time,0.3065676020145909
tkhd(2)_Modify Time,0.3063767516747263
mdhd(2)_Modify Time,0.3063767516747263
SPS_vui.max_dec_frame_buffering,0.2714253449453977
SPS_vui.colour_description_present_flag,0.2587615565086871
mdhd(2)_Language Code,0.240362431334999
SPS_vui.video_full_range_flag,0.23339977219042846
SPS_pic_width_in_mbs_minus1,0.22569076948142458
ftyp_Minor Version,0.22286282382398645
SPS_pic_height_in_map_units_minus1,0.2166000120103002
SPS_vui.num_units_in_tick,0.21139009791301186
SPS_vui.max_bytes_per_pic_denom,0.20749805643375674
SPS_vui.max_bits_per_mb_denom,0.20749409650041203
SPS_vui.video_signal_type_present_flag,0.20203088699746233
