Feature,Importance
SPS_level_idc,0.024900797928688757
mdhd_Timescale,0.022420703832110134
SPS_pic_height_in_map_units_minus1,0.02169202443077441
auth,0.019536994183432046
mdhd(2)_Timescale,0.018505948762267244
elst_Rate,0.017489587296920468
elst_Media Time,0.017360211572789382
mdhd_Language Code,0.016717358330937074
SPS_pic_order_cnt_type,0.01610873768624688
SPS_vui.time_scale,0.015269920910560545
SPS_vui.log2_max_mv_length_horizontal,0.01517485828531955
tref,0.015157562088542237
tkhd_Create Time,0.01448783550799892
elst(2)_Media Time,0.014444733582650129
mvhd_Timescale,0.01324957695095258
free,0.013206163960107131
mdhd(2)_Language Code,0.01312722534102796
meta,0.012937733356163312
mdhd_Modify Time,0.012340519449986435
SPS_vui.colour_primaries,0.011846991997746404
sgpd,0.011834058074276317
SPS_frame_crop_right_offset,0.011793634333618843
vmhd,0.011767801713003906
SPS_chroma_format_idc,0.011612718716527191
SPS_log2_max_pic_order_cnt_lsb_minus4,0.011533705980745648
SPS_vui.max_dec_frame_buffering,0.011437797278402292
SPS_vui.video_format,0.011406206364157429
SPS_vui.max_bytes_per_pic_denom,0.011249638879402236
stco(2),0.010923862909891212
tref(2),0.010671380552686146
tkhd(2)_Create Time,0.010567114487855026
SPS_vui.transfer_characteristics,0.010440790245347643
SPS_pic_width_in_mbs_minus1,0.010429527774403423
tkhd(2)_Height,0.010397785981894074
tkhd_Width,0.01004730746419855
SPS_frame_cropping_flag,0.009799109927982977
mdhd(2)_Modify Time,0.009726663701375095
sdtp,0.009644652486626219
type,0.00929353353410128
SPS_frame_crop_top_offset,0.008994254635183966
SPS_profile_idc,0.008913075101505439
ftyp_Compatible Brands,0.008603953905035065
smrd,0.008562568238969418
SPS_vui.video_signal_type_present_flag,0.008533263921395286
ctts,0.008211771872224384
SPS_vui.log2_max_mv_length_vertical,0.008203870059913361
SPS_vui_parameters_present_flag,0.007844427859391422
sgpd(2),0.007574157134047462
SPS_seq_scaling_matrix_present_flag,0.007442579070259886
smta,0.007212969167251437
SPS_num_ref_frames,0.007142732720143134
tkhd(4)_Width,0.0070973945379936
SPS_bit_depth_luma_minus8,0.007068448304580274
stsz(2)_Sample Size,0.00706121505730771
ftyp_Major Brand,0.00672311578590778
stss,0.0066513325178583806
SPS_frame_crop_bottom_offset,0.00657991611861305
stco,0.006498359379877101
SPS_constraint_set0_flag,0.006475579333919938
SPS_vui.max_bits_per_mb_denom,0.0064448409558385805
hdlr(3),0.0063723385994727665
tkhd_Height,0.006238726858172515
hdlr,0.006159673340415988
SPS_vui.timing_info_present_flag,0.006001119281705752
SPS_vui.video_full_range_flag,0.00594353650055677
SPS_frame_crop_left_offset,0.005768065075970354
tkhd(2)_Modify Time,0.005746686168994359
ftyp_Minor Version,0.005672939217683854
SPS_vui.matrix_coefficients,0.005620722402701401
mvhd_Next Track ID,0.005353178793025701
skip,0.005338030098534959
SPS_vui.num_reorder_frames,0.005335678563140334
stsz(4)_Sample Size,0.005307930549796297
elst(2)_Rate,0.005275072048916187
csgm(2),0.005242436990505955
sgpd(3),0.005028516482836234
SPS_constraint_set1_flag,0.004912058312580938
vhdr,0.004884443508044378
name(2),0.004793789994885804
mdhd(4)_Timescale,0.004789009086840113
mdhd(4)_Create Time,0.004783683613526459
SPS_bit_depth_chroma_minus8,0.004756163837708955
tkhd(4)_Modify Time,0.004651692438921425
mdhd(2)_Create Time,0.004633141997487366
tkhd_Track ID,0.004613917523489444
stsz(3)_Sample Size,0.004587513421613
SPS_seq_parameter_set_id,0.004575572945413662
csgm,0.004471732977235781
SPS_vui.colour_description_present_flag,0.0041663293941633945
SPS_vui.num_units_in_tick,0.004153239266301762
sbgp,0.004109698698412729
tkhd(3)_Modify Time,0.004096655118759596
dinf(4),0.004014616064645303
SDLN,0.003994883248148294
mvhd_Create Time,0.003907207732508074
smme,0.003810485377178668
SPS_vui.chroma_sample_loc_type_top_field,0.0037579724825803776
tkhd(2)_Width,0.0037201723478750975
hdlr(2),0.003670767980308869
elst(4)_Rate,0.003564124154296017
cslg,0.0034416859896392008
