Feature,Importance
sgpd(3),0.08813419
SPS_vui.fixed_frame_rate_flag,0.0794425
csgm,0.040077943
stsz(2)_Sample Size,0.039912637
SPS_vui.time_scale,0.028861832
SPS_vui.aspect_ratio_idc,0.028473033
name(2),0.027960569
tkhd_Track ID,0.026289513
tref(2),0.026178345
type,0.025634142
csgm(2),0.025514422
hdlr(3),0.02532894
SPS_vui.transfer_characteristics,0.023342883
vmhd,0.023325505
SPS_log2_max_pic_order_cnt_lsb_minus4,0.021128146
SPS_vui_parameters_present_flag,0.020094018
ftyp_Major Brand,0.019970126
auth,0.01994725
SPS_profile_idc,0.019058455
sgpd,0.017932106
ftyp_Minor Version,0.017812917
SPS_constraint_set0_flag,0.017692681
SPS_vui.chroma_sample_loc_type_top_field,0.017260274
mvhd_Timescale,0.016816264
tkhd_Width,0.016050447
SPS_num_ref_frames,0.015200066
mvhd_Next Track ID,0.014691869
mdhd_Timescale,0.0130383
elst_Media Time,0.012989292
stsz(3)_Sample Size,0.012772984
mdhd_Language Code,0.01267952
SPS_vui.log2_max_mv_length_horizontal,0.012622692
sgpd(2),0.011937256
SPS_vui.video_format,0.011515219
smta,0.011231977
elst(2)_Media Time,0.01097604
sdtp,0.009858653
SPS_vui.max_bytes_per_pic_denom,0.009602799
SPS_vui.colour_primaries,0.009128962
mdhd(2)_Timescale,0.008570815
cslg,0.008477409
meta,0.008007829
SPS_level_idc,0.0068269377
elst_Rate,0.0066705635
mdhd(2)_Language Code,0.006155538
SPS_vui.bitstream_restriction_flag,0.0055790963
ctts,0.0049363337
hdlr,0.004930043
SPS_pic_height_in_map_units_minus1,0.0049060886
stco(4),0.0048927628
mvhd_Create Time,0.0047573196
SPS_frame_crop_bottom_offset,0.004334315
SPS_pic_width_in_mbs_minus1,0.00432442
tkhd_Create Time,0.0037063293
elst(4)_Media Time,0.0027477269
SPS_frame_crop_left_offset,0.0026440248
meta(2),0.00254699
tref,0.0023389966
stsz(4)_Sample Size,0.0020872913
stco(3),0.0018644034
tkhd(2)_Track ID,0.0018403511
SPS_vui.num_reorder_frames,0.001541533
SPS_frame_cropping_flag,0.0014996611
SPS_seq_scaling_matrix_present_flag,0.0014854551
stss,0.0014459448
SDLN,0.0013263277
SPS_pic_order_cnt_type,0.0012787298
free,0.0010919141
tkhd(2)_Width,0.00095985003
stco(2),0.00079903845
stsz(5)_Sample Size,0.00074081105
SPS_frame_crop_right_offset,0.0006160919
elst(5)_Media Time,0.0005961564
stco,0.0005858466
stco(5),0.00052213593
SPS_vui.matrix_coefficients,0.00040236404
tkhd(2)_Create Time,0.00038853657
SPS_vui.video_full_range_flag,0.00034286748
tapt,0.0003059603
SPS_constraint_set1_flag,0.00019639761
elst(3)_Media Time,0.00016287938
SPS_vui.video_signal_type_present_flag,8.116897e-05
hdlr(10),0.0
tkhd(5)_Track ID,0.0
stsc(5)_Entry Count,0.0
mdhd(5)_Duration,0.0
gmhd(2),0.0
hdlr(8),0.0
mdhd(5)_Modify Time,0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Count,0.0
stts(5)_Entry Count,0.0
tkhd(5)_Create Time,0.0
mdhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
mdhd(5)_Language Code,0.0
hdlr(9),0.0
mdhd(5)_Timescale,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
elst(5)_Entries,0.0
gmhd(3),0.0
tref(3),0.0
dinf(5),0.0
elst(5)_Rate,0.0
sdtp(2),0.0
stsz(5)_Sample Count,0.0
sbgp(2),0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
smrd,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
elst_'Duration,0.0
