Feature,Importance
GOP,1.2392856164559638
meta,0.8152256804248416
SPS_vui.matrix_coefficients,0.8079777976860125
SPS_vui.colour_primaries,0.806623006607875
sgpd,0.7267408774043245
sbgp,0.7267408637035211
SPS_vui.transfer_characteristics,0.7121192113256992
SPS_log2_max_pic_order_cnt_lsb_minus4,0.6509324954673461
ctts,0.5991923816663078
stss,0.5559134227424993
SPS_constraint_set0_flag,0.5172517673235758
SPS_vui.num_reorder_frames,0.5145424362810413
SPS_vui.fixed_frame_rate_flag,0.5026937950843222
SPS_vui.time_scale,0.4849314154371869
elst(2)_Media Time,0.4336913921374943
mdhd(2)_Timescale,0.4316438680640013
mdhd_Timescale,0.4218307198455274
SPS_pic_order_cnt_type,0.4061312470978534
SPS_vui.timing_info_present_flag,0.3686547106716783
SPS_vui.log2_max_mv_length_horizontal,0.3497994800585114
mdhd_Language Code,0.34129650862019145
mvhd_Create Time,0.32767595204326705
mvhd_Modify Time,0.3202215640861932
SPS_level_idc,0.3176953459627501
SPS_frame_crop_top_offset,0.3175123210002861
SPS_frame_crop_left_offset,0.3175123210002861
mdhd_Create Time,0.31139699276762123
tkhd_Create Time,0.31139699276762123
mdhd(2)_Create Time,0.3111020428761775
tkhd(2)_Create Time,0.3111020428761775
mdhd_Modify Time,0.30394260481054397
tkhd_Modify Time,0.30394260481054397
SPS_vui.log2_max_mv_length_vertical,0.3039023769212701
tkhd(2)_Modify Time,0.3036476549191031
mdhd(2)_Modify Time,0.3036476549191031
SPS_vui.max_dec_frame_buffering,0.2642088666532643
SPS_vui.colour_description_present_flag,0.2335564530434395
ftyp_Minor Version,0.21730027277642872
SPS_pic_height_in_map_units_minus1,0.2143466321115619
SPS_vui.video_full_range_flag,0.21116406746008937
SPS_pic_width_in_mbs_minus1,0.2032474434807112
SPS_vui.max_bytes_per_pic_denom,0.20073602783790756
SPS_vui.max_bits_per_mb_denom,0.20073550354999628
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.1997074211006455
mvhd_Timescale,0.19708074295107633
mdhd(2)_Language Code,0.19583262805067728
SPS_vui.video_signal_type_present_flag,0.1891400097619926
SPS_vui.num_units_in_tick,0.18328095790836696
SPS_frame_cropping_flag,0.17567634513432343
