Feature,Importance
SPS_pic_width_in_mbs_minus1,0.030964108476601578
mdhd_Timescale,0.029032287752689775
SPS_level_idc,0.02334041485303854
mdhd(2)_Timescale,0.02291024380289495
SPS_pic_height_in_map_units_minus1,0.022771931438986398
auth,0.02140220094568902
elst_Media Time,0.018639844009712535
elst_Rate,0.018074078592746283
elst(2)_Media Time,0.01766168497720137
mdhd_Language Code,0.01591281391511739
SPS_vui.matrix_coefficients,0.014879954817852967
SPS_frame_cropping_flag,0.014543596930840346
sgpd,0.013844427116537477
SPS_frame_crop_right_offset,0.013705256385109131
SPS_vui.colour_primaries,0.01278184261382183
SPS_vui.video_format,0.012534664395354682
meta,0.012419622549995043
tkhd(2)_Height,0.012317418398364966
SPS_vui.time_scale,0.012272703658914688
hdlr,0.012137754805148731
free,0.011695850335828116
tkhd_Width,0.01140970445111089
SPS_vui.log2_max_mv_length_vertical,0.011380344962201033
mdhd(2)_Language Code,0.011285531046625661
SPS_log2_max_pic_order_cnt_lsb_minus4,0.011192694330253241
SPS_vui.video_full_range_flag,0.011108316653583541
SPS_profile_idc,0.011066103607324662
GOP,0.011048207143991011
smme,0.010920494715507158
SPS_num_ref_frames,0.010478241621630635
SPS_frame_crop_bottom_offset,0.01027772656556493
ctts,0.010276985200413612
mvhd_Timescale,0.009978031761195714
ftyp_Minor Version,0.009931499307013952
tkhd(2)_Create Time,0.009893707089127592
SPS_constraint_set0_flag,0.009722703326282146
elst(2)_Rate,0.009712975866612692
sbgp,0.009709946188497482
SPS_vui.transfer_characteristics,0.00944821150182849
SPS_vui.log2_max_mv_length_horizontal,0.009357854054746914
tkhd_Create Time,0.009179100123932572
ftyp_Compatible Brands,0.009116456903160342
SPS_frame_crop_top_offset,0.0090529085709536
tkhd_Modify Time,0.008644405042399156
stco,0.008362003211941853
SPS_pic_order_cnt_type,0.00824425660739001
ftyp_Major Brand,0.007691987747734612
stsz_Sample Size,0.007537828949295142
vhdr,0.007458603154676785
tkhd(2)_Width,0.007126819433922047
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.006956126235550808
SPS_vui.aspect_ratio_info_present_flag,0.006942547328523825
SPS_vui.timing_info_present_flag,0.006870806050087731
