Feature,Importance
GOP,3.0013908552643973
meta,2.084723089000736
mdhd_Timescale,1.4162129178264222
ctts,1.0629399490335236
stss,1.0093198822456646
elst(2)_Media Time,0.8997199648385852
mdhd(2)_Timescale,0.7018863065977935
sgpd,0.6115561462903331
sbgp,0.6115561102185089
tkhd_Create Time,0.4122925332552606
mdhd_Create Time,0.4122925332552606
mdhd(2)_Create Time,0.41201614601900394
tkhd(2)_Create Time,0.41201614601900394
mvhd_Create Time,0.4116120429925324
mdhd_Modify Time,0.38473085902513204
tkhd_Modify Time,0.38473085902513204
tkhd(2)_Modify Time,0.3844544717888779
mdhd(2)_Modify Time,0.3844544717888779
mvhd_Modify Time,0.38405036876240456
mvhd_Timescale,0.2991143467277815
mdhd_Language Code,0.26589049930882264
mdhd(2)_Language Code,0.26571747973491705
ftyp_Minor Version,0.2596807258916742
ftyp_Major Brand,0.24336658605185732
ftyp_Compatible Brands,0.17885866027897904
hdlr(4),0.15316699586309784
hdlr(3),0.15315754934280848
tkhd_Height,0.13785923929419194
tkhd_Width,0.13785923929419194
tapt,0.13708543952832555
tkhd(2)_Height,0.1362805281384823
tkhd(2)_Width,0.1362805281384823
sdtp,0.07886412162811683
elst(2)_Rate,0.07854512768785543
free,0.07688049290434842
elst_Rate,0.05630012412334725
SDLN,0.05331033539000806
cslg,0.04900576755435747
stco,0.04467338822740018
smrd,0.04138720602114106
stco(2),0.035819432059246925
smta,0.03158824966427575
sgpd(2),0.02794592600957306
sbgp(2),0.025298261327875562
elst_Media Time,0.02167213005740399
meta(2),0.017119181918913914
hdlr,0.015964590235034572
tapt(2),0.011832291827538432
ctts(2),0.011832291827538432
sbgp(3),0.011832291827538432
sgpd(5),0.011832291827538432
cslg(2),0.011832291827538432
stss(2),0.011832291827538406
tagc(2),0.01183229182753837
tagc,0.011832291827538288
tagc(3),0.011832291827538288
hdlr(2),0.011498216163869871
tkhd(3)_Height,0.011354425734194762
tkhd(3)_Width,0.011354425734194762
tkhd(3)_Track ID,0.011354425734194762
tkhd(3)_Create Time,0.011354425734194762
mdhd(3)_Create Time,0.011354425734194762
mdhd(3)_Modify Time,0.011354425734194762
tkhd(3)_Modify Time,0.011354425734194762
tkhd(4)_Create Time,0.010763002823765402
tkhd(4)_Width,0.010763002823765402
tkhd(4)_Height,0.010763002823765402
mdhd(4)_Create Time,0.010763002823765402
mdhd(4)_Modify Time,0.010763002823765402
tkhd(4)_Modify Time,0.010763002823765402
stsz(2)_Sample Size,0.010426507978025013
soct,0.010358850749159869
smhd,0.010253580671828823
tkhd(2)_Track ID,0.010253580671828823
dinf(2),0.010253580671828796
csgm(2),0.009817146734413888
sgpd(4),0.009750033971152698
csgm,0.009744963552798558
stsz_Sample Size,0.009286814575121982
dinf,0.009286814575121982
tkhd_Track ID,0.009286814575121982
sgpd(3),0.009085392107135052
skip,0.008834377819564882
smme,0.008834377819564681
stsz(5)_Sample Size,0.00832890611949439
vhdr,0.008199106020604988
tref,0.007703913825617681
mvhd_Next Track ID,0.0076861851677180945
stco(5),0.0071253640210443584
type,0.006989150496157591
mdhd(5)_Create Time,0.006458100709229059
tkhd(5)_Modify Time,0.006458100709229059
tkhd(5)_Width,0.006458100709229059
tkhd(5)_Height,0.006458100709229059
tkhd(5)_Create Time,0.006458100709229059
tkhd(5)_Track ID,0.006458100709229059
mdhd(5)_Modify Time,0.006458100709229059
elst(5)_Media Time,0.0054894646873765
elst(5)_Rate,0.0054894646873763974
tref(3),0.005465028659637551
hdlr(9),0.005465028659637551
gmhd(3),0.005465028659637551
dinf(5),0.005465028659637551
mdhd(5)_Timescale,0.005465028659637547
mdhd(5)_Language Code,0.005465028659637547
hdlr(10),0.005465028659637547
vmhd,0.005208540479288755
stco(4),0.004204220446753397
name(2),0.003887757880321391
stco(3),0.003169576751153431
stsz(3)_Sample Size,0.002899624426273778
stsz(4)_Sample Size,0.0027535799008462213
tref(2),0.002665985252222505
elst(3)_Media Time,0.0022302511132969408
