Feature,Importance
mdhd(2)_Timescale,0.04393661037968631
mdhd_Timescale,0.04226535195987434
GOP,0.040135890156313345
auth,0.03793766257756112
elst_Media Time,0.037710166734030534
mdhd(2)_Language Code,0.029867220097050284
meta,0.029655656219071517
ctts,0.028195920407472957
type,0.026607672888590925
mdhd_Language Code,0.02449024425247245
stco,0.024128894779210704
elst(2)_Media Time,0.02396398710740382
ftyp_Major Brand,0.02179313874487521
tkhd_Create Time,0.021574624235632087
stco(2),0.021198521432303545
free,0.021181032974110885
tkhd(2)_Width,0.02039770544131048
tkhd(2)_Height,0.01987444245499487
elst_Rate,0.01657265335821131
tkhd_Height,0.01636633760547684
mvhd_Timescale,0.014998968667660912
mdhd_Create Time,0.014383229530149644
smta,0.013898806065301904
sgpd,0.01351746560836639
sbgp,0.013374919181206252
SDLN,0.01332947810506199
ftyp_Minor Version,0.013251285591466863
mdhd(2)_Create Time,0.012290291795235197
hdlr(2),0.012128209104705858
sgpd(2),0.012121312203779419
tkhd(2)_Create Time,0.011968406029715044
cslg,0.011490515561915595
vhdr,0.011216363776988897
sdtp,0.011130306196909245
tkhd_Width,0.01111781440631407
smrd,0.011057114579853373
mdhd_Modify Time,0.010931142794391821
name(2),0.010051672995700775
hdlr,0.009857582557776872
tkhd_Modify Time,0.009853948005750762
mvhd_Modify Time,0.009758988661071225
tkhd(2)_Modify Time,0.009509589055435658
elst(2)_Rate,0.00912282534199829
csgm,0.00906898274661465
smme,0.008588676560626793
stss,0.008093419346926398
sbgp(2),0.007650160180348511
ftyp_Compatible Brands,0.007474533461633768
tkhd(2)_Track ID,0.007286525515460431
vmhd,0.006798042222650714
mvhd_Create Time,0.0065918100986465875
csgm(2),0.006438826834858696
tref,0.0064255807908780715
hdlr(4),0.006203265506489762
mdhd(3)_Modify Time,0.005716705123079421
sgpd(4),0.005458437521614551
hdlr(3),0.004951005929106431
mdhd(2)_Modify Time,0.004517377934875654
dinf,0.0044395184502225
gmhd,0.004356220300955858
tkhd_Track ID,0.003720524012423672
tapt,0.0035563337109522455
stsz(3)_Sample Size,0.003540393659824686
hdlr(6),0.003537202271116663
mdhd(3)_Language Code,0.0034367743025751477
tkhd(3)_Width,0.0032531532397599176
mdhd(3)_Timescale,0.003036379949985238
skip,0.0029294060458424304
tkhd(3)_Height,0.0024162439316582967
tkhd(3)_Create Time,0.002174813687743549
dinf(3),0.0018450527909078095
sgpd(3),0.0018248782635629118
meta(2),0.0018182537531869958
tkhd(3)_Modify Time,0.0018097227288374278
tkhd(4)_Create Time,0.0017121294193363451
elst(3)_Media Time,0.0016648880627491733
hdlr(5),0.0016219250297403924
stsz(2)_Sample Size,0.0016114438241677867
mvhd_Next Track ID,0.001553797848435081
tkhd(4)_Track ID,0.001455443393156577
stco(4),0.0013881666172603643
tkhd(5)_Height,0.0013019191473284735
stsz(5)_Sample Size,0.0012966906017429683
stsz_Sample Size,0.0012200475366555908
smhd,0.0011461558708234767
soct,0.0010949162220942315
elst(3)_Rate,0.001091436624535614
hdlr(10),0.0010290336461023187
stco(5),0.0009711260652393632
dinf(4),0.0009372119576179293
dinf(2),0.0009247416318110573
tkhd(5)_Modify Time,0.0008215506772747643
tkhd(3)_Track ID,0.0008065117678860325
gmhd(2),0.0007978070106831614
mdhd(4)_Modify Time,0.0007838762924001233
gmhd(3),0.000780125962720367
mdhd(3)_Create Time,0.0007241283158647753
elst(5)_Media Time,0.0007206539859491891
mdhd(5)_Create Time,0.000616074478550656
hdlr(9),0.0005050165513854763
mdhd(5)_Language Code,0.00044158840211462857
tkhd(5)_Width,0.00042745989891427005
tref(3),0.00040298951722760046
stco(3),0.0003921288506372293
tref(2),0.0003549879997005969
mdhd(5)_Timescale,0.0003136628865027922
stsz(4)_Sample Size,0.0003130450733266456
tkhd(4)_Width,0.00025073596006525443
elst(5)_Rate,0.00023183865075192966
dinf(5),0.0002261612654468224
hdlr(7),0.00019439743281622572
elst(4)_Media Time,0.00017570799810878994
tkhd(4)_Height,0.0001318442018133466
mdhd(5)_Modify Time,0.00012898074233582766
tkhd(5)_Create Time,7.230693943102628e-05
tkhd(5)_Track ID,4.638402954308356e-05
mdhd(4)_Language Code,3.713216780333159e-05
tagc,3.232477062190728e-05
ctts(2),2.763956409204446e-05
elst(4)_Rate,2.440316955643193e-05
hdlr(8),1.57109604813787e-05
stss(2),7.63197927292736e-06
tagc(3),1.9285021493367412e-06
sdtp(2),0.0
stsc(2)_Entry Count,0.0
cslg(2),0.0
tkhd_Duration,0.0
mvhd_Duration,0.0
vmhd(2),0.0
tapt(2),0.0
stsd_Entry Count,0.0
0,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
wide,0.0
elst(2)_'Duration,0.0
