Feature,Importance
csgm(2),0.08494107
ftyp_Major Brand,0.045991104
type,0.041104183
vmhd,0.040889602
name(2),0.04071991
tkhd_Track ID,0.039719064
mvhd_Next Track ID,0.03684692
hdlr(3),0.033995904
gmhd(2),0.031195428
mdhd_Timescale,0.029964298
stco(4),0.028924363
elst_Media Time,0.0285797
sgpd(2),0.02857677
mdhd_Language Code,0.027841749
auth,0.027740886
cslg,0.025886104
tkhd_Create Time,0.025438549
mdhd(2)_Language Code,0.025188489
sgpd(3),0.024692316
sdtp,0.022204768
ftyp_Minor Version,0.021172455
smta,0.019225506
elst(2)_Media Time,0.019225037
tkhd_Width,0.01794048
mdhd(2)_Timescale,0.017779658
elst_Rate,0.017587049
stsz(4)_Sample Size,0.016766936
free,0.016664146
mvhd_Create Time,0.014142298
mvhd_Timescale,0.01397258
GOP,0.013164155
tkhd(2)_Width,0.013144867
meta(2),0.0119328555
stco(3),0.011710221
mdhd(3)_Timescale,0.011402429
meta,0.011299195
hdlr,0.010792524
sgpd,0.010474828
sbgp(2),0.008960754
ctts,0.0075776386
stco(2),0.0041865865
stsz(2)_Sample Size,0.003099458
csgm,0.0029762378
stco,0.0029676496
SDLN,0.0025880402
stss,0.0015455968
elst(5)_Media Time,0.0014596819
stco(5),0.0012586333
elst(4)_Media Time,0.0012527712
stsz(5)_Sample Size,0.0010671312
stsz(3)_Sample Size,0.0007851919
tkhd(2)_Track ID,0.00075927493
tkhd(2)_Create Time,0.00067697477
mdhd(2)_Duration,0.0
mdhd(5)_Language Code,0.0
mdhd_Modify Time,0.0
mdhd_Duration,0.0
hdlr(2),0.0
stsz(5)_Sample Count,0.0
dinf,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
dinf(5),0.0
hdlr(10),0.0
gmhd(3),0.0
hdlr(9),0.0
mdhd(5)_Duration,0.0
elst_Entries,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
stsd_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
mdhd_Create Time,0.0
elst_Entry Count,0.0
stsz(4)_Sample Count,0.0
free(2),0.0
0,0.0
skip,0.0
smme,0.0
vhdr,0.0
ftyp_Compatible Brands,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
wide,0.0
mvhd_Modify Time,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
mvhd_Duration,0.0
smrd,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Height,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
stts_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsc_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
tref,0.0
elst(3)_Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Width,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
tkhd(2)_Duration,0.0
tapt,0.0
SPS,0.0
tkhd(2)_Height,0.0
sbgp,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
stsz(2)_Sample Count,0.0
elst(2)_Rate,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
dinf(2),0.0
hdlr(4),0.0
smhd,0.0
mdhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
mdhd(3)_Language Code,0.0
mdhd(2)_Modify Time,0.0
hdlr(5),0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
stsz_Sample Size,0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
elst(4)_Rate,0.0
stsz_Sample Count,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stsz(3)_Sample Count,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
gmhd,0.0
soct,0.0
