Feature,Importance
stco(2),10282
stco,8702
SPS_pic_width_in_mbs_minus1,6801
GOP,4820
mdhd_Timescale,4510
SPS_pic_height_in_map_units_minus1,4420
elst_Media Time,3455
SPS_level_idc,3106
sdtp,2684
elst(2)_Media Time,2644
mvhd_Timescale,2425
stco(4),2031
auth,1983
hdlr,1822
SPS_vui.colour_primaries,1623
SPS_vui.matrix_coefficients,1547
SPS_frame_crop_bottom_offset,1523
ftyp_Major Brand,1338
SPS_profile_idc,1314
mdhd(2)_Timescale,1280
hdlr(2),1116
mvhd_Next Track ID,1096
stco(5),1074
SPS_frame_crop_right_offset,1054
cslg,1023
SPS_vui_parameters_present_flag,996
SPS_pic_order_cnt_type,978
ftyp_Minor Version,899
meta,882
stss,860
SPS_log2_max_pic_order_cnt_lsb_minus4,838
tkhd_Width,823
SPS_frame_cropping_flag,822
sequence,809
SPS_vui.video_format,797
mdhd_Language Code,659
ctts,651
SPS_vui.chroma_sample_loc_type_top_field,595
SPS_vui.log2_max_mv_length_horizontal,566
vmhd,556
mvhd_Create Time,501
sgpd,491
sgpd(3),443
stsz(4)_Sample Size,428
SPS_vui.time_scale,413
sbgp(2),408
SPS_num_ref_frames,384
elst_Rate,335
SPS_vui.max_bytes_per_pic_denom,329
SPS_chroma_format_idc,327
SPS_vui.video_full_range_flag,299
mdhd(2)_Language Code,292
hdlr(3),281
SPS_constraint_set0_flag,275
SPS_frame_crop_left_offset,275
smta,253
SPS_vui.transfer_characteristics,250
sgpd(2),237
tkhd_Create Time,230
SPS_vui.video_signal_type_present_flag,229
stsz(2)_Sample Size,226
free,225
stco(3),221
stsz(3)_Sample Size,221
SPS_vui.fixed_frame_rate_flag,213
csgm(2),167
elst(4)_Media Time,152
SPS_vui.aspect_ratio_info_present_flag,149
SPS_log2_max_frame_num_minus4,148
tkhd_Track ID,142
SDLN,141
stsz(5)_Sample Size,138
tref,137
SPS_vui.num_units_in_tick,136
SPS_vui.bitstream_restriction_flag,121
name(2),120
tkhd(2)_Width,112
meta(2),111
SPS_vui.aspect_ratio_idc,91
ftyp_Compatible Brands,79
SPS_seq_scaling_matrix_present_flag,69
SPS_vui.timing_info_present_flag,57
SPS_vui.chroma_loc_info_present_flag,56
tapt,52
gmhd(2),52
elst(3)_Media Time,43
tkhd(2)_Create Time,42
hdlr(4),31
elst(2)_Rate,28
tkhd(4)_Track ID,26
csgm,25
tkhd(5)_Track ID,25
SPS_vui.num_reorder_frames,23
tkhd(2)_Track ID,20
SPS_vui.nal_hrd_parameters_present_flag,11
elst(5)_Media Time,11
tref(2),8
SPS_vui.motion_vectors_over_pic_boundaries_flag,7
smrd,7
SPS_constraint_set1_flag,7
sbgp,6
elst(3)_Rate,4
mdhd(3)_Timescale,4
SPS_vui.log2_max_mv_length_vertical,3
tkhd(3)_Track ID,3
tkhd(4)_Create Time,2
mvhd_Modify Time,2
tkhd_Modify Time,1
tkhd(2)_Modify Time,1
mdhd(5)_Duration,0
smme,0
hdlr(10),0
gmhd(3),0
vhdr,0
dinf(5),0
hdlr(9),0
mdhd(5)_Language Code,0
tagc(2),0
mdhd(5)_Timescale,0
skip,0
mdhd(5)_Modify Time,0
stts(5)_Entry Count,0
mdhd(5)_Create Time,0
tref(3),0
elst(5)_Rate,0
elst(5)_Entries,0
elst(5)_Entry Count,0
tkhd(5)_Height,0
tkhd(5)_Width,0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
tkhd(5)_Create Time,0
0,0
stsd(5)_Entry Count,0
co64_Entry Count,0
stsc(5)_Entry Count,0
elst(2)_'Duration,0
sgpd(5),0
tagc,0
SPS_vui.max_bits_per_mb_denom,0
sdtp(2),0
SPS_vui.max_dec_frame_buffering,0
stss(2),0
tgas,0
SPS_hrd.cpb_cnt_minus1,0
SPS_hrd.bit_rate_scale,0
SPS_hrd.cpb_size_scale,0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0
cslg(2),0
ctts(2),0
SPS_hrd.cpb_removal_delay_length_minus1,0
vmhd(2),0
tapt(2),0
sgpd(4),0
SPS_hrd.dpb_output_delay_length_minus1,0
SPS_hrd.time_offset_length,0
SPS_vui.low_delay_hrd_flag,0
SPS_vui.chroma_sample_loc_type_bottom_field,0
free(2),0
tagc(3),0
co64(2)_Entry Count,0
type,0
elst_'Duration,0
stsz(5)_Sample Count,0
sbgp(3),0
mdhd(3)_Create Time,0
stsz(4)_Sample Count,0
stsz(2)_Sample Count,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
smhd,0
dinf(2),0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
SPS,0
SPS_frame_mbs_only_flag,0
SPS_constraint_set2_flag,0
SPS_constraint_set3_flag,0
SPS_constraint_set4_flag,0
SPS_constraint_set5_flag,0
SPS_seq_parameter_set_id,0
SPS_bit_depth_luma_minus8,0
SPS_bit_depth_chroma_minus8,0
SPS_qpprime_y_zero_transform_bypass_flag,0
elst(2)_Entries,0
elst(2)_Entry Count,0
tkhd(2)_Height,0
tkhd(2)_Duration,0
wide,0
mvhd_Duration,0
mvhd_Preferred Rate,0
mvhd_Preferred Volume,0
tkhd_Duration,0
tkhd_Height,0
elst_Entry Count,0
elst_Entries,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
stsz_Sample Count,0
SPS_gaps_in_frame_num_value_allowed_flag,0
SPS_direct_8x8_inference_flag,0
stsc(4)_Entry Count,0
mdhd(4)_Create Time,0
stsz(3)_Sample Count,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
