Feature,Importance
GOP,1.2427900478363938
meta,0.8185323312851248
SPS_vui.matrix_coefficients,0.8091591229542262
SPS_vui.colour_primaries,0.807747935457771
sgpd,0.7262543074680397
sbgp,0.7262542938308671
SPS_vui.transfer_characteristics,0.713612650736333
SPS_log2_max_pic_order_cnt_lsb_minus4,0.6496273342489264
ctts,0.5972287724664411
stss,0.5551508681291485
SPS_constraint_set0_flag,0.516251371434753
SPS_vui.num_reorder_frames,0.5140613471704055
SPS_vui.fixed_frame_rate_flag,0.501486661538646
SPS_vui.time_scale,0.48369908607797063
elst(2)_Media Time,0.4353720008721898
mdhd(2)_Timescale,0.4288530786621341
mdhd_Timescale,0.42120111032867
SPS_pic_order_cnt_type,0.4052589629835594
SPS_vui.timing_info_present_flag,0.3670507142253133
SPS_vui.log2_max_mv_length_horizontal,0.3472623665415976
mdhd_Language Code,0.34082208146266746
mvhd_Create Time,0.32612322362343776
SPS_frame_crop_left_offset,0.3197094780840126
SPS_frame_crop_top_offset,0.3197094780840126
mvhd_Modify Time,0.3189491649965357
SPS_level_idc,0.3178539072805349
tkhd_Create Time,0.3095966533881558
mdhd_Create Time,0.3095966533881558
mdhd(2)_Create Time,0.3093029189809208
tkhd(2)_Create Time,0.3093029189809208
tkhd_Modify Time,0.30242259476125455
mdhd_Modify Time,0.30242259476125455
tkhd(2)_Modify Time,0.3021288603540198
mdhd(2)_Modify Time,0.3021288603540198
SPS_vui.log2_max_mv_length_vertical,0.30136851292092426
SPS_vui.max_dec_frame_buffering,0.2644177274391483
SPS_vui.colour_description_present_flag,0.232762790482159
ftyp_Minor Version,0.21715676685606003
SPS_pic_height_in_map_units_minus1,0.21405192008866705
SPS_vui.video_full_range_flag,0.21085713183372812
SPS_pic_width_in_mbs_minus1,0.2035660855270271
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.2000940557494217
SPS_vui.max_bits_per_mb_denom,0.19945566285120672
SPS_vui.max_bytes_per_pic_denom,0.1994553372920262
mvhd_Timescale,0.19601561798852457
mdhd(2)_Language Code,0.19410004081349852
SPS_vui.video_signal_type_present_flag,0.1877364471189845
SPS_vui.num_units_in_tick,0.1830859326320925
SPS_frame_cropping_flag,0.1770397681359352
ftyp_Major Brand,0.16546549982200504
elst(2)_Rate,0.1433357292373451
SPS_vui.video_format,0.1429082207437401
smrd,0.13863418531647104
SPS_log2_max_frame_num_minus4,0.13825712683215777
