Feature,Importance
SPS_pic_width_in_mbs_minus1,0.02596776039170823
SPS_pic_height_in_map_units_minus1,0.02584662631575929
auth,0.025350715814991712
mdhd(2)_Timescale,0.024261222385563413
mdhd_Timescale,0.021764806428107488
mvhd_Timescale,0.021086667953836215
meta,0.018362855107108417
elst(2)_Media Time,0.01834978643307394
SPS_level_idc,0.017441651746211494
SPS_vui.time_scale,0.015491361358452957
mdhd_Language Code,0.015264130401491771
sequence,0.015149126747313207
SPS_vui.video_full_range_flag,0.014850713660150585
SPS_vui.matrix_coefficients,0.014606749727408743
mdhd(2)_Language Code,0.014226194013791289
sbgp,0.013766865796110478
SPS_vui.max_bits_per_mb_denom,0.01352445395519062
elst_Media Time,0.013300328768515
SPS_profile_idc,0.013110396401967928
ftyp_Compatible Brands,0.012625976832489127
SPS_frame_crop_right_offset,0.012372092984149579
ftyp_Major Brand,0.012142427441619814
GOP,0.01188433649888393
sgpd,0.011656249504990533
SPS_frame_cropping_flag,0.011408248684468957
SPS_vui.log2_max_mv_length_vertical,0.011393942265953937
hdlr(2),0.01092193646871488
type,0.010360302158887606
SPS_vui.colour_primaries,0.010189176616717062
SPS_vui.video_format,0.0101166379223698
SPS_vui.transfer_characteristics,0.009954885851999695
SPS_log2_max_pic_order_cnt_lsb_minus4,0.009872003946563611
elst_Rate,0.009707904377568397
tkhd(2)_Width,0.009626848198791284
smrd,0.009600235925366782
tkhd_Create Time,0.00945731389394607
SPS_vui.num_reorder_frames,0.009453581992912918
tkhd(2)_Modify Time,0.009403342815142553
hdlr,0.008706001845242428
SDLN,0.008682852900954585
SPS_vui.aspect_ratio_info_present_flag,0.008565528005579475
tkhd_Width,0.008544662324949721
SPS_num_ref_frames,0.008378519406416936
mdhd(2)_Create Time,0.008355664293175975
SPS_frame_crop_left_offset,0.008317474889052576
SPS_frame_crop_top_offset,0.008297940020212186
elst(2)_Rate,0.008211046264069667
SPS_frame_crop_bottom_offset,0.007945911535859204
free,0.007688825534118137
vmhd,0.007626672618501435
tkhd(2)_Height,0.007576513153508607
SPS_constraint_set0_flag,0.007344602461548662
smta,0.00700874406121188
SPS_vui.video_signal_type_present_flag,0.006912336019500488
ctts,0.006899176152688358
sgpd(4),0.00673688228793112
stco,0.006523848579765513
SPS_vui.bitstream_restriction_flag,0.0063338903467468725
tkhd_Height,0.006293173651570485
stco(2),0.0062509269179969575
mdhd(2)_Modify Time,0.006022529068677308
SPS_vui.num_units_in_tick,0.005975710405227816
SPS_bit_depth_luma_minus8,0.005876743739550713
mvhd_Create Time,0.005862707181938135
stss,0.005803067479172102
hdlr(5),0.0057498217283751775
mdhd_Modify Time,0.005709916025288293
SPS_vui.max_dec_frame_buffering,0.0056129294881156
SPS_pic_order_cnt_type,0.005581997894848989
mdhd_Create Time,0.005420550058052358
SPS_bit_depth_chroma_minus8,0.00526079256067181
ftyp_Minor Version,0.0052320327153354195
SPS_vui.timing_info_present_flag,0.005195021987436797
SPS_vui.max_bytes_per_pic_denom,0.005186570115996615
SPS_vui.log2_max_mv_length_horizontal,0.005127203710799413
name(2),0.005120901463621655
SPS_vui_parameters_present_flag,0.00510345146536488
SPS_vui.fixed_frame_rate_flag,0.005079487752618539
mvhd_Modify Time,0.004933084719599143
SPS_constraint_set3_flag,0.004835352021962387
SPS_chroma_format_idc,0.004813446625708454
