Feature,Importance
auth,5451
stco(2),4533
stco,4471
GOP,4375
mdhd_Timescale,4206
sequence,4072
ftyp_Major Brand,3338
mdhd(2)_Timescale,3134
elst(2)_Media Time,2643
meta,2399
elst_Media Time,2217
sdtp,2193
smta,1686
mvhd_Timescale,1508
ftyp_Minor Version,1379
hdlr,1076
vmhd,1021
mdhd(2)_Language Code,967
tkhd_Width,897
stss,862
ctts,847
mvhd_Create Time,838
elst_Rate,766
hdlr(2),696
stco(4),582
hdlr(3),529
cslg,496
mdhd_Language Code,448
SDLN,446
mvhd_Next Track ID,442
tkhd_Create Time,399
free,352
sgpd(2),327
tkhd_Modify Time,312
tkhd(2)_Create Time,266
sgpd,261
stco(5),239
tkhd_Track ID,234
stsz(4)_Sample Size,211
meta(2),198
tkhd(2)_Width,191
sgpd(3),188
name(2),167
csgm(2),156
ftyp_Compatible Brands,141
stsz(3)_Sample Size,119
tref,117
gmhd(2),90
stsz(5)_Sample Size,75
tapt,68
smrd,57
tkhd(4)_Track ID,55
tkhd(2)_Track ID,52
stco(3),41
stsz(2)_Sample Size,40
elst(5)_Media Time,35
elst(2)_Rate,20
tkhd(4)_Create Time,20
tkhd(5)_Track ID,15
sbgp(2),10
elst(4)_Media Time,8
elst(3)_Media Time,7
mvhd_Modify Time,5
tref(2),4
csgm,2
vhdr,1
elst(5)_Entries,0
tref(3),0
mdhd(5)_Create Time,0
mdhd(5)_Modify Time,0
elst(5)_Rate,0
tkhd(5)_Width,0
elst(5)_Entry Count,0
tkhd(5)_Height,0
mdhd(5)_Duration,0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
tkhd(5)_Create Time,0
0,0
stsz(4)_Sample Count,0
stsc(4)_Entry Count,0
stts(4)_Entry Count,0
stsd(4)_Entry Count,0
mdhd(5)_Timescale,0
tagc,0
mdhd(5)_Language Code,0
co64_Entry Count,0
tagc(2),0
stss(2),0
cslg(2),0
tagc(3),0
ctts(2),0
sgpd(5),0
vmhd(2),0
tapt(2),0
sgpd(4),0
dinf(4),0
sbgp(3),0
free(2),0
co64(2)_Entry Count,0
hdlr(9),0
type,0
elst_'Duration,0
elst(2)_'Duration,0
smme,0
skip,0
stsz(5)_Sample Count,0
stsc(5)_Entry Count,0
stts(5)_Entry Count,0
stsd(5)_Entry Count,0
sdtp(2),0
hdlr(10),0
gmhd(3),0
dinf(5),0
stsc(3)_Entry Count,0
hdlr(8),0
mdhd(2)_Duration,0
tkhd(2)_Duration,0
tkhd(2)_Height,0
elst(2)_Entry Count,0
elst(2)_Entries,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
smhd,0
stsz_Sample Count,0
hdlr(4),0
dinf(2),0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
stsz(2)_Sample Count,0
tkhd(2)_Modify Time,0
stsz_Sample Size,0
hdlr(7),0
elst_Entry Count,0
wide,0
mvhd_Duration,0
mvhd_Preferred Rate,0
mvhd_Preferred Volume,0
tkhd_Duration,0
tkhd_Height,0
elst_Entries,0
stsc_Entry Count,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
sbgp,0
SPS,0
tkhd(3)_Track ID,0
elst(4)_Entry Count,0
stts(3)_Entry Count,0
stsz(3)_Sample Count,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst(4)_Entries,0
tkhd(3)_Create Time,0
elst(4)_Rate,0
mdhd(4)_Create Time,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
mdhd(3)_Language Code,0
mdhd(3)_Duration,0
mdhd(3)_Timescale,0
mdhd(3)_Modify Time,0
mdhd(3)_Create Time,0
elst(3)_Rate,0
elst(3)_Entries,0
elst(3)_Entry Count,0
tkhd(3)_Height,0
tkhd(3)_Width,0
tkhd(3)_Duration,0
tkhd(3)_Modify Time,0
soct,0
