Feature,Importance
GOP,1.1145160113374115
meta,0.8450192496282848
SPS_vui.matrix_coefficients,0.8144571564731123
SPS_vui.colour_primaries,0.8131681363066285
sgpd,0.7337788811055429
sbgp,0.7337788676059622
SPS_vui.transfer_characteristics,0.7165310873878528
SPS_log2_max_pic_order_cnt_lsb_minus4,0.6913886099071881
ctts,0.6380158850285405
stss,0.5600195359839999
SPS_vui.fixed_frame_rate_flag,0.553332849346323
SPS_vui.num_reorder_frames,0.5478230911394446
SPS_constraint_set0_flag,0.5465910310513705
SPS_vui.time_scale,0.5443620445549161
mdhd(2)_Timescale,0.4708633625527702
elst(2)_Media Time,0.4391079837207759
SPS_pic_order_cnt_type,0.43264860756819606
mdhd_Timescale,0.4164977909524266
SPS_vui.timing_info_present_flag,0.40331480302241074
SPS_vui.log2_max_mv_length_horizontal,0.34908520058444115
mdhd_Language Code,0.3405937818608369
mvhd_Create Time,0.32219129856840417
SPS_frame_crop_left_offset,0.320214236269601
SPS_frame_crop_top_offset,0.320214236269601
SPS_level_idc,0.31496694936755015
mvhd_Modify Time,0.3137487216341173
mdhd_Create Time,0.3077428264734659
tkhd_Create Time,0.3077428264734659
tkhd(2)_Create Time,0.3074720833379843
mdhd(2)_Create Time,0.3074720833379843
SPS_vui.log2_max_mv_length_vertical,0.302505851272757
mdhd_Modify Time,0.2993002495391803
tkhd_Modify Time,0.2993002495391803
tkhd(2)_Modify Time,0.29902950640369874
mdhd(2)_Modify Time,0.29902950640369874
SPS_vui.max_dec_frame_buffering,0.27189342543053424
SPS_vui.colour_description_present_flag,0.2390943825822409
mdhd(2)_Language Code,0.23531536721750332
SPS_vui.video_full_range_flag,0.217647599973455
ftyp_Minor Version,0.21137976343220644
SPS_pic_height_in_map_units_minus1,0.2081056854002067
SPS_vui.num_units_in_tick,0.20601269626589336
SPS_pic_width_in_mbs_minus1,0.20260112198298796
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.20079683884192215
SPS_vui.max_bits_per_mb_denom,0.20001101625791354
SPS_vui.max_bytes_per_pic_denom,0.20001061551448887
SPS_vui.video_signal_type_present_flag,0.1911566906796685
mvhd_Timescale,0.18762047713428898
SPS_frame_cropping_flag,0.17715002845869615
ftyp_Major Brand,0.16347405668818996
SPS_vui.video_format,0.149782365420194
elst(2)_Rate,0.14756477646996716
smrd,0.1402297937002299
SDLN,0.13885319093094703
SPS_log2_max_frame_num_minus4,0.1385894324084587
tkhd(2)_Height,0.11212674435333687
tkhd(2)_Width,0.11212674435333687
elst_Rate,0.10659500233970129
smta,0.09880146547012117
SPS_vui.aspect_ratio_info_present_flag,0.09880111864088771
ftyp_Compatible Brands,0.0955317067122483
SPS_vui.aspect_ratio_idc,0.09473224097347578
hdlr(4),0.09045943580916001
hdlr(3),0.09045451379123091
SPS_vui.bitstream_restriction_flag,0.09026338896674994
tapt,0.08597011387395453
SPS_num_ref_frames,0.0744253820904614
SPS_frame_crop_right_offset,0.0706915032565474
tkhd_Width,0.06952950683090006
tkhd_Height,0.06952950683090006
SPS_profile_idc,0.059790159128964265
SPS_vui.pic_struct_present_flag,0.05646543238669441
SPS_vui.nal_hrd_parameters_present_flag,0.05646543238669441
SPS_vui.chroma_loc_info_present_flag,0.05192963228643422
SPS_constraint_set1_flag,0.04597598351488407
free,0.04335057289574482
tkhd(2)_Track ID,0.041183772693280954
dinf(2),0.041183772693280954
smhd,0.041183772693280954
dinf,0.04023674891662709
stsz_Sample Size,0.04023674891662694
