Feature,Importance
meta,2.937925527646983
mdhd_Timescale,1.7882521710254038
stss,1.4449127049701644
elst(2)_Media Time,1.2934671653670975
ctts,1.2537137537580987
mdhd(2)_Timescale,0.9871826241332948
sgpd,0.6461668888528801
sbgp,0.6461668560316715
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.6198386996471492
mdhd(2)_Language Code,0.46451452169848617
mvhd_Create Time,0.43216079085148734
mdhd_Create Time,0.4123678368581685
tkhd_Create Time,0.4123678368581685
tkhd(2)_Create Time,0.4122597171260712
mdhd(2)_Create Time,0.4122597171260712
mvhd_Modify Time,0.3970954829446264
tkhd_Modify Time,0.3773025289513053
mdhd_Modify Time,0.3773025289513053
tkhd(2)_Modify Time,0.37719440921921216
mdhd(2)_Modify Time,0.37719440921921216
mvhd_Timescale,0.3089382460461685
mdhd_Language Code,0.2999350353569168
ftyp_Minor Version,0.26878707120792716
ftyp_Major Brand,0.24623953340525995
ftyp_Compatible Brands,0.1848787785102252
hdlr(4),0.17791919179835491
hdlr(3),0.17790918751410909
tapt,0.15986731570383336
tkhd(2)_Height,0.1318219781436717
tkhd(2)_Width,0.1318219781436717
free,0.10943877026321668
stco,0.10536229376325795
tkhd_Height,0.10352354765586685
tkhd_Width,0.10352354765586685
stco(2),0.10186721294601558
elst(2)_Rate,0.08025716486354138
smrd,0.06695435055560614
elst_Rate,0.06227782382255241
SDLN,0.060560996818699926
elst_Media Time,0.05115054887181014
smta,0.04502092661480301
sdtp,0.04285336990372893
cslg,0.04079552047612482
sgpd(2),0.03807272023282524
sbgp(2),0.03655355801283697
meta(2),0.028045128806734265
hdlr,0.024743998292585067
tref,0.023680966531303953
sequence,0.022535973765275896
hdlr(2),0.02220754798099116
dinf(2),0.02185109096504114
smhd,0.021851090965040985
tkhd(2)_Track ID,0.021851090965040985
tkhd_Track ID,0.021472902403250477
stsz_Sample Size,0.021472902403250477
dinf,0.021472902403250477
name(2),0.01976125832780701
auth,0.017755055636115062
vmhd,0.017540234609123576
stsz(2)_Sample Size,0.01687261044335696
mdhd(3)_Language Code,0.01321429599459268
hdlr(6),0.01321429599459268
dinf(3),0.013214295994592583
gmhd,0.013214295994592583
elst(3)_Rate,0.013214295994592583
hdlr(5),0.013213943942131259
mdhd(3)_Timescale,0.013173192708485484
hdlr(7),0.012870703876458642
dinf(4),0.012870703876458642
hdlr(8),0.01287070387645861
mdhd(4)_Language Code,0.01287070387645861
mdhd(4)_Timescale,0.01287070387645861
tkhd(4)_Track ID,0.01287070387645861
elst(4)_Rate,0.01285643154117399
elst(4)_Media Time,0.012841017258797974
gmhd(2),0.012816718090602544
stsz(4)_Sample Size,0.011911207188952819
tref(2),0.011871974574673943
type,0.011792093254232864
stsz(3)_Sample Size,0.011740553113228703
hdlr(10),0.010262117329274765
mdhd(5)_Language Code,0.010262117329274765
mdhd(5)_Timescale,0.010262117329274765
tref(3),0.010262117329274572
gmhd(3),0.010262117329274572
hdlr(9),0.010262117329274572
dinf(5),0.010262117329274572
elst(5)_Media Time,0.010247844993990295
elst(5)_Rate,0.010247844993990106
elst(3)_Media Time,0.009413738400721286
vhdr,0.009280846137290223
smme,0.009156600941409802
skip,0.009156600941409623
tgas,0.008871458269552579
stco(3),0.008564050587837152
stsz(5)_Sample Size,0.008534372997996042
sgpd(3),0.00807767067787727
csgm,0.0076763168513857335
sgpd(4),0.007672706320743098
csgm(2),0.007633315311981988
tkhd(3)_Width,0.006820942257687425
tkhd(3)_Modify Time,0.006820942257687425
mdhd(3)_Modify Time,0.006820942257687425
tkhd(3)_Height,0.006820942257687425
tkhd(3)_Track ID,0.006820942257687425
tkhd(3)_Create Time,0.006820942257687425
mdhd(3)_Create Time,0.006820942257687425
mdhd(4)_Create Time,0.006477350139553396
mdhd(4)_Modify Time,0.006477350139553396
tkhd(4)_Height,0.006477350139553396
tkhd(4)_Width,0.006477350139553396
tkhd(4)_Modify Time,0.006477350139553396
tkhd(4)_Create Time,0.006477350139553396
stss(2),0.006447339522761313
tagc(2),0.006447339522761206
tagc,0.0064473395227611675
tagc(3),0.0064473395227611675
tapt(2),0.006447339522760956
ctts(2),0.006447339522760956
cslg(2),0.006447339522760956
sgpd(5),0.006447339522760956
sbgp(3),0.006447339522760956
stco(4),0.006419327502595902
soct,0.005953895611136697
stco(5),0.004705040673471485
mvhd_Next Track ID,0.00454651801813608
tkhd(5)_Create Time,0.003868763592369419
mdhd(5)_Modify Time,0.003868763592369419
mdhd(5)_Create Time,0.003868763592369419
tkhd(5)_Track ID,0.003868763592369419
tkhd(5)_Width,0.003868763592369419
tkhd(5)_Modify Time,0.003868763592369419
tkhd(5)_Height,0.003868763592369419
vmhd(2),5.3985785855937865e-05
sdtp(2),5.398578585593717e-05
mdhd(2)_Duration,0.0
mdhd_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
stsz_Sample Count,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
free(2),0.0
tkhd(5)_Duration,0.0
elst_Entries,0.0
elst_Entry Count,0.0
co64_Entry Count,0.0
stsd(2)_Entry Count,0.0
tkhd_Duration,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
mvhd_Preferred Volume,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
wide,0.0
0,0.0
co64(2)_Entry Count,0.0
SPS,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
