Feature,Importance
csgm(2),0.12037885
ftyp_Major Brand,0.044792872
tkhd_Track ID,0.042058285
name(2),0.040795702
vmhd,0.040443078
type,0.04036657
mvhd_Next Track ID,0.03676458
hdlr(3),0.034513682
elst_Media Time,0.029976249
gmhd(2),0.029579481
auth,0.027221417
sequence,0.025898796
mdhd_Timescale,0.025725082
tkhd_Create Time,0.025585061
mdhd(2)_Language Code,0.025313338
cslg,0.02530287
mdhd_Language Code,0.024540734
sgpd(2),0.023431791
stco(4),0.023203623
elst(2)_Media Time,0.021023594
sdtp,0.020837942
tkhd_Width,0.0196757
smta,0.019420663
ftyp_Minor Version,0.01897295
sgpd(3),0.018402688
stco(3),0.01717349
mvhd_Timescale,0.015092581
mdhd(2)_Timescale,0.015066987
elst_Rate,0.014327231
stsz(4)_Sample Size,0.013632714
tkhd(2)_Width,0.013239582
mvhd_Create Time,0.012868406
meta,0.012809559
mdhd(3)_Timescale,0.010634736
hdlr,0.009887874
free,0.00823339
meta(2),0.006849277
ctts,0.0065020933
sbgp(2),0.005956836
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.005670526
csgm,0.003581848
stsz(2)_Sample Size,0.0032794264
stco(2),0.0031096425
sgpd,0.0030450318
SDLN,0.002821239
stss,0.0024090002
stco,0.0021207645
hdlr(4),0.001500882
elst(5)_Media Time,0.001356818
stco(5),0.0010542352
stsz(5)_Sample Size,0.0009909271
tkhd(2)_Track ID,0.00083725626
stsz(3)_Sample Size,0.00078655843
tkhd(2)_Create Time,0.0005801821
tref,0.0003553264
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
tapt(2),0.0
elst(5)_Entry Count,0.0
elst(2)_'Duration,0.0
elst(5)_Rate,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
elst(5)_Entries,0.0
tkhd(5)_Duration,0.0
vhdr,0.0
mdhd(5)_Timescale,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
smme,0.0
stsz(4)_Sample Count,0.0
skip,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
0,0.0
elst_'Duration,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
tgas,0.0
sgpd(4),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
mdhd(4)_Language Code,0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
free(2),0.0
vmhd(2),0.0
smrd,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
stsz(5)_Sample Count,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
dinf(5),0.0
hdlr(10),0.0
gmhd(3),0.0
hdlr(9),0.0
hdlr(7),0.0
stsz(3)_Sample Count,0.0
mdhd(4)_Duration,0.0
elst(2)_Rate,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
mdhd(2)_Create Time,0.0
mdhd(4)_Timescale,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
smhd,0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
dinf,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Modify Time,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
mdhd_Create Time,0.0
mdhd_Modify Time,0.0
mdhd_Duration,0.0
hdlr(2),0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
SPS,0.0
dinf(3),0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
stsd(3)_Entry Count,0.0
hdlr(6),0.0
tapt,0.0
gmhd,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
soct,0.0
