Feature,Importance
cslg,0.10397099651255103
sgpd(4),0.09135370147831708
sgpd(3),0.0898675570972456
csgm,0.08758732901936808
csgm(2),0.07014459057644996
ctts,0.061617495957642945
sgpd(2),0.0455996284061312
sdtp,0.041931351567330605
stco(4),0.03767123335545593
stss,0.033516139219699044
stco,0.02614250181250074
sbgp(2),0.025653893679549854
elst(5)_Media Time,0.023043035710509835
stco(5),0.021198784532611176
mdhd(5)_Timescale,0.01976742952201712
stco(2),0.01914896165654318
tkhd(5)_Width,0.018049637774878606
mvhd_Next Track ID,0.017891835681896603
stsz(5)_Sample Size,0.014221673563425135
dinf(5),0.013398202012680662
tkhd(5)_Track ID,0.012508905308159166
stsz(3)_Sample Size,0.012327093006075596
hdlr(9),0.010805015013414142
sequence,0.009961023924350228
tref(3),0.009682653097910346
tkhd(5)_Height,0.00946442653843372
mdhd(5)_Create Time,0.009382829627460069
tkhd(5)_Create Time,0.007841932945888929
meta(2),0.007011831054961423
gmhd(3),0.0056477053096781644
elst(5)_Rate,0.005613235018369225
mdhd(5)_Language Code,0.005606770740250741
elst(2)_Media Time,0.005344031827599163
stsz(2)_Sample Size,0.0044442916546341875
stsz(4)_Sample Size,0.00432365790818572
mdhd(5)_Modify Time,0.004280572039970498
stco(3),0.003815744670492828
elst(4)_Media Time,0.0023218206726926057
sbgp,0.0013016476517940352
sgpd,0.0012268188254502385
tkhd(2)_Width,0.000904367941638172
mdhd_Timescale,0.0008421483287369036
sdtp(2),0.0006975731853370046
tkhd_Width,0.0005517375573676926
hdlr,0.0005453921335368796
tkhd(5)_Modify Time,0.0005260700689358725
mdhd(3)_Timescale,0.00033469982327596654
hdlr(3),0.00033431048673756897
tkhd(2)_Height,0.0002993842599598688
tkhd_Height,0.00014835636677025627
stss(2),5.383257717515833e-05
mdhd(2)_Timescale,5.230101720870304e-05
tref,8.99675432140239e-06
tapt(2),4.773059646950576e-06
tagc(3),2.7926117953086214e-06
elst(4)_Rate,1.871296882943037e-06
vmhd(2),1.26701575666733e-06
sgpd(5),1.1334492344241813e-06
ctts(2),7.478952284528698e-07
elst(3)_Media Time,2.5819787840150987e-07
stsd(5)_Entry Count,0.0
stsd(4)_Entry Count,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
auth,0.0
stsz(4)_Sample Count,0.0
vhdr,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
smme,0.0
dinf(4),0.0
skip,0.0
tkhd(5)_Duration,0.0
hdlr(8),0.0
gmhd(2),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
0,0.0
type,0.0
co64(2)_Entry Count,0.0
name(2),0.0
sbgp(3),0.0
hdlr(10),0.0
stsc(5)_Entry Count,0.0
mdhd(4)_Create Time,0.0
stsz(5)_Sample Count,0.0
cslg(2),0.0
tagc,0.0
tagc(2),0.0
mdhd(5)_Duration,0.0
free,0.0
stts(5)_Entry Count,0.0
tgas,0.0
free(2),0.0
SDLN,0.0
smrd,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
smta,0.0
co64_Entry Count,0.0
ftyp_Major Brand,0.0
stsz(3)_Sample Count,0.0
tref(2),0.0
stsz_Sample Count,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
tkhd(2)_Track ID,0.0
mdhd_Duration,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd_Language Code,0.0
mdhd_Modify Time,0.0
mdhd(2)_Duration,0.0
mvhd_Preferred Volume,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Track ID,0.0
mdhd_Create Time,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst_Rate,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Language Code,0.0
elst(4)_Entries,0.0
stsc(3)_Entry Count,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
ftyp_Minor Version,0.0
mdhd(3)_Modify Time,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Create Time,0.0
smhd,0.0
tapt,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
meta,0.0
tkhd(3)_Track ID,0.0
elst(3)_Rate,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
soct,0.0
