Feature,Importance
elst(2)_Rate,1.5469641959596878
sequence,1.213351382794864
stsz(3)_Sample Size,1.0649800266505263
tref(2),1.0512481666058804
elst(2)_Media Time,0.9827796588048037
ftyp_Compatible Brands,0.92556763319786
meta,0.8510571560190218
mvhd_Timescale,0.8303506222971907
tkhd_Height,0.7923986694429165
tkhd_Width,0.7923986694429165
sgpd(2),0.7587771870350236
cslg,0.7551811191286512
soct,0.7224878742940464
stsz(2)_Sample Size,0.717375527882248
sdtp,0.7069244358510314
stco(5),0.6917618182081283
sbgp,0.6723125560651911
sgpd,0.6723120130122071
auth,0.6522867213905382
stsz(5)_Sample Size,0.6113738343955126
stss,0.6095310303711249
dinf,0.5409395651411505
stsz_Sample Size,0.5409395651411418
tkhd_Track ID,0.5409395651411418
ftyp_Minor Version,0.5222791862574412
SDLN,0.5158815943406188
mdhd(2)_Timescale,0.5006051347015684
hdlr,0.4897815736357742
tkhd(2)_Height,0.47650865598333336
tkhd(2)_Width,0.47650865598333336
vhdr,0.4225182540832082
smrd,0.4172774956250378
meta(2),0.410311720892773
ctts,0.4089598243861214
elst_Rate,0.3946588378318526
free,0.37383892668219676
tapt,0.3688810787946764
ftyp_Major Brand,0.3672636528977372
elst_Media Time,0.33117281723542963
mdhd(2)_Modify Time,0.3129882540190921
tkhd(2)_Modify Time,0.3129882540190921
sgpd(3),0.30821816941774105
hdlr(2),0.30428748241838915
type,0.28725374927950287
smme,0.28415220552431164
skip,0.28415220552430875
tkhd(2)_Create Time,0.2665728799509203
mdhd(2)_Create Time,0.2665728799509203
dinf(2),0.2656227320843683
smhd,0.26562273208436504
tkhd(2)_Track ID,0.26562273208436504
name(2),0.24188597788082694
tref,0.23528386999395456
tkhd_Modify Time,0.23427835837555208
mdhd_Modify Time,0.23427835837555208
tkhd(4)_Modify Time,0.23156015368282976
mdhd(4)_Create Time,0.23156015368282976
mdhd(4)_Modify Time,0.23156015368282976
tkhd(4)_Create Time,0.23156015368282976
tkhd(4)_Height,0.23156015368282976
tkhd(4)_Width,0.23156015368282976
