Feature,Importance
mdhd(2)_Timescale,0.045883695748490785
sdtp,0.04472420042422664
elst(2)_Media Time,0.043976763792680125
mdhd_Timescale,0.038853388169643635
tref(2),0.03777767795707906
GOP,0.0359952296235133
elst(2)_Rate,0.03445512820931386
ctts,0.03400354904684203
meta,0.03276172568851201
mdhd_Modify Time,0.03061192820178047
elst_Media Time,0.02962018202272749
mdhd_Language Code,0.0238302740155703
sgpd,0.02272489646041744
ftyp_Minor Version,0.021934506193104462
stco(2),0.02131104417936801
cslg,0.019857854009069874
tkhd_Height,0.018125712957514667
sequence,0.01805278110458786
tref,0.018017303948706462
tkhd(2)_Modify Time,0.017540064585257153
SDLN,0.01667849428984652
mdhd(2)_Modify Time,0.016134112982928214
mvhd_Timescale,0.016013483807501533
stco,0.013457965584294816
tkhd_Width,0.01283466643790663
hdlr(8),0.012605729766855575
tkhd_Modify Time,0.01231991307584252
tkhd(4)_Create Time,0.011484505456804366
sbgp,0.01130352574645616
ftyp_Compatible Brands,0.011294631798875132
hdlr(3),0.010514226055713245
smrd,0.00945671443412382
tkhd(2)_Width,0.009178848654288441
tkhd(2)_Height,0.009046496040171478
tkhd(4)_Track ID,0.008949391868049363
hdlr(4),0.008261615898809254
mdhd(2)_Create Time,0.008188952095071393
mvhd_Create Time,0.006988170666656536
dinf(4),0.00679362435043376
hdlr,0.006740520826636072
ftyp_Major Brand,0.0065362149399640765
mdhd(2)_Language Code,0.006447007639386587
sgpd(2),0.005874369480974413
stss,0.00585282286012112
tkhd(4)_Height,0.005501487677868624
mdhd(4)_Modify Time,0.0054963391997028665
mvhd_Modify Time,0.005463432707300681
tkhd_Create Time,0.00542773525351594
tapt,0.005371018225699381
tkhd(4)_Width,0.005353647987368192
free,0.005333429247149484
elst(4)_Media Time,0.005021304540467415
elst(3)_Media Time,0.004969731035141433
sbgp(2),0.004831676491840919
tkhd(3)_Create Time,0.004743241538372625
sgpd(3),0.0047180554612080835
elst_Rate,0.004219950961520801
meta(2),0.00420083671231916
mdhd_Create Time,0.00414083250208722
hdlr(7),0.00410964832846345
vhdr,0.004078088978898417
tkhd(3)_Modify Time,0.003954593088925778
tkhd(2)_Create Time,0.003929684678397082
dinf(2),0.0036240605728766638
stco(5),0.003553774502630717
tkhd(3)_Width,0.003521845665251213
mdhd(4)_Language Code,0.0034997377565123833
mdhd(4)_Timescale,0.0032574499885069767
auth,0.003206770558638449
stsz(3)_Sample Size,0.0031501251974943895
smta,0.003114373349717378
elst(4)_Rate,0.0029075810308067567
stsz(4)_Sample Size,0.0028779916492130773
tgas,0.002749230231242485
gmhd(2),0.0026098952521920976
tkhd(3)_Track ID,0.0025698372372497166
stsz(2)_Sample Size,0.0024276360992520098
mdhd(5)_Create Time,0.0022113532199169988
stsz_Sample Size,0.0021754060809364376
stsz(5)_Sample Size,0.0020469841654984903
csgm,0.0019084302395614722
hdlr(2),0.001598342426255682
mvhd_Next Track ID,0.0015420387188070648
smhd,0.0014910658572432213
stco(4),0.0014466084374623145
tkhd(5)_Track ID,0.0014264111867676858
sgpd(4),0.0012926608634903094
stco(3),0.001238976162690584
soct,0.0010517589063720918
tkhd(5)_Height,0.0010458435487389727
mdhd(3)_Modify Time,0.0010264307087720337
elst(5)_Rate,0.0009688212525151116
hdlr(10),0.0009451229925537708
tkhd(5)_Width,0.0009236483736030721
gmhd(3),0.000855803988845949
tkhd_Track ID,0.000853221197287419
dinf,0.0007758206885150694
tkhd(5)_Modify Time,0.0006652851424715995
elst(5)_Media Time,0.0006194720367959718
mdhd(5)_Modify Time,0.0006114841127915691
mdhd(5)_Language Code,0.0005939970194601405
csgm(2),0.0005860975441778438
skip,0.000580373827875753
name(2),0.000529529415464368
tkhd(5)_Create Time,0.0003223281697628568
hdlr(9),0.00030613060365567406
hdlr(5),0.00024726226820211394
smme,0.0002261165301762224
vmhd,0.00021258911088209334
tref(3),0.0001614252348218937
mdhd(3)_Timescale,0.00013887236623985483
type,0.00013573924071957815
sdtp(2),9.207251281252547e-05
mdhd(3)_Create Time,5.733692700681496e-05
dinf(3),4.3278916276632186e-05
elst(3)_Rate,3.144728971529927e-05
tagc(2),2.093793238078087e-05
hdlr(6),1.4345052744058464e-05
sbgp(3),1.2225468017223096e-05
tapt(2),9.834238696175514e-06
tagc(3),6.773930979483317e-06
tkhd(2)_Track ID,1.209608212734232e-06
dinf(5),1.0226332205202976e-07
vmhd(2),2.9416556405018537e-08
gmhd,4.584665546872881e-18
0,0.0
sgpd(5),0.0
stsz(5)_Sample Count,0.0
co64(2)_Entry Count,0.0
mvhd_Preferred Rate,0.0
stsc(5)_Entry Count,0.0
elst_'Duration,0.0
mvhd_Duration,0.0
tagc,0.0
stss(2),0.0
cslg(2),0.0
free(2),0.0
wide,0.0
ctts(2),0.0
elst(2)_'Duration,0.0
co64_Entry Count,0.0
tkhd(2)_Duration,0.0
mvhd_Preferred Volume,0.0
stts(5)_Entry Count,0.0
stsc(2)_Entry Count,0.0
mdhd(3)_Duration,0.0
elst_Entries,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Duration,0.0
mdhd_Duration,0.0
stsz(2)_Sample Count,0.0
stts(2)_Entry Count,0.0
stsd(5)_Entry Count,0.0
stsd(2)_Entry Count,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
mdhd(2)_Duration,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
mdhd(3)_Language Code,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsz(4)_Sample Count,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Create Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
stsz(3)_Sample Count,0.0
