Feature,Importance
SPS_vui.log2_max_mv_length_horizontal,0.0497528659356062
SPS_frame_crop_left_offset,0.04171140991161707
auth,0.03746884316444488
mdhd_Timescale,0.03495861697127667
SPS_vui.max_bits_per_mb_denom,0.034227238084497645
SPS_vui.video_format,0.032632496986227395
SPS_vui.log2_max_mv_length_vertical,0.031354671492064196
SPS_pic_height_in_map_units_minus1,0.029351886753786118
SPS_vui.video_signal_type_present_flag,0.029076932097855297
SPS_frame_crop_top_offset,0.028449198810683484
hdlr,0.027872801493715824
SPS_vui.timing_info_present_flag,0.025757677554134658
SPS_vui.chroma_loc_info_present_flag,0.02392499520412453
elst_Media Time,0.02310997979167296
SPS_vui.vcl_hrd_parameters_present_flag,0.02280896821499287
smrd,0.02243243832911689
SPS_frame_crop_right_offset,0.022232266447703746
SPS_vui.video_full_range_flag,0.021538039053733037
SPS_vui.matrix_coefficients,0.021509083813641687
SPS_vui.colour_description_present_flag,0.021457921257467698
vhdr,0.01955163235487862
elst_Rate,0.017839187535597885
mvhd_Timescale,0.01654436590129655
free,0.016349670373621287
SPS_log2_max_pic_order_cnt_lsb_minus4,0.015188129997664458
hdlr(2),0.014543074065089107
SPS_seq_scaling_matrix_present_flag,0.014522162172583586
SPS_pic_order_cnt_type,0.014271080065911625
SPS_vui.num_reorder_frames,0.012513412955648598
SPS_vui.bitstream_restriction_flag,0.012413050254324562
stss,0.01230083718808583
mdhd(2)_Language Code,0.012207200756442185
SPS_frame_crop_bottom_offset,0.012106433099394038
SPS_qpprime_y_zero_transform_bypass_flag,0.011459942532382665
SDLN,0.011411533243354883
SPS_constraint_set0_flag,0.011175507297750348
SPS_vui.pic_struct_present_flag,0.011091362683528573
SPS_vui_parameters_present_flag,0.010957706832379129
mdhd(2)_Timescale,0.010659959917146475
SPS_frame_cropping_flag,0.01001025408577606
stco(2),0.009917316885858127
SPS_vui.transfer_characteristics,0.009475247504947135
sequence,0.008809241273206037
SPS_pic_width_in_mbs_minus1,0.008576669678076103
smhd,0.008527339161782384
stsz(2)_Sample Size,0.008370330619451897
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.007523842072542873
mdhd(2)_Create Time,0.007253836901835752
SPS_vui.max_dec_frame_buffering,0.007139659344011734
stsz_Sample Size,0.007058950371362098
tkhd(2)_Create Time,0.0069624021231017436
SPS_vui.nal_hrd_parameters_present_flag,0.0064348670652966755
tkhd_Create Time,0.006150267408095865
meta,0.006075084146427297
SPS_vui.aspect_ratio_info_present_flag,0.005862421906568509
SPS_bit_depth_chroma_minus8,0.005612615748655704
mdhd(2)_Modify Time,0.005385838630007334
SPS_profile_idc,0.0046564587586194325
SPS_vui.colour_primaries,0.004628588203315954
tkhd(2)_Modify Time,0.004511531984086051
mdhd_Create Time,0.004502415393241352
dinf(2),0.004334117824424611
smta,0.0034861223138660624
stco,1.04719622004544e-16
mdhd(4)_Language Code,0.0
hdlr(7),0.0
dinf(4),0.0
stsz(4)_Sample Count,0.0
stsz(4)_Sample Size,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
gmhd(2),0.0
hdlr(8),0.0
tkhd(5)_Height,0.0
dinf(5),0.0
stco(5),0.0
stsz(5)_Sample Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
elst(5)_Rate,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
mdhd(5)_Language Code,0.0
stco(4),0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
elst(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Size,0.0
ftyp_Major Brand,0.0
vmhd(2),0.0
meta(2),0.0
ctts,0.0
SPS_hrd.cpb_cnt_minus1,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
smme,0.0
skip,0.0
0,0.0
soct,0.0
tgas,0.0
SPS_vui.aspect_ratio_idc,0.0
SPS_vui.fixed_frame_rate_flag,0.0
ctts(2),0.0
cslg,0.0
sgpd(2),0.0
sbgp(2),0.0
sgpd(3),0.0
csgm,0.0
csgm(2),0.0
sgpd(4),0.0
tapt(2),0.0
mdhd(4)_Timescale,0.0
cslg(2),0.0
SPS_vui.time_scale,0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
SPS_vui.max_bytes_per_pic_denom,0.0
SPS_vui.num_units_in_tick,0.0
mdhd(4)_Duration,0.0
mdhd(3)_Modify Time,0.0
mdhd(4)_Modify Time,0.0
stsz_Sample Count,0.0
