Feature,Importance
SPS_frame_crop_right_offset,0.07680913785612359
tkhd_Width,0.061741041022209314
SPS_level_idc,0.06094101741250119
elst(2)_Rate,0.05678675870869493
ftyp_Minor Version,0.05604776378857241
elst(2)_Media Time,0.05479690185580724
tkhd(2)_Modify Time,0.04186647694382648
tkhd_Height,0.040965833165487575
mvhd_Create Time,0.035279611395839634
tkhd_Create Time,0.03527296323152223
mdhd_Modify Time,0.02820499067896185
mvhd_Modify Time,0.02812789929439566
SPS_pic_width_in_mbs_minus1,0.025383993642101553
mdhd(2)_Timescale,0.02429696382509492
mdhd(2)_Modify Time,0.02342020750631896
mdhd_Timescale,0.02304921420472182
tkhd_Modify Time,0.02161188506682697
tkhd(2)_Create Time,0.019502089750714817
SPS_vui.video_format,0.018778235433906724
mdhd(2)_Create Time,0.01758525345716624
SPS_frame_crop_top_offset,0.014828969651541004
hdlr,0.013506935090080972
SPS_vui.log2_max_mv_length_horizontal,0.011691182698142859
ftyp_Major Brand,0.011391415136700021
GOP,0.01121980252745363
ftyp_Compatible Brands,0.010627790516758766
elst_Rate,0.010257605451667333
SPS_frame_crop_bottom_offset,0.009239172481857431
mdhd_Create Time,0.009078972864101332
ctts,0.00893064494023147
tkhd(2)_Width,0.008513773487077565
smta,0.008330864648196825
SPS_pic_height_in_map_units_minus1,0.007719769900729291
mdhd_Language Code,0.0065261562608931985
soct,0.0064338289454358814
sequence,0.00632769810110463
elst_Media Time,0.006186980283842057
sbgp,0.005946641689801375
SPS_vui.transfer_characteristics,0.005540297778046418
SPS_frame_crop_left_offset,0.0049108027474839
stco(2),0.004870368290357993
auth,0.0043178580325630355
SPS_frame_cropping_flag,0.004113622780533659
SPS_qpprime_y_zero_transform_bypass_flag,0.004094065921598328
smme,0.004017884834915999
tkhd(2)_Height,0.003783941190250516
SPS_chroma_format_idc,0.003237406179272089
mvhd_Timescale,0.0032067915226317314
dinf,0.0029965183064615763
SPS_vui.matrix_coefficients,0.002963380469330864
vhdr,0.002939115418275833
free,0.0027982662019914815
hdlr(2),0.0023042753197105373
stss,0.0022391025619504716
smrd,0.002228041835296837
vmhd,0.002213225789174557
tref,0.0021517137190638176
stco,0.0019857429682675625
mdhd(2)_Language Code,0.0017391101275453507
SPS_vui.log2_max_mv_length_vertical,0.0017381620379015583
SPS_vui.max_bytes_per_pic_denom,0.0017102340415386884
dinf(2),0.0016526053332985469
SPS_constraint_set0_flag,0.0015489966333374792
SPS_vui.chroma_loc_info_present_flag,0.001411772944719224
SPS_vui.fixed_frame_rate_flag,0.0011461723577784967
SPS_vui.max_bits_per_mb_denom,0.0010476239445297256
SPS_num_ref_frames,0.0008640864460188453
SPS_log2_max_pic_order_cnt_lsb_minus4,0.000801589923294713
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0004868932162384423
SPS_vui.colour_primaries,0.00038085943358079523
SPS_vui.video_signal_type_present_flag,0.0002983156019668785
SPS_vui.num_units_in_tick,0.0002872484094254478
SDLN,0.00021586969498523946
SPS_vui.video_full_range_flag,0.000165344254157076
stsz(2)_Sample Size,0.00014916992900937618
SPS_vui.pic_struct_present_flag,0.0001236619235621822
SPS_vui.colour_description_present_flag,4.139010898803223e-05
tkhd(2)_Track ID,2.4621754853834855e-05
meta,1.4258766514083017e-05
stsz_Sample Size,1.3148333169043498e-05
sgpd(2),0.0
dinf(5),0.0
stsz(5)_Sample Size,0.0
stsc(5)_Entry Count,0.0
hdlr(10),0.0
cslg,0.0
stsz(5)_Sample Count,0.0
stco(5),0.0
stsd(5)_Entry Count,0.0
meta(2),0.0
stts(5)_Entry Count,0.0
tref(3),0.0
gmhd(3),0.0
tkhd(5)_Width,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Height,0.0
hdlr(9),0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
elst(5)_Rate,0.0
sgpd(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Language Code,0.0
sbgp(2),0.0
sbgp(3),0.0
csgm,0.0
free(2),0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
co64_Entry Count,0.0
SPS_hrd.cpb_cnt_minus1,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
skip,0.0
0,0.0
SPS_hrd.bit_rate_scale,0.0
tgas,0.0
csgm(2),0.0
tagc,0.0
sgpd(4),0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
sdtp(2),0.0
tagc(2),0.0
SPS_vui.aspect_ratio_idc,0.0
tagc(3),0.0
sgpd(5),0.0
hdlr(8),0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
SPS_vui.num_reorder_frames,0.0
SPS_vui.max_dec_frame_buffering,0.0
SPS_vui.time_scale,0.0
dinf(4),0.0
stco(3),0.0
gmhd(2),0.0
SPS_bit_depth_chroma_minus8,0.0
SPS_profile_idc,0.0
SPS_constraint_set1_flag,0.0
SPS_constraint_set2_flag,0.0
SPS_constraint_set3_flag,0.0
SPS_constraint_set4_flag,0.0
SPS_constraint_set5_flag,0.0
mvhd_Next Track ID,0.0
SPS_seq_parameter_set_id,0.0
SPS_bit_depth_luma_minus8,0.0
SPS_seq_scaling_matrix_present_flag,0.0
SPS_vui.overscan_info_present_flag,0.0
SPS_log2_max_frame_num_minus4,0.0
SPS_pic_order_cnt_type,0.0
SPS_gaps_in_frame_num_value_allowed_flag,0.0
mvhd_Preferred Volume,0.0
SPS_frame_mbs_only_flag,0.0
SPS_direct_8x8_inference_flag,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
SPS_vui_parameters_present_flag,0.0
sdtp,0.0
tapt,0.0
SPS,0.0
sgpd,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst_Entries,0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
tkhd_Track ID,0.0
mdhd(2)_Duration,0.0
hdlr(3),0.0
smhd,0.0
hdlr(4),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
SPS_vui.aspect_ratio_info_present_flag,0.0
SPS_vui.timing_info_present_flag,0.0
hdlr(7),0.0
tkhd(4)_Height,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Size,0.0
stsz(3)_Sample Count,0.0
mdhd_Duration,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
elst(4)_Entry Count,0.0
SPS_vui.nal_hrd_parameters_present_flag,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
SPS_vui.vcl_hrd_parameters_present_flag,0.0
SPS_vui.bitstream_restriction_flag,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
wide,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
mdhd(3)_Modify Time,0.0
