Feature,Importance
SPS_level_idc,0.1269995034163982
tkhd_Height,0.056533302739787884
ftyp_Minor Version,0.05291813864444713
tkhd_Create Time,0.052551254324064725
tkhd(2)_Modify Time,0.04653920174651919
ftyp_Major Brand,0.043776106538530334
mvhd_Modify Time,0.04266164454813217
mdhd(2)_Timescale,0.04022227485091224
mdhd(2)_Modify Time,0.03711226587437855
tkhd_Modify Time,0.03276629080175941
mdhd_Modify Time,0.0301281963977795
mdhd(2)_Create Time,0.027156020818935978
mdhd_Timescale,0.025500925861227253
SPS_frame_crop_right_offset,0.024489932019374553
elst(2)_Media Time,0.023847960143924634
SPS_pic_width_in_mbs_minus1,0.022051673355661317
auth,0.02194737731995667
tkhd(2)_Height,0.018208178589593053
mdhd(2)_Language Code,0.0173630138147743
elst(2)_Rate,0.017012729105171726
SPS_frame_crop_left_offset,0.016658221155957137
tkhd_Width,0.015672958063525397
stco(2),0.014688075711413192
elst_Rate,0.011163268951374634
tkhd(2)_Create Time,0.011059252575338767
mvhd_Create Time,0.010921341357674372
SPS_vui.log2_max_mv_length_vertical,0.009698443201121443
stco,0.009542579171473576
SPS_vui.log2_max_mv_length_horizontal,0.008208504424880088
SPS_vui.video_format,0.008086940958173996
GOP,0.007592791810847667
stss,0.007525519968825022
SPS_pic_height_in_map_units_minus1,0.0073934350734384865
sbgp,0.006156540784325487
soct,0.005480570064531178
tkhd(2)_Width,0.005406205999400379
smhd,0.005403054382948676
SDLN,0.005021327504523572
elst_Media Time,0.004471768079727232
ftyp_Compatible Brands,0.004079805422777314
SPS_vui.max_bits_per_mb_denom,0.003659896546116305
mvhd_Timescale,0.003629532398423197
SPS_vui.pic_struct_present_flag,0.0035153756769031896
SPS_vui.colour_primaries,0.003351545014227353
hdlr,0.003256277847117675
SPS_constraint_set0_flag,0.0032030698931580035
vmhd,0.0031229514710779476
SPS_frame_crop_bottom_offset,0.0030203840083981044
mdhd_Create Time,0.002965329929357721
mdhd_Language Code,0.0029404118786356143
SPS_vui.video_signal_type_present_flag,0.0024347596642815437
smta,0.0023177855606091786
smrd,0.0022571603152869934
hdlr(2),0.0022452243773007055
smme,0.0021995637457613076
SPS_vui.video_full_range_flag,0.001945435801648308
ctts,0.0019382762463365
SPS_vui.transfer_characteristics,0.0017285665003815144
SPS_log2_max_frame_num_minus4,0.001579009666456659
SPS_vui.num_units_in_tick,0.0015420536099713135
vhdr,0.001534587523207381
stsz_Sample Size,0.0014506009592925714
skip,0.0013430113116137306
stsz(2)_Sample Size,0.0013379737404194986
SPS_vui.bitstream_restriction_flag,0.001016937752917307
tkhd_Track ID,0.0008632149207957902
tref,0.000774578326199474
SPS_profile_idc,0.0006487358176048943
SPS_vui.max_bytes_per_pic_denom,0.0006474684441381667
SPS_pic_order_cnt_type,0.0006342179662355114
SPS_vui.nal_hrd_parameters_present_flag,0.0005778969674115417
meta,0.0005515537131914505
SPS_vui.matrix_coefficients,0.0004107492242982396
SPS_vui.chroma_loc_info_present_flag,0.00037055629847403576
SPS_log2_max_pic_order_cnt_lsb_minus4,0.000335026715595453
SPS_vui.colour_description_present_flag,0.0001740139805469922
SPS_seq_scaling_matrix_present_flag,0.0001481686206537145
tkhd(2)_Track ID,8.496261094382284e-05
SPS_vui.overscan_info_present_flag,8.161121740883784e-05
SPS_vui.timing_info_present_flag,7.693714315775216e-05
SPS_bit_depth_chroma_minus8,6.519884072015825e-05
SPS_frame_crop_top_offset,2.792180118239164e-06
cslg,0.0
sgpd(2),0.0
stco(5),0.0
meta(2),0.0
stsz(5)_Sample Size,0.0
sbgp(2),0.0
sgpd(3),0.0
stsc(5)_Entry Count,0.0
csgm,0.0
stsz(5)_Sample Count,0.0
mdhd(5)_Language Code,0.0
stts(5)_Entry Count,0.0
elst(5)_Media Time,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Rate,0.0
stsd(5)_Entry Count,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
sgpd(4),0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
dinf(5),0.0
csgm(2),0.0
stts_Entry Count,0.0
tapt(2),0.0
vmhd(2),0.0
SPS_hrd.bit_rate_scale,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
0,0.0
SPS_hrd.cpb_cnt_minus1,0.0
tgas,0.0
SPS_vui.aspect_ratio_idc,0.0
sgpd(5),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sbgp(3),0.0
SPS_vui.fixed_frame_rate_flag,0.0
stsc(4)_Entry Count,0.0
free,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
wide,0.0
SPS_vui.num_reorder_frames,0.0
SPS_vui.max_dec_frame_buffering,0.0
SPS_vui.time_scale,0.0
stsz(4)_Sample Size,0.0
tkhd(4)_Modify Time,0.0
stts(4)_Entry Count,0.0
sdtp,0.0
SPS_constraint_set2_flag,0.0
SPS_constraint_set3_flag,0.0
SPS_constraint_set4_flag,0.0
SPS_constraint_set5_flag,0.0
tkhd_Duration,0.0
SPS_seq_parameter_set_id,0.0
SPS_chroma_format_idc,0.0
SPS_bit_depth_luma_minus8,0.0
SPS_qpprime_y_zero_transform_bypass_flag,0.0
SPS_num_ref_frames,0.0
SPS_gaps_in_frame_num_value_allowed_flag,0.0
SPS_frame_mbs_only_flag,0.0
SPS_direct_8x8_inference_flag,0.0
SPS_frame_cropping_flag,0.0
mvhd_Next Track ID,0.0
mvhd_Preferred Volume,0.0
SPS_vui_parameters_present_flag,0.0
SPS_vui.aspect_ratio_info_present_flag,0.0
mvhd_Preferred Rate,0.0
SPS_constraint_set1_flag,0.0
tapt,0.0
stsd(4)_Entry Count,0.0
SPS,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
stsd_Entry Count,0.0
dinf,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
mdhd_Duration,0.0
mdhd(2)_Duration,0.0
elst_Entries,0.0
hdlr(3),0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
elst_Entry Count,0.0
sgpd,0.0
SPS_vui.vcl_hrd_parameters_present_flag,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
hdlr(8),0.0
dinf(4),0.0
stco(3),0.0
stsz(3)_Sample Count,0.0
stsz(3)_Sample Size,0.0
mdhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mvhd_Duration,0.0
stsc(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
mdhd(3)_Timescale,0.0
