Feature,Importance
mvhd_Timescale,1.9209742028464691
elst(2)_Rate,1.6123231097705566
tkhd_Height,1.5389186892843916
tkhd_Width,1.5389186892843916
ftyp_Minor Version,1.508106690335705
elst(2)_Media Time,1.3599242650311452
soct,1.2718610311781706
elst_Rate,1.1650188664232268
elst_Media Time,1.0137751874395706
mdhd(2)_Timescale,0.9936928389235476
ftyp_Compatible Brands,0.9345988419729405
tref,0.8887171373690349
tkhd(2)_Width,0.884949105997066
tkhd(2)_Height,0.884949105997066
stco,0.742334837801745
mvhd_Modify Time,0.723605972401522
vhdr,0.6877027304535065
ctts,0.6703041637261982
auth,0.6637030662918503
dinf(2),0.6598944933923212
dinf,0.6598944933923212
stsz_Sample Size,0.6598944933923209
tkhd(2)_Track ID,0.6598944933923209
tkhd_Track ID,0.6598944933923209
smhd,0.6598944933923209
stss,0.6324876813899992
free,0.6222549749809043
stsz(2)_Sample Size,0.5877836452510139
tkhd_Modify Time,0.5408746854481102
mdhd_Modify Time,0.5408746854481102
tkhd(2)_Modify Time,0.5408746854481102
mdhd(2)_Modify Time,0.5408746854481102
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.5331376877494962
mdhd_Language Code,0.4925718271102815
hdlr,0.4852922088440894
meta,0.4811400060552174
smta,0.4562223156011962
sbgp,0.4551617223840462
sgpd,0.4551617223840462
mvhd_Create Time,0.431294748793956
mdhd(2)_Language Code,0.39320899543970067
hdlr(2),0.3548953492098106
stco(2),0.35207432214883755
skip,0.24858209494057323
smme,0.248582094940573
mdhd_Create Time,0.24856346184054495
tkhd_Create Time,0.24856346184054495
mdhd(2)_Create Time,0.24856346184054495
tkhd(2)_Create Time,0.24856346184054495
type,0.17411699118289653
GOP,0.1392465844637581
SDLN,0.1049893687939245
smrd,0.0990644586889287
ftyp_Major Brand,0.08240120624097882
mdhd_Timescale,0.04887024018734705
vmhd,0.009059540458721297
sbgp(2),0.008787711208012843
sgpd(2),0.008787711208012843
meta(2),0.008787711208010257
stsc(5)_Entry Count,0.0
hdlr(10),0.0
dinf(5),0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
hdlr(4),0.0
stsz(5)_Sample Size,0.0
gmhd(3),0.0
stco(5),0.0
stsd_Entry Count,0.0
cslg,0.0
stsz(5)_Sample Count,0.0
hdlr(9),0.0
csgm,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
sgpd(3),0.0
csgm(2),0.0
hdlr(3),0.0
elst_Entries,0.0
wide,0.0
0,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
mvhd_Next Track ID,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
tkhd_Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
elst_Entry Count,0.0
free(2),0.0
sgpd(4),0.0
tgas,0.0
mdhd_Duration,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
stco(4),0.0
hdlr(6),0.0
hdlr(5),0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
stsc_Entry Count,0.0
elst(3)_Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Width,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
sdtp,0.0
tapt,0.0
SPS,0.0
stsz_Sample Count,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
stsz(2)_Sample Count,0.0
mdhd(2)_Duration,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
gmhd,0.0
dinf(3),0.0
stsz(4)_Sample Count,0.0
stsd(3)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
gmhd(2),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
elst(4)_Rate,0.0
elst(4)_Media Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stts_Entry Count,0.0
stsz(3)_Sample Count,0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stco(3),0.0
