Feature,Importance
tkhd(2)_Modify Time,0.07329524678688346
elst(2)_Media Time,0.06645093997101777
mvhd_Create Time,0.06464038606564794
tkhd_Modify Time,0.059457277741827325
tkhd_Height,0.05852963119997108
ftyp_Major Brand,0.05085751375976722
mdhd_Timescale,0.046833721686722694
tkhd_Width,0.04666056535845455
mdhd_Modify Time,0.045676034853043855
GOP,0.04091336651523474
mvhd_Modify Time,0.03898403320650029
tkhd(2)_Create Time,0.03700214073977508
mdhd(2)_Timescale,0.034159693792127924
mdhd_Create Time,0.034077418078545654
mdhd(2)_Create Time,0.03211477684456477
ftyp_Minor Version,0.03209021694539267
elst(2)_Rate,0.02351664742352637
auth,0.023129674481937812
mdhd_Language Code,0.017738781667344456
tkhd(2)_Height,0.01760543789181565
tkhd(2)_Width,0.015944586497945678
dinf,0.014330495015138786
mdhd(2)_Modify Time,0.01056554069480032
tkhd_Create Time,0.009273244539346978
smrd,0.009046564331699099
mdhd(2)_Language Code,0.008883215215801007
ctts,0.008677347117010268
dinf(2),0.00624866314655494
stco,0.006227679990950439
soct,0.005844161285541553
hdlr(2),0.005758573357931802
smta,0.005549209194656553
elst_Media Time,0.0054282837798471685
vhdr,0.004865502544805968
meta,0.004672835675310798
hdlr,0.004598801703000302
tref,0.003778583722069192
elst_Rate,0.003322153239865677
ftyp_Compatible Brands,0.0031926021689463345
sbgp,0.0029276970942294905
stco(2),0.0020520585045917727
sgpd,0.002046796326906961
smme,0.0017687190084389591
stss,0.001751135055001748
vmhd,0.001677913137567052
free,0.0016759163337486368
skip,0.0014482709265378358
smhd,0.0012777432429543945
stsz_Sample Size,0.0010465158604241883
SDLN,0.001019634192787402
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0005273943857945627
mvhd_Timescale,0.0004375101564877603
tkhd_Track ID,0.0004011475432050662
dinf(5),0.0
mdhd(5)_Create Time,0.0
hdlr(10),0.0
gmhd(3),0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(4)_Entry Count,0.0
mdhd(5)_Timescale,0.0
stsc(5)_Entry Count,0.0
mdhd(5)_Modify Time,0.0
tkhd(5)_Modify Time,0.0
tref(3),0.0
stsz(4)_Sample Size,0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Width,0.0
tkhd(5)_Track ID,0.0
stsz(5)_Sample Count,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Duration,0.0
stsz(5)_Sample Size,0.0
mvhd_Next Track ID,0.0
stco(5),0.0
tagc,0.0
0,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
type,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
stsd(4)_Entry Count,0.0
meta(2),0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
csgm,0.0
sgpd(3),0.0
sbgp(2),0.0
sgpd(2),0.0
cslg,0.0
stts(4)_Entry Count,0.0
tkhd(4)_Width,0.0
dinf(4),0.0
SPS,0.0
hdlr(4),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Size,0.0
stsz(2)_Sample Count,0.0
tapt,0.0
mdhd(2)_Duration,0.0
sdtp,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
hdlr(3),0.0
elst(2)_Entries,0.0
elst(3)_Entry Count,0.0
mdhd_Duration,0.0
mvhd_Preferred Volume,0.0
tkhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
elst_Entry Count,0.0
elst_Entries,0.0
stsd_Entry Count,0.0
elst(2)_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
wide,0.0
tkhd(2)_Duration,0.0
tkhd(3)_Height,0.0
elst(3)_Entries,0.0
hdlr(8),0.0
tref(2),0.0
tkhd(4)_Duration,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
mdhd(4)_Create Time,0.0
tkhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Track ID,0.0
elst(3)_Media Time,0.0
hdlr(5),0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
stsz(3)_Sample Count,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Size,0.0
stco(3),0.0
