Feature,Importance
ftyp_Minor Version,0.08018885456669883
mdhd(2)_Create Time,0.07639743308671472
tkhd_Modify Time,0.06942162787295612
tkhd_Height,0.06305035313329503
ftyp_Major Brand,0.05513469736969226
tkhd_Width,0.053653675871511326
mvhd_Modify Time,0.047281682449917546
mdhd(2)_Timescale,0.03876205267821082
mdhd(2)_Modify Time,0.03608453228643554
elst(2)_Rate,0.03505403457179496
elst(2)_Media Time,0.0336485994757051
mdhd_Modify Time,0.029618552300456194
mdhd_Timescale,0.02907949383370258
tkhd(2)_Create Time,0.026908605119191343
mvhd_Create Time,0.02377962805827511
mdhd_Create Time,0.02054816993201874
tkhd(2)_Height,0.0186775237868443
auth,0.018126448956930236
mdhd_Language Code,0.015359030420332416
tkhd_Create Time,0.014793772683221506
tkhd(2)_Width,0.014256284269679717
mdhd(2)_Language Code,0.014050142696200094
sequence,0.013098274326660452
ftyp_Compatible Brands,0.011838232885986006
GOP,0.01177641571682847
vhdr,0.011473659433353222
smrd,0.011045379664148381
dinf,0.010810222557451647
stco,0.010696627009270902
stco(2),0.009884354504571464
smta,0.00875473303444525
hdlr,0.00799389874047507
soct,0.0077333559404062545
sgpd,0.006985687404523962
vmhd,0.005584211393967488
elst_Media Time,0.0052229860717894795
tkhd(2)_Modify Time,0.005103534071239829
SDLN,0.00474755775131466
stsz_Sample Size,0.004645183449853475
meta,0.004494854657233964
ctts,0.004274444132896605
sbgp,0.004236738895734881
stss,0.003871858824679834
stsz(2)_Sample Size,0.0033252770288735565
tref,0.0030881481789764922
dinf(2),0.003005925334936143
free,0.002582683823620022
hdlr(2),0.002226349504929164
tkhd_Track ID,0.0016963471410763428
smhd,0.001677148388391032
smme,0.0013572214873462122
mvhd_Timescale,0.0012585739064754394
elst_Rate,0.0011664535608502207
tkhd(2)_Track ID,0.00028004453740680283
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0001884212205029376
mdhd(5)_Duration,0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
dinf(5),0.0
gmhd(3),0.0
hdlr(10),0.0
mdhd(5)_Modify Time,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
mdhd(5)_Timescale,0.0
mdhd_Duration,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
stco(5),0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
stco(4),0.0
stsz(4)_Sample Count,0.0
elst(5)_Entry Count,0.0
stss(2),0.0
meta(2),0.0
tagc(3),0.0
0,0.0
skip,0.0
wide,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
type,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(2),0.0
cslg,0.0
tagc,0.0
sdtp(2),0.0
stsc(4)_Entry Count,0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
csgm,0.0
sgpd(3),0.0
sbgp(2),0.0
sgpd(2),0.0
stsz(4)_Sample Size,0.0
mdhd(4)_Create Time,0.0
stts(4)_Entry Count,0.0
tkhd(3)_Track ID,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
SPS,0.0
mvhd_Duration,0.0
tapt,0.0
sdtp,0.0
tkhd(3)_Create Time,0.0
stsd(2)_Entry Count,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
stts(2)_Entry Count,0.0
hdlr(4),0.0
stsd(4)_Entry Count,0.0
elst(2)_Entry Count,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Duration,0.0
elst_Entries,0.0
elst(2)_Entries,0.0
hdlr(3),0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
mvhd_Next Track ID,0.0
mvhd_Preferred Volume,0.0
mdhd(2)_Duration,0.0
mvhd_Preferred Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(4)_Modify Time,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
hdlr(8),0.0
dinf(4),0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
gmhd,0.0
hdlr(5),0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
stsz(3)_Sample Count,0.0
