Feature,Importance
SPS_level_idc,0.13356149473957077
ftyp_Major Brand,0.06638674545825254
mdhd(2)_Modify Time,0.056050871157199464
tkhd_Height,0.04658534426690589
mdhd_Create Time,0.04367765275268671
mdhd(2)_Timescale,0.039968787357278775
SPS_frame_crop_right_offset,0.03848475324412624
elst(2)_Rate,0.03791329969369404
tkhd(2)_Create Time,0.036636620702902585
mvhd_Create Time,0.03578181304626673
mdhd_Modify Time,0.03411845878709969
mvhd_Modify Time,0.024915190265413244
mdhd_Timescale,0.024636883506882694
tkhd_Width,0.024473434259681345
SPS_vui.video_format,0.023301336783700752
ftyp_Minor Version,0.0203412859659057
SPS_pic_height_in_map_units_minus1,0.020071435796000636
tkhd_Create Time,0.016879652606139932
tkhd_Modify Time,0.01620637810687709
SPS_pic_width_in_mbs_minus1,0.01431397002467958
smrd,0.012717472626860708
auth,0.012656082509816072
tkhd(2)_Height,0.012419552299145592
SPS_frame_crop_left_offset,0.011981803542559726
tkhd(2)_Modify Time,0.011840773969359219
ftyp_Compatible Brands,0.010865309297854349
smta,0.008995781404905168
SPS_vui.matrix_coefficients,0.008348613668394974
SPS_vui.colour_primaries,0.008191298765013079
mdhd_Language Code,0.007372285975710432
mdhd(2)_Language Code,0.006801984896648806
tkhd_Track ID,0.006787388062476985
elst(2)_Media Time,0.006649648270010916
stco(2),0.006643278698321392
soct,0.005928188864937401
SPS_vui.max_bits_per_mb_denom,0.005591540101188062
tref,0.005436458424249673
SPS_vui.log2_max_mv_length_vertical,0.005271402577097966
elst_Media Time,0.005109535289600554
SPS_frame_crop_top_offset,0.005104381591907277
dinf,0.0050745486054018145
SPS_vui.log2_max_mv_length_horizontal,0.0045797237352970315
hdlr,0.004434837596047559
stco,0.004310027544365584
SPS_vui.transfer_characteristics,0.003960088285523453
skip,0.003947953392000508
free,0.0038215874034401237
SPS_vui.video_full_range_flag,0.0037023911060687404
SPS_vui.max_bytes_per_pic_denom,0.0036420133676620297
vmhd,0.003527354555956096
SDLN,0.0035263353505522147
SPS_frame_cropping_flag,0.0031595440136465433
elst_Rate,0.0029853662223661573
SPS_vui.colour_description_present_flag,0.0026930146910664507
vhdr,0.0024215453433480178
SPS_log2_max_frame_num_minus4,0.002153520771773018
SPS_profile_idc,0.0021376720918304132
SPS_frame_crop_bottom_offset,0.00209554053473118
sbgp,0.001991567388451127
mdhd(2)_Create Time,0.0017053818657817932
hdlr(2),0.0015813508225233604
meta,0.001534850412992458
smme,0.0015066750511070397
stsz_Sample Size,0.0012235955056179772
SPS_constraint_set0_flag,0.0012061987080626466
stss,0.0011647887136567352
tkhd(2)_Track ID,0.0009831621204519922
SPS_pic_order_cnt_type,0.0008618624392156546
SPS_vui.time_scale,0.0007642234828552156
SPS_vui.video_signal_type_present_flag,0.0007060507325517264
type,0.0006726209939155744
SPS_log2_max_pic_order_cnt_lsb_minus4,0.0005550776866141195
SPS_vui.aspect_ratio_info_present_flag,0.0004938369944139336
SPS_seq_scaling_matrix_present_flag,0.0004891785148562068
SPS_num_ref_frames,0.0003830050306403618
SPS_vui_parameters_present_flag,0.0003184648443536983
