Feature,Importance
meta,1.9659118943422778
GOP,1.704747733186802
stss,0.8066666806639194
ctts,0.7701319463058871
elst(2)_Media Time,0.702643489875259
sgpd,0.5763489895017456
sbgp,0.5763489895017456
mdhd_Timescale,0.2813693629311548
mdhd(2)_Timescale,0.2740272373981668
mdhd_Language Code,0.24049459735817902
mdhd(2)_Language Code,0.23893792238101302
mdhd_Create Time,0.20573919805742166
tkhd(2)_Create Time,0.20573919805742166
tkhd_Create Time,0.20573919805742166
mvhd_Create Time,0.20573919805742166
mdhd(2)_Create Time,0.20573919805742166
tkhd_Width,0.1835625543029396
tkhd_Height,0.1835625543029396
tkhd(2)_Height,0.17838198234973324
tkhd(2)_Width,0.17838198234973324
stco,0.1534328714051467
tkhd(2)_Modify Time,0.12208855861302287
mdhd_Modify Time,0.12208855861302287
mdhd(2)_Modify Time,0.12208855861302287
mvhd_Modify Time,0.12208855861302287
tkhd_Modify Time,0.12208855861302287
free,0.10876729185211176
ftyp_Major Brand,0.08585304015949095
elst(2)_Rate,0.070268132225261
SDLN,0.07026813222526085
smrd,0.06508756027205452
smta,0.06452974388336642
ftyp_Minor Version,0.062103249513196804
ftyp_Compatible Brands,0.05997875467616395
hdlr,0.05700099834096854
tref,0.05182042638776194
elst_Rate,0.04376487667139335
mvhd_Timescale,0.040270574394814435
elst_Media Time,0.04020013875487684
auth,0.031127471296218543
stco(2),0.030005966375125544
sbgp(2),0.022562670964219142
sgpd(2),0.022562670964219142
meta(2),0.022562670964219142
type,0.01930696457090367
hdlr(2),0.013947523371000393
smme,0.00876695141779382
vmhd,0.008766951417793819
skip,0.008766951417793819
soct,0.0030846726948805794
stsz(2)_Sample Size,0.0010908020021660608
stsd(5)_Entry Count,0.0
dinf(5),0.0
hdlr(9),0.0
gmhd(3),0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
hdlr(10),0.0
tkhd(5)_Width,0.0
elst(5)_Rate,0.0
tkhd(5)_Track ID,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Create Time,0.0
elst(5)_Media Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
stsc(5)_Entry Count,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
stts(5)_Entry Count,0.0
csgm,0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
0,0.0
vhdr,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
hdlr(8),0.0
sgpd(3),0.0
cslg,0.0
wide,0.0
stco(5),0.0
dinf(4),0.0
mdhd(4)_Modify Time,0.0
gmhd(2),0.0
tkhd(3)_Width,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
SPS,0.0
tapt,0.0
sdtp,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
hdlr(3),0.0
mvhd_Preferred Volume,0.0
mdhd(2)_Duration,0.0
mdhd_Duration,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Duration,0.0
mvhd_Next Track ID,0.0
elst_Entries,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
tkhd_Track ID,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Height,0.0
hdlr(7),0.0
elst(3)_Entry Count,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
dinf,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
mdhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Language Code,0.0
stsc(3)_Entry Count,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
