Feature,Importance
mdhd_Timescale,0.07306245870921725
mdhd(2)_Timescale,0.07228577088617943
auth,0.06822053689765509
GOP,0.06642386281755565
elst_Media Time,0.04959731007647877
elst(2)_Media Time,0.045129214749655006
tkhd_Width,0.04117459342882004
stco,0.033334869710391006
elst_Rate,0.03241018080488381
mdhd_Language Code,0.029951258612537286
tkhd(2)_Width,0.028528371174935598
type,0.027242116931077552
meta,0.026590724462782572
ctts,0.026299601959267574
stco(2),0.02540106774518483
tkhd_Height,0.024445376509695475
tkhd(2)_Height,0.02212827304167167
smta,0.019943018504028784
mdhd(2)_Language Code,0.018870885560866482
mvhd_Timescale,0.018735317898289618
ftyp_Major Brand,0.018105649765559343
tkhd_Create Time,0.017257485201036763
sbgp,0.016013984606929144
free,0.015911351863468603
sgpd,0.015727549040066093
mdhd(2)_Create Time,0.014733964643702515
mdhd(2)_Modify Time,0.014127448527456874
stss,0.012284349544982918
mvhd_Create Time,0.011146335629404138
tkhd(2)_Create Time,0.010238197964428063
hdlr(2),0.009429706514821662
mvhd_Modify Time,0.009213431036005339
tkhd(2)_Modify Time,0.008944740045947705
ftyp_Compatible Brands,0.008233134455002577
SDLN,0.007888200701828519
soct,0.007675961925067881
mdhd_Create Time,0.007534692963219014
skip,0.006886245016287047
smrd,0.006150917876487875
ftyp_Minor Version,0.00520554919556125
hdlr,0.005089592618474443
smme,0.004943399122518161
mdhd_Modify Time,0.004860509579979575
tref,0.003070344617474443
tkhd_Modify Time,0.002690168914113925
elst(2)_Rate,0.0025054815057688274
vmhd,0.0023752470523597073
meta(2),0.000953595551670782
sgpd(2),0.0007012612183723606
sbgp(2),0.0001765140872535926
stsz(2)_Sample Size,0.00015017873357740674
hdlr(10),0.0
dinf(5),0.0
stsd(4)_Entry Count,0.0
gmhd(3),0.0
stsd(5)_Entry Count,0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
stts(4)_Entry Count,0.0
tkhd(5)_Track ID,0.0
stsc(4)_Entry Count,0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
stsz(4)_Sample Size,0.0
stts(5)_Entry Count,0.0
tkhd(5)_Create Time,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Modify Time,0.0
sgpd(4),0.0
stsc(5)_Entry Count,0.0
tagc(2),0.0
0,0.0
vhdr,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
wide,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc,0.0
stsz(5)_Sample Size,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
hdlr(8),0.0
csgm(2),0.0
csgm,0.0
sgpd(3),0.0
cslg,0.0
stco(5),0.0
stsz(5)_Sample Count,0.0
dinf(4),0.0
elst(4)_Rate,0.0
gmhd(2),0.0
tkhd(3)_Duration,0.0
hdlr(3),0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
SPS,0.0
tapt,0.0
sdtp,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
mvhd_Preferred Volume,0.0
mdhd(2)_Duration,0.0
mvhd_Next Track ID,0.0
stsc_Entry Count,0.0
elst_Entries,0.0
mdhd_Duration,0.0
elst_Entry Count,0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsz_Sample Size,0.0
tkhd_Track ID,0.0
stsz_Sample Count,0.0
tkhd_Duration,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Width,0.0
hdlr(7),0.0
tkhd(3)_Height,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
mdhd(3)_Timescale,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Duration,0.0
stts(3)_Entry Count,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
