Feature,Importance
meta,1.9682938956661695
GOP,1.6990390415506982
stss,0.8057730075543869
ctts,0.7695185462330746
elst(2)_Media Time,0.6998079055276596
sgpd,0.575948446006386
sbgp,0.575948446006386
mdhd_Timescale,0.28051986686993
mdhd(2)_Timescale,0.274964956658888
mdhd_Language Code,0.23956454200559268
mdhd(2)_Language Code,0.23746173860936176
mdhd_Create Time,0.20626047546431822
tkhd(2)_Create Time,0.20626047546431822
tkhd_Create Time,0.20626047546431822
mvhd_Create Time,0.20626047546431822
mdhd(2)_Create Time,0.20626047546431822
tkhd_Width,0.18274676964155176
tkhd_Height,0.18274676964155176
tkhd(2)_Height,0.17827720576330183
tkhd(2)_Width,0.17827720576330183
stco,0.15281893481068062
tkhd(2)_Modify Time,0.12350048440559133
mdhd_Modify Time,0.12350048440559133
mdhd(2)_Modify Time,0.12350048440559133
mvhd_Modify Time,0.12350048440559133
tkhd_Modify Time,0.12350048440559133
free,0.10701447140134213
ftyp_Major Brand,0.08602083684382525
elst(2)_Rate,0.07066497773548297
SDLN,0.07066497773548296
smrd,0.06619541385723299
smta,0.06566979001551201
ftyp_Minor Version,0.06325872299269612
ftyp_Compatible Brands,0.060559420810063214
hdlr,0.05730507054835851
tref,0.05283550667010798
elst_Rate,0.04440459792782653
mvhd_Timescale,0.040233783605981746
elst_Media Time,0.03931897591224785
auth,0.0319270898824735
stco(2),0.031488118169722475
sequence,0.02488958383749314
sbgp(2),0.022959163932823927
sgpd(2),0.022959163932823927
meta(2),0.022959163932823927
type,0.019883215809288503
hdlr(2),0.015243062636140853
skip,0.010773498757890689
vmhd,0.010773498757890689
smme,0.01077349875789049
soct,0.0026017136365285983
stsz(2)_Sample Size,0.001631613438732376
mdhd(5)_Timescale,0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
gmhd(3),0.0
mdhd(5)_Duration,0.0
hdlr(10),0.0
hdlr(9),0.0
stsd(5)_Entry Count,0.0
dinf(5),0.0
mdhd(5)_Language Code,0.0
tkhd(5)_Width,0.0
tref(3),0.0
elst(5)_Rate,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
stsc(5)_Entry Count,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
stts(5)_Entry Count,0.0
csgm,0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
0,0.0
vhdr,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
hdlr(8),0.0
sgpd(3),0.0
cslg,0.0
wide,0.0
stco(5),0.0
dinf(4),0.0
mdhd(4)_Modify Time,0.0
gmhd(2),0.0
tkhd(3)_Width,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
SPS,0.0
tapt,0.0
sdtp,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
hdlr(3),0.0
mvhd_Preferred Volume,0.0
mdhd(2)_Duration,0.0
mdhd_Duration,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Duration,0.0
mvhd_Next Track ID,0.0
elst_Entries,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
tkhd_Track ID,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Height,0.0
hdlr(7),0.0
elst(3)_Entry Count,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
dinf,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
mdhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Language Code,0.0
stsc(3)_Entry Count,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
