Feature,Importance
mdhd(2)_Timescale,0.07164682357133068
auth,0.0674602782167628
GOP,0.060006637116472875
elst(2)_Media Time,0.05991973290308872
mdhd_Timescale,0.05950934305351367
elst_Media Time,0.045977943213477444
tkhd_Width,0.03367910570603205
elst_Rate,0.031631470095999814
meta,0.029828768330036132
type,0.028968963882940787
sequence,0.028895112916493226
mdhd(2)_Language Code,0.0265279556165411
tkhd(2)_Width,0.02578077661430632
sbgp,0.02310450188305758
stco(2),0.02261086223512303
ctts,0.022396895578215573
tkhd(2)_Height,0.02222649925120681
tkhd_Height,0.022100486443526864
mvhd_Timescale,0.01946793289122223
sgpd,0.019242829500152908
mdhd_Language Code,0.019059363064644588
stco,0.017030359010132123
free,0.016512802112572496
tref,0.015250503700908967
mvhd_Create Time,0.014940364865769122
tkhd(2)_Create Time,0.014695531219574193
ftyp_Major Brand,0.013669674957184989
tkhd(2)_Modify Time,0.013389270718679356
tkhd_Create Time,0.0123084679389419
ftyp_Compatible Brands,0.012272841806352186
stss,0.010948836400137987
mdhd(2)_Create Time,0.01089624004851905
tkhd_Modify Time,0.010873054124544748
mdhd_Create Time,0.010474287992438951
smme,0.010199988207089242
ftyp_Minor Version,0.010194059141462692
skip,0.010172580271727915
smrd,0.010060943840184739
mvhd_Modify Time,0.00844071154334361
hdlr,0.008297106178232512
SDLN,0.006386361076667359
soct,0.005016388628312592
vmhd,0.004846790887859574
smta,0.004352821840429091
mdhd_Modify Time,0.002690765462491852
mdhd(2)_Modify Time,0.0023223353742062485
elst(2)_Rate,0.001388820226427935
sgpd(2),0.0009141992418607453
sbgp(2),0.0007055890787875886
meta(2),0.0006082113867892413
stsz(2)_Sample Size,9.781063422578215e-05
mdhd(5)_Modify Time,0.0
stsd(5)_Entry Count,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
dinf(5),0.0
gmhd(3),0.0
mdhd(5)_Language Code,0.0
hdlr(10),0.0
elst(5)_Rate,0.0
hdlr(9),0.0
tkhd(5)_Duration,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
stsc(5)_Entry Count,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
stco(4),0.0
stsz(4)_Sample Count,0.0
stsz(4)_Sample Size,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
stts(5)_Entry Count,0.0
sgpd(4),0.0
stsz(5)_Sample Size,0.0
tagc(2),0.0
0,0.0
vhdr,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
wide,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc,0.0
stsz(5)_Sample Count,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
hdlr(8),0.0
csgm(2),0.0
csgm,0.0
sgpd(3),0.0
cslg,0.0
mvhd_Duration,0.0
stco(5),0.0
dinf(4),0.0
mdhd(4)_Create Time,0.0
gmhd(2),0.0
tkhd(3)_Height,0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
tkhd_Track ID,0.0
mvhd_Next Track ID,0.0
SPS,0.0
mvhd_Preferred Volume,0.0
tapt,0.0
sdtp,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
hdlr(4),0.0
smhd,0.0
hdlr(3),0.0
tkhd(2)_Track ID,0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
mdhd_Duration,0.0
tkhd_Duration,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst_Entries,0.0
elst_Entry Count,0.0
mdhd(2)_Duration,0.0
tkhd(3)_Width,0.0
elst(3)_Entry Count,0.0
hdlr(7),0.0
elst(3)_Entries,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
hdlr(2),0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
mdhd(3)_Duration,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mvhd_Preferred Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Language Code,0.0
stsc(3)_Entry Count,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
