Feature,Importance
mdhd_Timescale,0.04474309099045445
SPS_pic_width_in_mbs_minus1,0.040170135903250956
SPS_level_idc,0.03100869167938337
SPS_frame_crop_right_offset,0.02852340343732747
elst_Media Time,0.028400828360955338
SPS_pic_height_in_map_units_minus1,0.027473565582801812
sequence,0.027199146546348852
mdhd(2)_Timescale,0.024237447056074054
elst_Rate,0.02350297477551631
GOP,0.023313742139288572
elst(2)_Media Time,0.023075584092603477
tkhd(2)_Width,0.022275724463928538
SPS_frame_crop_bottom_offset,0.021541879170890503
auth,0.021464391092828904
SPS_vui.transfer_characteristics,0.018952044475517352
meta,0.018130487700714647
SPS_vui.video_full_range_flag,0.016953681323933437
tkhd_Height,0.016533838888015406
SPS_frame_cropping_flag,0.015594581755617896
SPS_vui.matrix_coefficients,0.01552030105368147
tkhd(2)_Height,0.014707508920644895
ftyp_Major Brand,0.014202957054899086
free,0.013341121672305072
sbgp,0.01330502958312974
type,0.012929470647810906
SPS_frame_crop_top_offset,0.012653304774442682
ftyp_Minor Version,0.011691818966930268
sgpd,0.01165057816145192
SPS_vui.log2_max_mv_length_horizontal,0.011294210521432995
mdhd_Create Time,0.010918342896764204
SPS_frame_crop_left_offset,0.010608022061592993
SPS_vui.colour_primaries,0.010484820914777402
SPS_vui.time_scale,0.010457082432489561
tkhd(2)_Modify Time,0.010426727486282737
mdhd(2)_Language Code,0.010210063549576997
SPS_num_ref_frames,0.010075415191261573
SPS_pic_order_cnt_type,0.009862533552447898
SPS_vui.max_dec_frame_buffering,0.009599314517862733
ctts,0.00952336684095463
SPS_constraint_set0_flag,0.009252771256148458
SPS_vui.max_bytes_per_pic_denom,0.009059947489816422
SPS_vui.num_units_in_tick,0.008771929656770634
hdlr(2),0.008308525387347512
mdhd(2)_Create Time,0.008237137090584861
mvhd_Timescale,0.008207590512743192
mdhd_Language Code,0.00802710580178158
tkhd_Width,0.007810866933247058
SPS_qpprime_y_zero_transform_bypass_flag,0.0076288598110981
tkhd_Create Time,0.00741075336434402
SPS_vui.video_format,0.007385938893879014
SPS_vui.video_signal_type_present_flag,0.0072394049634478905
SPS_vui.aspect_ratio_idc,0.007185673376178152
SPS_vui.log2_max_mv_length_vertical,0.006859455739142881
smrd,0.0067910182021469435
SPS_vui.bitstream_restriction_flag,0.006632969621820445
elst(2)_Rate,0.006611745913018628
mvhd_Modify Time,0.00660457510912653
vmhd,0.0060945436749097045
SPS_chroma_format_idc,0.006069655021832727
hdlr,0.005550598165527575
mdhd(2)_Modify Time,0.005538157039455218
tref,0.005339454942778891
SPS_vui.timing_info_present_flag,0.00529223468164912
SPS_log2_max_pic_order_cnt_lsb_minus4,0.005246293250115348
SPS_vui.aspect_ratio_info_present_flag,0.005207237668329113
SPS_bit_depth_chroma_minus8,0.0051091851595487766
tkhd(2)_Create Time,0.004867501136653769
smme,0.004702990434696848
SPS_vui.colour_description_present_flag,0.0046897069708671055
SPS_vui.chroma_loc_info_present_flag,0.004680097387361292
SPS_profile_idc,0.004566063102076425
SPS_vui.num_reorder_frames,0.004482802851964113
stss,0.004410131850796637
stco,0.004156677486994696
soct,0.004073920031307298
tkhd_Modify Time,0.004068406289407696
SDLN,0.004036974727071054
ftyp_Compatible Brands,0.0038114584426319296
SPS_constraint_set2_flag,0.00358757003981296
SPS_hrd.time_offset_length,0.0035524208054969575
SPS_vui.fixed_frame_rate_flag,0.0035321401711287236
SPS_constraint_set4_flag,0.003358888908972489
smta,0.0032354943621818975
SPS_vui_parameters_present_flag,0.0032351073229390254
stco(2),0.0031512750591577332
SPS_gaps_in_frame_num_value_allowed_flag,0.0027308798203482367
SPS_seq_scaling_matrix_present_flag,0.002672186570891228
mvhd_Create Time,0.002499062199953481
SPS_hrd.dpb_output_delay_length_minus1,0.002440150379915391
SPS_log2_max_frame_num_minus4,0.0023893957337169937
SPS_hrd.cpb_removal_delay_length_minus1,0.0021401740759448354
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0019060505014322105
SPS_bit_depth_luma_minus8,0.0016961475153684047
SPS_vui.max_bits_per_mb_denom,0.0016903581711299068
SPS_hrd.cpb_size_scale,0.0014390948046697442
SPS_constraint_set3_flag,0.0013579687107003083
mdhd_Modify Time,0.0012926911953864656
SPS_seq_parameter_set_id,0.0012509339494033767
SPS_constraint_set1_flag,0.0011075331097386424
skip,0.0009271786691064285
SPS_constraint_set5_flag,0.0007617097807877444
sgpd(2),0.0007187028063522033
SPS_vui.nal_hrd_parameters_present_flag,0.00069833829952059
stsz(2)_Sample Size,2.7474835170710443e-05
meta(2),2.348252596455753e-05
stco(4),0.0
stts(5)_Entry Count,0.0
hdlr(10),0.0
dinf(5),0.0
stsd(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Size,0.0
hdlr(9),0.0
stco(5),0.0
0,0.0
gmhd(3),0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
cslg,0.0
csgm,0.0
sbgp(2),0.0
sgpd(3),0.0
tgas,0.0
SPS_hrd.cpb_cnt_minus1,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
elst_'Duration,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
elst(2)_'Duration,0.0
ctts(2),0.0
vhdr,0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
tkhd(5)_Track ID,0.0
stsz(3)_Sample Size,0.0
stsz(4)_Sample Count,0.0
SPS_direct_8x8_inference_flag,0.0
stsz(2)_Sample Count,0.0
SPS,0.0
tapt,0.0
sdtp,0.0
tkhd_Track ID,0.0
mvhd_Next Track ID,0.0
mvhd_Preferred Volume,0.0
SPS_frame_mbs_only_flag,0.0
mvhd_Preferred Rate,0.0
stts(2)_Entry Count,0.0
mvhd_Duration,0.0
SPS_vui.overscan_info_present_flag,0.0
wide,0.0
SPS_vui.vcl_hrd_parameters_present_flag,0.0
SPS_vui.pic_struct_present_flag,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
stsc(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
stsz(4)_Sample Size,0.0
tkhd(2)_Duration,0.0
mdhd_Duration,0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
elst_Entries,0.0
dinf(2),0.0
elst_Entry Count,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
tkhd_Duration,0.0
mdhd(2)_Duration,0.0
hdlr(3),0.0
smhd,0.0
hdlr(4),0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
mdhd(4)_Timescale,0.0
