Feature,Importance
sgpd(3),0.10791850195271299
sgpd(2),0.09247918359968425
cslg,0.08733416290309413
csgm,0.08486017212441109
sgpd(4),0.07366248503378432
ctts,0.047952774983294144
sbgp(2),0.04792789293633471
stco,0.036278579756451115
sdtp,0.03537348402408345
csgm(2),0.034281356199216545
stss,0.031869900384140164
stsz(5)_Sample Size,0.027693567673180458
stco(5),0.02472518185829486
stco(4),0.02350021757520082
elst(5)_Rate,0.02105218913480944
stco(2),0.020913114720632207
mvhd_Next Track ID,0.019568552974411
mdhd(5)_Create Time,0.01584982766194166
tkhd(5)_Width,0.015125485629704314
tref(3),0.01494901752736395
hdlr(10),0.013677089971732502
mdhd(5)_Timescale,0.012896742535056545
mdhd(5)_Language Code,0.011131245654768737
stsz(3)_Sample Size,0.010454143667051684
tkhd(5)_Height,0.009483059973191732
tkhd(5)_Create Time,0.008036304761879077
hdlr(9),0.007832979689716184
gmhd(3),0.006378080930149768
tkhd(5)_Modify Time,0.006260993568836018
sequence,0.00560344673751267
tkhd(5)_Track ID,0.005548363747161961
stsz(4)_Sample Size,0.005484883513241873
elst(2)_Media Time,0.00543290314197783
meta(2),0.004844646804648402
elst(5)_Media Time,0.004773283139775992
dinf(5),0.0033804525156609084
stco(3),0.002916589741906509
sbgp,0.002614250186992168
tagc(2),0.001232781474746191
elst(4)_Media Time,0.0011396315558626334
hdlr(3),0.0011036816854161225
mdhd(5)_Modify Time,0.0010772355577252008
tkhd(2)_Width,0.0008584568516058043
sgpd,0.000791711076695108
tref,0.0007425492629648588
gmhd(2),0.0006457748550175832
sdtp(2),0.0005937153091934638
ctts(2),0.0004397070090655016
tkhd(2)_Height,0.0003411514076630546
hdlr,0.0003190163958732874
vmhd(2),0.000318657382815102
mdhd(2)_Timescale,0.00017815641193219222
elst(4)_Rate,0.00013718949828825483
mdhd(3)_Timescale,1.1550346482510292e-05
tagc,2.32361661746869e-06
hdlr(5),1.4687081474160478e-06
stss(2),1.326598820408794e-07
stts(4)_Entry Count,0.0
tapt(2),0.0
stsc(4)_Entry Count,0.0
skip,0.0
stsz(4)_Sample Count,0.0
smme,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Language Code,0.0
dinf(4),0.0
hdlr(8),0.0
hdlr(7),0.0
auth,0.0
mdhd(4)_Duration,0.0
0,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
vhdr,0.0
name(2),0.0
elst(2)_'Duration,0.0
tkhd(5)_Duration,0.0
cslg(2),0.0
stsz(5)_Sample Count,0.0
elst(4)_Entries,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
mdhd(5)_Duration,0.0
free,0.0
tgas,0.0
free(2),0.0
SDLN,0.0
smrd,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
type,0.0
elst_'Duration,0.0
stsc(5)_Entry Count,0.0
ftyp_Major Brand,0.0
elst(4)_Entry Count,0.0
mdhd_Modify Time,0.0
mdhd_Duration,0.0
mdhd_Language Code,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd_Timescale,0.0
mdhd_Create Time,0.0
mdhd(2)_Modify Time,0.0
elst_Rate,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Track ID,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Width,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Duration,0.0
tkhd(4)_Height,0.0
elst(3)_Media Time,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
ftyp_Minor Version,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
elst(3)_Rate,0.0
elst(3)_Entries,0.0
mdhd(2)_Language Code,0.0
elst(3)_Entry Count,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Size,0.0
stsz(2)_Sample Count,0.0
meta,0.0
SPS,0.0
tapt,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
soct,0.0
