Feature,Importance
SPS_vui.video_format,0.18640348969610213
ctts,0.18640348969610213
cslg,0.18640348969610213
SPS_vui.chroma_loc_info_present_flag,0.18440514469950653
SPS_log2_max_pic_order_cnt_lsb_minus4,0.18440514469950653
SPS_pic_order_cnt_type,0.18440514469950653
SPS_log2_max_frame_num_minus4,0.18440514469950653
SPS_seq_scaling_matrix_present_flag,0.18440514469950653
SPS_vui.bitstream_restriction_flag,0.18440514469950653
SPS_vui.pic_struct_present_flag,0.18440514469950653
SPS_vui.vcl_hrd_parameters_present_flag,0.18440514469950653
SPS_vui.nal_hrd_parameters_present_flag,0.18440514469950653
SPS_vui.timing_info_present_flag,0.18440514469950653
SPS_vui.transfer_characteristics,0.18440514469950653
SPS_qpprime_y_zero_transform_bypass_flag,0.18440514469950653
SPS_vui.colour_description_present_flag,0.18440514469950653
SPS_profile_idc,0.18440514469950653
SPS_constraint_set0_flag,0.18440514469950653
SPS_constraint_set1_flag,0.18440514469950653
SPS_constraint_set2_flag,0.18440514469950653
SPS_constraint_set3_flag,0.18440514469950653
SPS_constraint_set4_flag,0.18440514469950653
SPS_constraint_set5_flag,0.18440514469950653
SPS_seq_parameter_set_id,0.18440514469950653
SPS_chroma_format_idc,0.18440514469950653
SPS_bit_depth_luma_minus8,0.18440514469950653
SPS_num_ref_frames,0.18440514469950653
SPS_bit_depth_chroma_minus8,0.18440514469950653
SPS_pic_width_in_mbs_minus1,0.18440514469950653
SPS_vui.video_signal_type_present_flag,0.18440514469950653
SPS_direct_8x8_inference_flag,0.18440514469950653
SPS_vui.overscan_info_present_flag,0.18440514469950653
SPS_vui.aspect_ratio_info_present_flag,0.18440514469950653
SPS_frame_mbs_only_flag,0.18440514469950653
SPS_vui_parameters_present_flag,0.18440514469950653
SPS_gaps_in_frame_num_value_allowed_flag,0.18440514469950653
sdtp,0.18440448979259996
sgpd(2),0.1837073595752864
SPS_level_idc,0.18160768514395267
SPS_vui.video_full_range_flag,0.154671690613082
sbgp(2),0.15114403783576055
SPS_frame_crop_bottom_offset,0.13792841336011644
SPS_frame_crop_top_offset,0.13792841336011644
SPS_frame_crop_right_offset,0.13792841336011644
SPS_frame_crop_left_offset,0.13792841336011644
sgpd(3),0.12728545744421105
SPS_vui.matrix_coefficients,0.10072616151100702
SPS_frame_cropping_flag,0.0948871057763324
SPS_pic_height_in_map_units_minus1,0.06533794606053535
sbgp,0.04647673133939119
sgpd,0.04647672553389658
csgm,0.04357853361151775
csgm(2),0.043357393212642585
stsz(5)_Sample Size,0.043086710491869205
sgpd(4),0.04170391215310076
SPS_vui.colour_primaries,0.03790453426474338
stco(4),0.0276807460137037
stco,0.0257043278424148
stsz(3)_Sample Size,0.024687941934903316
stss,0.02356806856757975
stco(2),0.017555500058584843
stsz(2)_Sample Size,0.016147905914797755
mvhd_Next Track ID,0.015566889408320638
hdlr(9),0.015566889408320638
tref(3),0.015566889408320638
gmhd(3),0.015566889408320638
dinf(5),0.015566889408320638
hdlr(10),0.01556688940832053
mdhd(5)_Timescale,0.01556688940832053
mdhd(5)_Language Code,0.01556688940832053
elst(5)_Media Time,0.01502443626531954
elst(5)_Rate,0.015024436265319515
stco(5),0.014340766769404167
tkhd(5)_Track ID,0.013568544411724582
tkhd(5)_Create Time,0.013568544411724582
tkhd(5)_Modify Time,0.013568544411724582
tkhd(5)_Width,0.013568544411724582
mdhd(5)_Create Time,0.013568544411724582
mdhd(5)_Modify Time,0.013568544411724582
tkhd(5)_Height,0.013568544411724582
stsz(4)_Sample Size,0.012959676797033477
GOP,0.010827684595610676
meta(2),0.00922769136023708
elst(2)_Media Time,0.008637917975974976
tkhd(2)_Height,0.005275491623890558
tkhd(2)_Width,0.005275491623890558
hdlr(3),0.005275491623885777
mdhd_Timescale,0.004694475117412937
mdhd(2)_Timescale,0.003277146627293934
hdlr,0.0026961301208167886
tkhd_Height,0.0026961301208167886
tkhd_Width,0.0026961301208167886
tagc(2),0.0025793615030734983
