Feature,Importance
csgm(2),0.07621525212466693
sgpd(4),0.07074946607094552
sgpd(3),0.05097803023688146
SPS_pic_height_in_map_units_minus1,0.04812316662068222
ctts,0.04132092364763509
GOP,0.038083027558253615
SPS_vui.pic_struct_present_flag,0.03402508024465587
csgm,0.032593039849516586
mdhd(5)_Language Code,0.028163803037119045
stco(2),0.02725835600113352
tkhd(5)_Width,0.027244839285282284
SPS_constraint_set2_flag,0.02637000065126266
SPS_num_ref_frames,0.026207226468924254
SPS_log2_max_frame_num_minus4,0.025730888822949927
SPS_qpprime_y_zero_transform_bypass_flag,0.02462231612441555
stco,0.024268486214343465
stco(5),0.022553645267455975
hdlr(9),0.020387653164503937
stss,0.018614085795049792
stco(4),0.01580111329510628
elst(2)_Media Time,0.015753611329382206
tref(3),0.01558523690319099
sbgp(2),0.015467674601094309
SPS_constraint_set4_flag,0.014846508589696095
SPS_vui_parameters_present_flag,0.014341544932809806
elst(5)_Media Time,0.013770754090813778
gmhd(3),0.013576763175977214
mdhd(5)_Create Time,0.013399791101645488
SPS_seq_parameter_set_id,0.013083732833385377
SPS_vui.aspect_ratio_info_present_flag,0.013015641288720054
SPS_vui.video_signal_type_present_flag,0.012292551023650653
tkhd(5)_Modify Time,0.011929070500361207
stsz(5)_Sample Size,0.011928294818186145
SPS_vui.bitstream_restriction_flag,0.011694951167781506
SPS_bit_depth_chroma_minus8,0.011430070505045825
SPS_pic_order_cnt_type,0.010792675309071431
cslg,0.010706633934870964
SPS_profile_idc,0.010541169890063165
dinf(5),0.010292579598209655
stsz(2)_Sample Size,0.010283893629005645
SPS_vui.matrix_coefficients,0.010077122883980095
SPS_constraint_set1_flag,0.00880952751901345
mdhd(5)_Timescale,0.008013990430766251
stsz(3)_Sample Size,0.007844718125290357
tkhd(5)_Height,0.00738913668548637
stsz(4)_Sample Size,0.005885824980483705
meta(2),0.004663238912867227
mdhd(5)_Modify Time,0.004442012882411888
sdtp,0.002652246131034588
elst(4)_Media Time,0.0019064848467924996
stco(3),0.0010673392309611045
mdhd(2)_Timescale,0.0007614911163920238
hdlr,0.0005526196501502474
elst(5)_Rate,0.0004060231301882633
elst(3)_Media Time,0.0003274474142729376
sgpd(2),0.0003239919805294103
tkhd(2)_Width,0.00031884872804280247
sgpd,0.0003084834217157879
tkhd(2)_Height,0.00013365331632571973
mdhd_Timescale,3.926172453987382e-05
hdlr(3),1.5331641306304992e-05
elst(4)_Rate,1.1316683308908579e-05
tagc,3.4583866966640974e-06
ctts(2),2.386948313595387e-06
sgpd(5),4.935253844937127e-07
gmhd(2),3.746748016924881e-17
mdhd(3)_Timescale,2.4615352331507608e-17
sdtp(2),9.30352477398357e-18
tkhd_Track ID,0.0
tkhd_Height,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
tkhd_Width,0.0
stsz(5)_Sample Count,0.0
tkhd_Duration,0.0
tkhd_Modify Time,0.0
tkhd_Create Time,0.0
tapt,0.0
hdlr(10),0.0
mvhd_Preferred Volume,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
mvhd_Timescale,0.0
mvhd_Modify Time,0.0
tapt(2),0.0
vmhd(2),0.0
mvhd_Create Time,0.0
cslg(2),0.0
mvhd_Next Track ID,0.0
elst_Entry Count,0.0
elst_Entries,0.0
hdlr(2),0.0
stsc_Entry Count,0.0
stsz(4)_Sample Count,0.0
stts_Entry Count,0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
stsd_Entry Count,0.0
tkhd(5)_Duration,0.0
dinf,0.0
elst(5)_Entry Count,0.0
elst_Media Time,0.0
elst(5)_Entries,0.0
vmhd,0.0
mdhd_Language Code,0.0
mdhd_Duration,0.0
mdhd_Modify Time,0.0
mdhd_Create Time,0.0
elst_Rate,0.0
mdhd(5)_Duration,0.0
stss(2),0.0
wide,0.0
stts(4)_Entry Count,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
SDLN,0.0
smrd,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
auth,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
soct,0.0
SPS_hrd.time_offset_length,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
