Feature,Importance
tref,0.08309183134715313
tkhd(4)_Track ID,0.08254018505475434
stsz(3)_Sample Size,0.06826699358140269
tref(2),0.06205869001093464
gmhd(2),0.05806069971682185
tkhd(3)_Height,0.0494118938937973
elst(4)_Rate,0.03911600944340304
stsz(4)_Sample Size,0.03683732660166812
tkhd(4)_Width,0.03493161974648405
elst(4)_Media Time,0.03231580218947022
mdhd(4)_Timescale,0.032249090703308586
mdhd(4)_Modify Time,0.03222520870483733
hdlr(5),0.031710299489807456
hdlr(8),0.020517142531289688
tkhd(4)_Modify Time,0.0184993680265845
mdhd(3)_Create Time,0.017880280389241186
tkhd(5)_Height,0.017040663253912288
tkhd(4)_Height,0.016200401248135335
mdhd(3)_Language Code,0.016166928024887114
hdlr(9),0.015756406145904466
dinf(4),0.015459519517209077
hdlr(6),0.01517271284666879
meta(2),0.014956546646554143
stco(5),0.014568904783874908
mdhd(5)_Modify Time,0.014203226288698365
elst(5)_Media Time,0.01283387485001111
SPS_direct_8x8_inference_flag,0.010108948206364885
stco(2),0.009587076321851908
stco,0.009402151969107368
SPS_pic_order_cnt_type,0.008688487136319036
stsz(2)_Sample Size,0.008436439502093265
sgpd,0.007952575631494657
sgpd(2),0.0064608752014835725
tkhd(5)_Create Time,0.005738203828075212
elst(2)_Media Time,0.0035911239213196624
hdlr(7),0.003188937010871657
SPS_vui.matrix_coefficients,0.0030204891240030608
elst(5)_Rate,0.0029977696788741344
sgpd(3),0.0027878094484060445
SPS_profile_idc,0.002698693873403728
SPS_constraint_set1_flag,0.002652268680987004
hdlr(4),0.0025409406785853977
SPS_log2_max_pic_order_cnt_lsb_minus4,0.0025254347394465648
SPS_num_ref_frames,0.002423332567119063
mdhd(5)_Language Code,0.0023063507688618826
SPS_log2_max_frame_num_minus4,0.0022677231645715037
sdtp,0.0022295339641153966
SPS_chroma_format_idc,0.0020809575298171047
stsz(5)_Sample Size,0.002079594224148331
SPS_vui.bitstream_restriction_flag,0.0020700045930383383
stss,0.0019818143547057072
stco(4),0.0019148426691729002
SPS_vui.nal_hrd_parameters_present_flag,0.0019083330031062983
SPS_frame_crop_left_offset,0.0017300795150334356
SPS_bit_depth_luma_minus8,0.001723208654959413
SPS_vui.aspect_ratio_info_present_flag,0.0015356833592974082
SPS_frame_mbs_only_flag,0.0015197762800763558
SPS_frame_crop_bottom_offset,0.0014926291590153695
cslg,0.001435036115671101
tref(3),0.00132934626678249
SPS_gaps_in_frame_num_value_allowed_flag,0.001322752849194781
gmhd(3),0.0013150902204639298
SPS_frame_cropping_flag,0.0012448575412172436
SPS_vui.vcl_hrd_parameters_present_flag,0.0012258145499217752
SPS_seq_scaling_matrix_present_flag,0.0011657590453809745
ctts,0.0011596488914182258
SPS_constraint_set3_flag,0.0011247711627216251
mvhd_Next Track ID,0.0010680108031909275
SPS_frame_crop_right_offset,0.0010472212666096895
SPS_vui_parameters_present_flag,0.0009486323695510524
dinf(5),0.0009260025664861543
tkhd(5)_Track ID,0.0009201707931480014
SPS_pic_width_in_mbs_minus1,0.0008939033851627961
sbgp(2),0.000887247685858556
stco(3),0.0008064273388954345
SPS_vui.overscan_info_present_flag,0.0007215847637147521
SPS_pic_height_in_map_units_minus1,0.0006527427588469965
SPS_vui.colour_primaries,0.0006322035156267962
SPS_vui.colour_description_present_flag,0.0006098990449758595
mdhd(4)_Create Time,0.0006011128084011591
tkhd(5)_Width,0.0005748695859785719
tkhd(5)_Modify Time,0.0005525291445310852
SPS_vui.video_signal_type_present_flag,0.0005370977853506497
SPS_bit_depth_chroma_minus8,0.00047235399405539427
mdhd(5)_Create Time,0.0004453534641598338
SPS_frame_crop_top_offset,0.00044377418202909587
tkhd_Height,0.00027122566790939163
csgm(2),0.00025194708872692303
sgpd(4),0.00024446452414190713
SPS_vui.video_full_range_flag,0.0001607269896893445
tkhd(2)_Width,0.00014412474547432564
hdlr(10),0.00012513785472062394
sequence,1.6318220569246138e-05
hdlr,5.7575104343523436e-06
hdlr(3),2.369702449501034e-06
elst(5)_Entry Count,0.0
SPS_hrd.time_offset_length,0.0
0,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
skip,0.0
smme,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.low_delay_hrd_flag,0.0
elst(5)_Entries,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Duration,0.0
SDLN,0.0
name(2),0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
vhdr,0.0
auth,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
elst(2)_'Duration,0.0
smrd,0.0
elst_'Duration,0.0
smta,0.0
type,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
stss(2),0.0
stts(5)_Entry Count,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
tagc(3),0.0
SPS_vui.max_bits_per_mb_denom,0.0
SPS_vui.max_bytes_per_pic_denom,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
free,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(2),0.0
stsz(5)_Sample Count,0.0
csgm,0.0
tagc,0.0
tapt(2),0.0
sdtp(2),0.0
vmhd(2),0.0
ctts(2),0.0
stsd(4)_Entry Count,0.0
SPS_vui.log2_max_mv_length_horizontal,0.0
mdhd(5)_Timescale,0.0
stsd(5)_Entry Count,0.0
SPS_hrd.cpb_size_scale,0.0
mdhd(5)_Duration,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_hrd.cpb_cnt_minus1,0.0
tgas,0.0
SPS_vui.aspect_ratio_idc,0.0
cslg(2),0.0
SPS_vui.log2_max_mv_length_vertical,0.0
SPS_vui.fixed_frame_rate_flag,0.0
stsc(5)_Entry Count,0.0
SPS_vui.time_scale,0.0
SPS_vui.num_units_in_tick,0.0
SPS_vui.max_dec_frame_buffering,0.0
SPS_vui.num_reorder_frames,0.0
ftyp_Major Brand,0.0
mdhd(3)_Modify Time,0.0
mdhd(4)_Language Code,0.0
mdhd_Language Code,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Timescale,0.0
mdhd(2)_Duration,0.0
vmhd,0.0
mdhd_Duration,0.0
mdhd(4)_Duration,0.0
mdhd_Timescale,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Track ID,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Width,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst_Rate,0.0
mdhd_Create Time,0.0
mdhd_Modify Time,0.0
mdhd(2)_Language Code,0.0
smhd,0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
ftyp_Minor Version,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
gmhd,0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Duration,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
SPS_constraint_set2_flag,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
meta,0.0
SPS,0.0
tapt,0.0
SPS_constraint_set0_flag,0.0
SPS_constraint_set4_flag,0.0
SPS_vui.pic_struct_present_flag,0.0
SPS_constraint_set5_flag,0.0
SPS_level_idc,0.0
SPS_seq_parameter_set_id,0.0
SPS_qpprime_y_zero_transform_bypass_flag,0.0
SPS_vui.video_format,0.0
SPS_vui.transfer_characteristics,0.0
SPS_vui.chroma_loc_info_present_flag,0.0
SPS_vui.timing_info_present_flag,0.0
soct,0.0
