Feature,Importance
tref(2),0.09524881874987773
tref,0.08061248410083519
mdhd(4)_Modify Time,0.06794567112207822
tkhd(4)_Height,0.0642617986477441
hdlr(5),0.0622015355050265
gmhd(2),0.04989327211668397
hdlr(6),0.04690888509686197
mdhd(3)_Modify Time,0.032204489614798854
tkhd(4)_Modify Time,0.031975648850234344
mdhd(4)_Language Code,0.03192954798791715
gmhd,0.03144102113150593
sequence,0.029863043690308233
mdhd(4)_Timescale,0.017384828060372483
tkhd(4)_Create Time,0.017146688733017768
dinf(4),0.017030736134676802
stsz(4)_Sample Size,0.016893584277179095
mvhd_Next Track ID,0.016848075555344608
tkhd(4)_Width,0.016667146521484003
tkhd(3)_Create Time,0.016555916454060834
mdhd(3)_Timescale,0.016165182557141333
hdlr(7),0.01612181015644257
tkhd(4)_Track ID,0.016053583315183875
tkhd(5)_Modify Time,0.016051966170426507
mdhd(4)_Create Time,0.01590232831935722
elst(3)_Media Time,0.015633234704559698
stsz(3)_Sample Size,0.011611189713346548
sgpd(2),0.010476089622703782
SPS_direct_8x8_inference_flag,0.009921701525420287
stco,0.009204481273786926
meta,0.006493413034004687
stco(2),0.006086808106339559
gmhd(3),0.0047668804401077266
sgpd,0.00472976695053895
SPS_qpprime_y_zero_transform_bypass_flag,0.00465215886456903
stsz(5)_Sample Size,0.004585567349376462
stco(5),0.004468077365728256
stsz(2)_Sample Size,0.004254167365156889
elst(2)_Media Time,0.004062679943394121
mdhd(5)_Modify Time,0.003880848431311021
SPS_constraint_set5_flag,0.0031273707855863685
stco(4),0.0029947439549859074
SPS_pic_width_in_mbs_minus1,0.002825375082810057
SPS_profile_idc,0.002806421578413854
elst(4)_Rate,0.0024367851943499497
mdhd(5)_Language Code,0.002374990024679907
SPS_constraint_set1_flag,0.002181059108001403
SPS_vui_parameters_present_flag,0.0020748165162768994
SPS_pic_height_in_map_units_minus1,0.00206070069613858
elst(5)_Rate,0.0019810922223306134
hdlr(9),0.0018573946918357803
SPS_vui.video_format,0.0018427532015125008
SPS_frame_crop_left_offset,0.001841993068236573
elst(5)_Media Time,0.001836133031402013
sgpd(3),0.0018271528611378135
SPS_frame_crop_right_offset,0.0018126905469471103
GOP,0.0017904437516603271
SPS_constraint_set2_flag,0.0017443321788946345
SPS_chroma_format_idc,0.0017052046486263873
SPS_frame_mbs_only_flag,0.0015483596666326887
mdhd(5)_Create Time,0.0014921804536302751
SPS_vui.pic_struct_present_flag,0.001424699913817243
tkhd(5)_Width,0.001363576361165335
SPS_constraint_set4_flag,0.0013406316379690106
sdtp,0.00129504996317144
SPS_frame_crop_top_offset,0.0012219906345729006
stss,0.0011870802880607097
SPS_log2_max_pic_order_cnt_lsb_minus4,0.001153557705302674
tkhd(3)_Width,0.0011464868156945342
SPS_vui.bitstream_restriction_flag,0.0011191594516751773
tref(3),0.0010773640737483528
SPS_num_ref_frames,0.0010556146959620986
sbgp(2),0.001054736376111849
SPS_vui.video_full_range_flag,0.0010545091495293248
SPS_pic_order_cnt_type,0.0009372862364408157
hdlr(10),0.000856354378636566
ctts,0.0007893153362588146
SPS_frame_cropping_flag,0.0007820239449652272
SPS_vui.video_signal_type_present_flag,0.0007608348082890786
SPS_seq_parameter_set_id,0.0007238243927119173
stco(3),0.0006802287776645938
tkhd(5)_Track ID,0.0006321785425386232
cslg,0.000616191286464632
dinf(5),0.0005748123850937484
SPS_gaps_in_frame_num_value_allowed_flag,0.0005415979709913255
SPS_vui.nal_hrd_parameters_present_flag,0.0005280691281590294
SPS_vui.colour_primaries,0.0005139170696363552
SPS_vui.timing_info_present_flag,0.0004911168157668693
SPS_vui.transfer_characteristics,0.00046903886556865453
elst_Media Time,0.0004605966174075008
sgpd(4),0.00043707286256474765
SPS_log2_max_frame_num_minus4,0.00040588449683326525
mdhd(5)_Timescale,0.0003356607068073471
tkhd_Height,0.00027381773454848506
csgm,0.00023058478375559855
tkhd(2)_Height,8.238756468743518e-05
tkhd(5)_Height,8.147620928734844e-05
meta(2),3.6183176381741466e-06
mdhd_Timescale,4.933591828443368e-07
elst(4)_Media Time,3.951832748828793e-08
smta,0.0
ftyp_Compatible Brands,0.0
co64_Entry Count,0.0
wide,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
SPS_hrd.cpb_cnt_minus1,0.0
mvhd_Create Time,0.0
stsz(5)_Sample Count,0.0
mvhd_Modify Time,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
SPS_hrd.bit_rate_scale,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
skip,0.0
elst(5)_Entry Count,0.0
soct,0.0
elst(5)_Entries,0.0
tkhd_Create Time,0.0
tkhd_Track ID,0.0
0,0.0
mvhd_Preferred Volume,0.0
mvhd_Timescale,0.0
smme,0.0
vhdr,0.0
mdhd(5)_Duration,0.0
mvhd_Preferred Rate,0.0
auth,0.0
mvhd_Duration,0.0
csgm(2),0.0
smrd,0.0
tapt(2),0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.num_reorder_frames,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.max_dec_frame_buffering,0.0
SPS_vui.num_units_in_tick,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_vui.log2_max_mv_length_vertical,0.0
SPS_vui.time_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_vui.fixed_frame_rate_flag,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_vui.aspect_ratio_idc,0.0
tgas,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
SPS_vui.log2_max_mv_length_horizontal,0.0
SDLN,0.0
tagc(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(3),0.0
SPS_vui.max_bits_per_mb_denom,0.0
sgpd(5),0.0
sbgp(3),0.0
free,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
free(2),0.0
SPS_vui.max_bytes_per_pic_denom,0.0
stsd(2)_Entry Count,0.0
mdhd(4)_Duration,0.0
tkhd(5)_Duration,0.0
SPS_seq_scaling_matrix_present_flag,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Width,0.0
SPS_frame_crop_bottom_offset,0.0
tkhd(2)_Duration,0.0
SPS_vui.aspect_ratio_info_present_flag,0.0
SPS_vui.overscan_info_present_flag,0.0
tkhd(2)_Modify Time,0.0
SPS_vui.colour_description_present_flag,0.0
SPS_vui.matrix_coefficients,0.0
SPS_vui.chroma_loc_info_present_flag,0.0
SPS_vui.vcl_hrd_parameters_present_flag,0.0
tkhd(3)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Height,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
tkhd_Modify Time,0.0
SPS_bit_depth_chroma_minus8,0.0
stsc(2)_Entry Count,0.0
dinf(2),0.0
stsz(2)_Sample Count,0.0
hdlr(4),0.0
smhd,0.0
sbgp,0.0
hdlr(3),0.0
SPS,0.0
mdhd(2)_Language Code,0.0
tapt,0.0
mdhd(2)_Duration,0.0
SPS_constraint_set0_flag,0.0
mdhd(2)_Timescale,0.0
SPS_constraint_set3_flag,0.0
mdhd(2)_Modify Time,0.0
SPS_level_idc,0.0
SPS_bit_depth_luma_minus8,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
tkhd(2)_Track ID,0.0
elst(3)_Rate,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
mdhd_Duration,0.0
mdhd_Modify Time,0.0
mdhd_Create Time,0.0
elst_Rate,0.0
stts(2)_Entry Count,0.0
elst_Entries,0.0
elst_Entry Count,0.0
hdlr(8),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
tkhd_Width,0.0
stsz(4)_Sample Count,0.0
tkhd_Duration,0.0
tkhd(5)_Create Time,0.0
mdhd_Language Code,0.0
hdlr,0.0
tkhd(4)_Duration,0.0
stts_Entry Count,0.0
stsz_Sample Count,0.0
mdhd(3)_Create Time,0.0
ftyp_Minor Version,0.0
stsz_Sample Size,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
stsc_Entry Count,0.0
dinf(3),0.0
vmhd,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsd_Entry Count,0.0
stsz(3)_Sample Count,0.0
dinf,0.0
hdlr(2),0.0
ftyp_Major Brand,0.0
