Feature,Importance
tref(2),1.173359818960569
tref,1.173359818960569
GOP,1.0352384981876899
stsz(3)_Sample Size,0.9469402137791828
sgpd(3),0.9033688744967714
cslg,0.768879882495984
sgpd(2),0.7635315339241715
stsz(4)_Sample Size,0.7420042987492157
ctts,0.7415235545908883
sdtp,0.7183825747553195
stss,0.6849773328279428
stco(2),0.6793249830933785
stsz(2)_Sample Size,0.624565416682771
stco(3),0.4832367596355906
stco,0.41641337591543853
stco(4),0.41534903923856736
sgpd(4),0.35961863327390997
csgm,0.3391176190444216
csgm(2),0.3371028013133946
meta(2),0.2829924109970334
sbgp(2),0.2697554350250173
tkhd(5)_Create Time,0.1736650859758358
tkhd(5)_Height,0.1736650859758358
tkhd(5)_Track ID,0.1736650859758358
mdhd(5)_Modify Time,0.1736650859758358
mdhd(5)_Create Time,0.1736650859758358
tkhd(5)_Modify Time,0.1736650859758358
tkhd(5)_Width,0.1736650859758358
dinf(5),0.16258497934157345
gmhd(3),0.16258497934157345
hdlr(9),0.16258497934157345
elst(5)_Rate,0.16258497934157345
tref(3),0.16258497934157345
hdlr(10),0.16258497934157343
mdhd(5)_Language Code,0.16258497934157343
mdhd(5)_Timescale,0.16258497934157343
elst(5)_Media Time,0.16258497934157343
stco(5),0.1539373297006037
tkhd(4)_Create Time,0.15265033871145942
tkhd(4)_Modify Time,0.15265033871145942
tkhd(4)_Width,0.15265033871145942
tkhd(4)_Height,0.15265033871145942
mdhd(4)_Modify Time,0.15265033871145942
mdhd(4)_Create Time,0.15265033871145942
stsz(5)_Sample Size,0.1419804940751463
dinf(4),0.14157023207719793
elst(4)_Rate,0.14157023207719793
gmhd(2),0.14157023207719793
hdlr(7),0.14157023207719793
tkhd(4)_Track ID,0.14157023207719788
hdlr(8),0.14157023207719788
mdhd(4)_Language Code,0.14157023207719788
mdhd(4)_Timescale,0.14157023207719788
tkhd(3)_Create Time,0.120354267315883
mdhd(3)_Create Time,0.120354267315883
mdhd(3)_Modify Time,0.120354267315883
tkhd(3)_Height,0.120354267315883
tkhd(3)_Width,0.120354267315883
tkhd(3)_Track ID,0.120354267315883
tkhd(3)_Modify Time,0.120354267315883
gmhd,0.10927416068162146
hdlr(5),0.10927416068162146
elst(3)_Rate,0.10927416068162146
dinf(3),0.10927416068162146
hdlr(6),0.10927416068162142
mdhd(3)_Language Code,0.10927416068162142
mdhd(3)_Timescale,0.10927416068162142
elst(2)_Media Time,0.10425185615999082
elst(4)_Media Time,0.08802090899265406
elst(3)_Media Time,0.0835318331156332
hdlr,0.06153910319331067
tkhd_Width,0.05926222766348994
tkhd_Height,0.05926222766348994
mvhd_Timescale,0.05435547985977602
tkhd(2)_Width,0.046447248580358064
tkhd(2)_Height,0.046447248580358064
meta,0.0463889002863362
ftyp_Compatible Brands,0.040272950070482476
ftyp_Major Brand,0.03349452854797923
hdlr(3),0.03197013444328987
hdlr(4),0.031968944933085386
tapt,0.031325647445189425
hdlr(2),0.031325532465614286
mvhd_Next Track ID,0.02974220514268007
mdhd_Timescale,0.02685742147121898
tkhd(2)_Create Time,0.019246817580785003
tkhd(2)_Modify Time,0.019246817580785003
mdhd(2)_Create Time,0.019246817580785003
mdhd(2)_Modify Time,0.019246817580785003
elst_Media Time,0.015198383796821499
free,0.014318768343117502
name(2),0.014318768343117448
tgas,0.012631926365906525
mdhd(2)_Language Code,0.00883648425902957
ftyp_Minor Version,0.006104084211687263
mvhd_Create Time,0.005911659485821044
mvhd_Modify Time,0.005911659485821044
sgpd,0.004975372954128455
sbgp,0.00497353415772562
elst(2)_Rate,0.0049735341577255955
mdhd(2)_Timescale,0.004550201586450567
mdhd_Language Code,0.00433012169260289
elst_Rate,0.0032386617088560033
dinf(2),0.0017348724488696014
tkhd(2)_Track ID,0.0017348724488695988
smhd,0.0017348724488695988
mdhd_Modify Time,8.011697712036803e-05
mdhd_Create Time,8.011697712036803e-05
tkhd_Create Time,8.011697712036803e-05
tkhd_Modify Time,8.011697712036803e-05
cslg(2),0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
mvhd_Preferred Volume,0.0
0,0.0
soct,0.0
tkhd_Track ID,0.0
skip,0.0
wide,0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
elst_'Duration,0.0
stss(2),0.0
sdtp(2),0.0
type,0.0
elst(2)_'Duration,0.0
co64(2)_Entry Count,0.0
auth,0.0
co64_Entry Count,0.0
smta,0.0
smrd,0.0
vhdr,0.0
smme,0.0
SDLN,0.0
free(2),0.0
tkhd_Duration,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
stsz(5)_Sample Count,0.0
elst(3)_Entries,0.0
stsc(5)_Entry Count,0.0
stsd(4)_Entry Count,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
mdhd(4)_Duration,0.0
mdhd(2)_Duration,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
