Feature,Importance
tref,0.10765942337256301
tref(2),0.08729080475898142
tkhd(4)_Height,0.06731404983341459
mdhd(4)_Timescale,0.06405885095908904
stsz(3)_Sample Size,0.06332895823871246
elst(4)_Rate,0.05088924366853871
elst(4)_Media Time,0.050570322667305136
gmhd(2),0.05044460408945726
mdhd(4)_Create Time,0.050196840015777636
hdlr(8),0.0492261867241263
hdlr(7),0.0342471838270081
mdhd(4)_Language Code,0.03417650972005256
dinf(4),0.03136877077484446
hdlr(6),0.029762030528041248
meta(2),0.024841666665511276
stsz(4)_Sample Size,0.019172145725801684
tkhd(4)_Modify Time,0.01802881341516184
mvhd_Next Track ID,0.0173066221636649
tkhd(4)_Track ID,0.017222232865558944
tkhd(3)_Width,0.01573785901897934
sgpd(4),0.011417419008082364
ctts,0.009407845074616216
sdtp,0.007928365886120703
sgpd(2),0.007839233732088767
sgpd(3),0.007736497000188985
GOP,0.0068727892655644374
stco,0.006609842380979287
sbgp(2),0.005956018402460923
stco(2),0.005724263897429509
cslg,0.00486612860677782
tkhd(5)_Width,0.004740531628234294
sgpd,0.003626361717123766
stco(5),0.003181056274920495
mdhd(5)_Language Code,0.0026576310121357322
stsz(2)_Sample Size,0.002602707889722261
elst(2)_Media Time,0.002496343947498171
mdhd(5)_Timescale,0.0024323330044086783
gmhd(3),0.002417016247440475
mdhd(5)_Modify Time,0.0022235124769800774
stss,0.0017607941115210604
stco(3),0.0014298042036362685
tkhd(5)_Track ID,0.0012731365373284975
csgm,0.0012473128144741446
elst(5)_Media Time,0.0012072767770230912
dinf(5),0.00119220963157462
stco(4),0.0010517344836492779
tkhd(5)_Height,0.001048592158915064
tkhd(5)_Modify Time,0.0008963859202904987
stsz(5)_Sample Size,0.0008254732300248076
mdhd(3)_Create Time,0.0007498362331238268
tkhd(5)_Create Time,0.0006180163278084436
hdlr(10),0.0005974595244986638
tref(3),0.0005880779804832138
mdhd(5)_Create Time,0.0005609757381713447
hdlr(9),0.0005145374053062545
dinf(3),0.0004791527210661036
hdlr,0.00016202107094458063
hdlr(3),9.309255739847267e-05
csgm(2),4.467780349629211e-05
tkhd(2)_Width,3.979361951922993e-05
sequence,2.136952609565447e-05
elst(5)_Rate,1.85159392090244e-05
tkhd_Height,7.37199078883288e-07
mdhd(5)_Duration,0.0
sdtp(2),0.0
stts(4)_Entry Count,0.0
smta,0.0
stss(2),0.0
stsd(4)_Entry Count,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
auth,0.0
vhdr,0.0
mdhd(4)_Duration,0.0
smme,0.0
skip,0.0
mdhd(4)_Modify Time,0.0
0,0.0
soct,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Count,0.0
tgas,0.0
elst(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
tagc,0.0
free,0.0
free(2),0.0
sbgp(3),0.0
elst(5)_Entries,0.0
SDLN,0.0
cslg(2),0.0
sgpd(5),0.0
tagc(3),0.0
tkhd(5)_Duration,0.0
tagc(2),0.0
tapt(2),0.0
smrd,0.0
vmhd(2),0.0
ctts(2),0.0
stsd(5)_Entry Count,0.0
ftyp_Major Brand,0.0
elst(4)_Entries,0.0
stsc_Entry Count,0.0
mdhd_Duration,0.0
mdhd_Language Code,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsz_Sample Size,0.0
mdhd_Modify Time,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
mdhd_Timescale,0.0
mdhd_Create Time,0.0
elst(2)_Rate,0.0
mvhd_Preferred Volume,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Track ID,0.0
elst_Rate,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Width,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst(2)_Entries,0.0
mdhd(2)_Create Time,0.0
elst(4)_Entry Count,0.0
hdlr(5),0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
tkhd(3)_Height,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
ftyp_Minor Version,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
mdhd(2)_Modify Time,0.0
stts(2)_Entry Count,0.0
mdhd(2)_Timescale,0.0
mdhd(2)_Duration,0.0
mdhd(2)_Language Code,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
tkhd(3)_Modify Time,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
meta,0.0
SPS,0.0
tapt,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
stsz(3)_Sample Count,0.0
