Feature,Importance
tref(2),0.10589509630713877
tkhd(4)_Create Time,0.06588070962035036
stsz(3)_Sample Size,0.06399902109611105
hdlr(8),0.06276754454621664
stsz(4)_Sample Size,0.053490142676455396
mdhd(4)_Create Time,0.04946489767915605
tref,0.03759208486922731
tkhd(4)_Height,0.03363489661870529
elst(4)_Media Time,0.033085090172484066
hdlr(5),0.031212391154086517
mdhd(5)_Timescale,0.025058366912465782
dinf(4),0.021330274369190914
gmhd(2),0.018342711061754308
mdhd(4)_Language Code,0.017213489211267665
hdlr(6),0.017173915928965465
mdhd(3)_Language Code,0.016828662330422114
stsz(5)_Sample Size,0.01651835963098274
tkhd(4)_Track ID,0.016475723224563543
tkhd(3)_Width,0.01635164530625547
hdlr(7),0.01632156870230477
gmhd,0.01627466195681096
tkhd(4)_Width,0.01621680978384343
stco(3),0.015817280753717956
elst(3)_Media Time,0.015781266908586652
dinf(3),0.015341540784413885
mdhd(3)_Create Time,0.015144094476280137
meta(2),0.01458262798570787
stco(4),0.013763353535523262
tkhd(5)_Height,0.01303530322015961
sgpd(2),0.012433878813941725
SPS_seq_parameter_set_id,0.009069067244274871
stco,0.007150423080746708
stco(2),0.006728603738526857
sgpd,0.0054723586056633034
mvhd_Next Track ID,0.004689634253312052
mdhd(4)_Modify Time,0.0045540671938822715
stco(5),0.004009623340834201
mdhd(5)_Language Code,0.0038647997898733515
SPS_vui.chroma_loc_info_present_flag,0.0036486448692050226
tkhd(5)_Width,0.0035911722906857542
hdlr(9),0.0035712064509322494
SPS_vui_parameters_present_flag,0.0033379601398842076
SPS_constraint_set0_flag,0.003132362268896642
SPS_pic_width_in_mbs_minus1,0.00311981373992134
SPS_gaps_in_frame_num_value_allowed_flag,0.003071000090301641
SPS_log2_max_frame_num_minus4,0.00287477898335086
elst(4)_Rate,0.0028578077102535825
GOP,0.00265397672349279
SPS_frame_crop_right_offset,0.0026392690821934583
SPS_pic_order_cnt_type,0.0023916647598527362
SPS_vui.bitstream_restriction_flag,0.0022869233330469886
sgpd(3),0.0022371851971852296
stss,0.002170949266029504
SPS_bit_depth_luma_minus8,0.0020586093139816175
SPS_frame_mbs_only_flag,0.0018601899396075605
tref(3),0.0018226288334835
stsz(2)_Sample Size,0.001789574144243278
dinf(5),0.0016675624096244269
SPS_bit_depth_chroma_minus8,0.0016662326915229694
SPS_profile_idc,0.0016528083239702861
hdlr(10),0.0016369274492562017
SPS_direct_8x8_inference_flag,0.0015563206497862575
SPS_vui.video_format,0.0015428894970896947
mdhd(3)_Modify Time,0.0015240061760425562
cslg,0.0014573268100512649
tkhd(5)_Track ID,0.001455945194073927
SPS_pic_height_in_map_units_minus1,0.001412612774998183
SPS_qpprime_y_zero_transform_bypass_flag,0.001312190939553681
SPS_chroma_format_idc,0.0012607751018064105
tkhd(5)_Create Time,0.0012287976727602403
SPS_vui.nal_hrd_parameters_present_flag,0.001207276354781181
SPS_vui.vcl_hrd_parameters_present_flag,0.0011788814116224292
SPS_frame_crop_left_offset,0.0011590022024134143
elst(5)_Media Time,0.0011476135097849942
mdhd(5)_Create Time,0.0010751006774974959
SPS_constraint_set2_flag,0.0010443267117005875
SPS_constraint_set1_flag,0.0010003281711458624
gmhd(3),0.0009694855768416073
sbgp(2),0.0009257937216159731
SPS_vui.aspect_ratio_info_present_flag,0.0009243933592697314
SPS_constraint_set3_flag,0.0008432479282170003
SPS_seq_scaling_matrix_present_flag,0.0008346134457467846
elst(2)_Media Time,0.0007806383460238413
SPS_vui.video_full_range_flag,0.0007300095687397919
elst(3)_Rate,0.0006328617806995386
SPS_frame_crop_bottom_offset,0.0004727227219703176
SPS_vui.video_signal_type_present_flag,0.0003692573763935163
