Feature,Importance
tref(2),0.09137098863227283
mdhd(4)_Create Time,0.06739705560784887
tkhd(4)_Modify Time,0.056077415332864165
tkhd(4)_Create Time,0.05064690944701408
elst(4)_Media Time,0.04928711358731866
mdhd(4)_Language Code,0.04890354296764614
dinf(4),0.04866325113319163
stsz(3)_Sample Size,0.04819585309315569
tref,0.045858141623980664
stsz(4)_Sample Size,0.03564046507028292
hdlr(8),0.03497254168742277
gmhd(2),0.033556287275335606
tkhd(4)_Track ID,0.03264248785983326
tkhd(3)_Width,0.03216285219757767
mdhd(3)_Create Time,0.031854071986800764
tkhd(3)_Modify Time,0.03166087238006203
mdhd(5)_Modify Time,0.028694273340394903
stco(3),0.016478646913327635
tkhd(4)_Width,0.016167046600609167
tkhd(3)_Height,0.01603521285667999
mdhd(4)_Timescale,0.01597291565357732
hdlr(6),0.015924278311989518
stsz(5)_Sample Size,0.014371996658964452
sgpd(3),0.013357748676093281
sbgp(2),0.011557086992877936
sgpd(2),0.01069078508360373
hdlr(5),0.009508280295102133
csgm(2),0.00879650261138777
sdtp,0.008408766510055867
ctts,0.006881401919289348
stco(2),0.006206735017193915
elst(2)_Media Time,0.0061258381261939734
stco(4),0.005938456686078857
cslg,0.005340022881555056
stco,0.004191783546266045
tkhd(4)_Height,0.003822332049485077
tref(3),0.003351192701828973
hdlr(9),0.0030691431903461654
stss,0.002726196382161114
tapt,0.0026820133690389288
tkhd(5)_Width,0.0026434188633751225
tkhd(5)_Create Time,0.0024673502700368354
gmhd(3),0.002302974146431721
sgpd,0.0022385620577030866
tkhd(5)_Height,0.002232392445346164
tkhd(5)_Track ID,0.0021530190590888787
stco(5),0.0020309739162513146
csgm,0.0015825458351939334
stsz(2)_Sample Size,0.001392068128751711
sgpd(4),0.0012691812068849162
elst(5)_Rate,0.0012338058960676328
hdlr(10),0.0005627435301602576
mdhd(4)_Modify Time,0.000467825978026466
elst(5)_Media Time,0.0004395332695582313
mdhd(5)_Create Time,0.0004180954104460551
tkhd(5)_Modify Time,0.0003761395317478886
mvhd_Next Track ID,0.00030811659188068665
mdhd(5)_Timescale,0.0002149762830930505
meta(2),0.0001879319028509783
sequence,0.00013680517623674662
hdlr,4.976540354356938e-05
tkhd(2)_Width,4.177624537809772e-05
dinf(5),3.3090666113867275e-05
mdhd(5)_Language Code,2.8401929123919324e-05
smrd,0.0
free,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
auth,0.0
tgas,0.0
free(2),0.0
hdlr(7),0.0
SDLN,0.0
type,0.0
vhdr,0.0
smme,0.0
sbgp(3),0.0
skip,0.0
smta,0.0
co64_Entry Count,0.0
mdhd(4)_Duration,0.0
co64(2)_Entry Count,0.0
0,0.0
name(2),0.0
stsc(4)_Entry Count,0.0
tagc(3),0.0
sgpd(5),0.0
stsz(4)_Sample Count,0.0
elst(2)_'Duration,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
tkhd(5)_Duration,0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
mdhd(5)_Duration,0.0
elst_'Duration,0.0
ftyp_Major Brand,0.0
elst(4)_Rate,0.0
stts_Entry Count,0.0
mdhd_Timescale,0.0
mdhd_Duration,0.0
mdhd_Language Code,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stsc_Entry Count,0.0
mdhd_Create Time,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Height,0.0
mdhd_Modify Time,0.0
elst_Rate,0.0
elst(4)_Entries,0.0
mvhd_Preferred Volume,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Track ID,0.0
elst_Media Time,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Width,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
gmhd,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
dinf(3),0.0
mdhd(2)_Create Time,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
ftyp_Minor Version,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Duration,0.0
elst(4)_Entry Count,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Timescale,0.0
mdhd(2)_Duration,0.0
mdhd(2)_Language Code,0.0
hdlr(3),0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
meta,0.0
SPS,0.0
soct,0.0
