Feature,Importance
meta,2.8915752164163364
mdhd_Language Code,1.2277836330284222
ctts,1.2120409820914184
mvhd_Timescale,1.0785292601665033
stco(2),0.8833044712567066
ftyp_Minor Version,0.8212912524376809
hdlr(3),0.7669338011259611
hdlr(4),0.7668893165041162
cslg,0.7286706689395714
hdlr(2),0.6614042407557688
tapt,0.6614016873741435
sdtp,0.5911204637632366
ftyp_Compatible Brands,0.5699505764942903
mdhd(2)_Language Code,0.534118477618546
stco,0.4418100204056457
ftyp_Major Brand,0.42027130244360966
mdhd_Timescale,0.34002941773556694
GOP,0.27658079405180985
sgpd,0.20051014791309368
elst(2)_Rate,0.200509927301984
sbgp,0.20050992730198366
elst_Rate,0.19923494945541914
tkhd_Width,0.19708774112801947
tkhd_Height,0.19708774112801947
elst(2)_Media Time,0.18181473141291635
hdlr,0.1411226580817969
csgm,0.1271862940130427
sgpd(4),0.12715045981830728
csgm(2),0.12715045981830728
elst_Media Time,0.12603109427426287
tkhd(3)_Track ID,0.1138005332388552
tkhd(3)_Height,0.1138005332388552
mdhd(3)_Modify Time,0.1138005332388552
tkhd(3)_Width,0.1138005332388552
tkhd(3)_Modify Time,0.1138005332388552
mdhd(3)_Create Time,0.1138005332388552
tkhd(3)_Create Time,0.1138005332388552
tgas,0.11146792573716442
stsz(5)_Sample Size,0.1113160016736399
tkhd(4)_Height,0.10827033005113805
tkhd(4)_Width,0.10827033005113805
mdhd(4)_Modify Time,0.10827033005113805
mdhd(4)_Create Time,0.10827033005113805
tkhd(4)_Create Time,0.10827033005113805
tkhd(4)_Modify Time,0.10827033005113805
mvhd_Create Time,0.1008136884498402
mvhd_Modify Time,0.1008136884498402
mvhd_Next Track ID,0.08045948635362035
elst(5)_Rate,0.07814432723964405
hdlr(9),0.07814432723964405
tref(3),0.07814432723964405
dinf(5),0.07814432723964405
gmhd(3),0.07814432723964405
mdhd(5)_Timescale,0.07814432723964365
elst(5)_Media Time,0.07814432723964365
hdlr(10),0.07814432723964365
mdhd(5)_Language Code,0.07814432723964365
tkhd(2)_Modify Time,0.07778241360619982
mdhd(2)_Create Time,0.07778241360619982
mdhd(2)_Modify Time,0.07778241360619982
tkhd(2)_Create Time,0.07778241360619982
stco(5),0.07619188000312413
name(2),0.06762517779364186
free,0.06762517779364173
tkhd(2)_Height,0.06675294731280954
tkhd(2)_Width,0.06675294731280954
tref,0.06336021166383499
tref(2),0.06336021166383499
stsz(3)_Sample Size,0.05969410373165587
tkhd(5)_Modify Time,0.0534654444221332
tkhd(5)_Track ID,0.0534654444221332
tkhd(5)_Width,0.0534654444221332
mdhd(5)_Modify Time,0.0534654444221332
mdhd(5)_Create Time,0.0534654444221332
tkhd(5)_Create Time,0.0534654444221332
tkhd(5)_Height,0.0534654444221332
mdhd_Create Time,0.050926061616828416
mdhd_Modify Time,0.050926061616828416
tkhd_Modify Time,0.050926061616828416
tkhd_Create Time,0.050926061616828416
stsz(4)_Sample Size,0.04863225603996261
stco(4),0.04835440982839906
elst(3)_Media Time,0.03203883708092797
stco(3),0.025508945106190013
sbgp(2),0.024739307488711188
gmhd(2),0.023339441610638435
hdlr(7),0.023339441610638435
dinf(4),0.023339441610638435
elst(4)_Rate,0.023339441610638435
hdlr(8),0.023339441610638213
mdhd(4)_Language Code,0.023339441610638213
mdhd(4)_Timescale,0.023339441610638213
tkhd(4)_Track ID,0.023339441610638213
elst(4)_Media Time,0.023339441610638213
hdlr(5),0.01780923842292207
gmhd,0.01780923842292207
dinf(3),0.01780923842292207
elst(3)_Rate,0.01780923842292207
mdhd(3)_Language Code,0.01780923842292188
mdhd(3)_Timescale,0.01780923842292188
hdlr(6),0.01780923842292188
mdhd(2)_Timescale,0.015404960551387578
stsz(2)_Sample Size,0.014277675634489022
sequence,0.013447183336963903
sgpd(2),0.009955233349185473
stss,0.008698661588515849
sgpd(3),0.004459311843469084
meta(2),0.0023326075016904353
dinf(2),0.0012749778465659912
tkhd(2)_Track ID,0.0012749778465659892
smhd,0.0012749778465659892
wide,0.0
stsz(5)_Sample Count,0.0
elst_Entries,0.0
tapt(2),0.0
vmhd(2),0.0
soct,0.0
0,0.0
skip,0.0
smme,0.0
vhdr,0.0
auth,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
type,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
smta,0.0
smrd,0.0
SDLN,0.0
free(2),0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
stts(5)_Entry Count,0.0
ctts(2),0.0
stsc(5)_Entry Count,0.0
elst(4)_Entries,0.0
stsd(5)_Entry Count,0.0
tkhd_Duration,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
tkhd_Track ID,0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
stsz_Sample Count,0.0
mvhd_Preferred Volume,0.0
stsz_Sample Size,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
dinf,0.0
vmhd,0.0
mdhd_Duration,0.0
elst_Entry Count,0.0
stsz(2)_Sample Count,0.0
SPS,0.0
mdhd(5)_Duration,0.0
elst(4)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsz(4)_Sample Count,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Duration,0.0
tkhd(4)_Duration,0.0
mvhd_Preferred Rate,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
mvhd_Duration,0.0
stsz(3)_Sample Count,0.0
