Feature,Importance
sdtp,0.0459775410400567
ctts,0.045963577626855365
elst_Media Time,0.04585942474604664
GOP,0.043846730818940687
sbgp(2),0.042956263051847784
mdhd(2)_Language Code,0.04295285597969263
stco(2),0.033390816265145666
mdhd_Timescale,0.03315390477521959
meta,0.030981548479096052
mvhd_Timescale,0.029790812373872894
sgpd(2),0.028771002129834262
hdlr(3),0.028610133393221732
sgpd,0.027804723803822044
elst(2)_Media Time,0.02301886441856701
stco,0.02200738253654495
mdhd(2)_Timescale,0.02113147124390458
ftyp_Minor Version,0.019037359091087346
mdhd_Create Time,0.01816040299631831
stss,0.017885636130682402
ftyp_Major Brand,0.017362620457783088
cslg,0.0169314668596739
tapt,0.015683909816653175
mdhd_Language Code,0.013623004700474178
ftyp_Compatible Brands,0.013261182977026232
stsz(4)_Sample Size,0.012899755497617288
hdlr(4),0.01231247606671244
tkhd_Width,0.0111805944461853
mdhd(2)_Modify Time,0.010420500620896335
tkhd_Height,0.010239957668088471
stsz(3)_Sample Size,0.010194836457776406
mdhd_Modify Time,0.010154670771988667
mvhd_Next Track ID,0.009817986026062767
tkhd(3)_Track ID,0.009340652552525096
stco(4),0.008870509251987362
hdlr(2),0.008804916854463322
tkhd_Modify Time,0.008801842014904608
elst_Rate,0.008377315153275038
tkhd_Create Time,0.00827432014001309
free,0.008009189976671946
mdhd(2)_Create Time,0.007204271991367752
stsz(2)_Sample Size,0.00686871206770504
tkhd(2)_Create Time,0.006850665154235488
tkhd(2)_Modify Time,0.006077090739291377
elst(3)_Rate,0.006057267440808743
sbgp,0.0058525323623474105
hdlr,0.005660357283159582
tkhd(3)_Width,0.005612112529922975
tkhd(2)_Width,0.005364222794033615
dinf(3),0.005200869407911133
mdhd(3)_Language Code,0.005185811666178001
mdhd(3)_Timescale,0.005056712285986206
tkhd(3)_Modify Time,0.0048838714478605634
tkhd(3)_Height,0.004681494959613603
tkhd(3)_Create Time,0.004545235761580407
tkhd(4)_Modify Time,0.004142861488165816
stco(3),0.004000654531981512
sequence,0.003897729731529098
tkhd(4)_Create Time,0.0038475924618847275
csgm(2),0.0038298712640867237
tkhd(2)_Height,0.003827788951255946
tref(2),0.003668818667650773
mdhd(3)_Create Time,0.0034532016481341717
tkhd(5)_Modify Time,0.003100262237516324
mdhd(5)_Modify Time,0.002980496718799493
tkhd(4)_Track ID,0.0029587311925970768
dinf(4),0.002954874577403346
stco(5),0.0028906375797607747
elst(3)_Media Time,0.0028448146432512224
tkhd(4)_Width,0.0028141861997233683
mdhd(4)_Language Code,0.002468334210769968
tref,0.0023819114757244494
mdhd(3)_Modify Time,0.0023691818101591413
hdlr(5),0.0023363759962579853
name(2),0.0022393510257504847
tkhd(5)_Width,0.002203921060630249
elst(4)_Rate,0.002094514809972253
dinf(5),0.0020360814442579667
csgm,0.001984993213742891
hdlr(8),0.001962663086114905
tref(3),0.0019273673953666436
tkhd(5)_Height,0.0013445650156821802
mdhd(5)_Language Code,0.0012787335248490564
mdhd(4)_Modify Time,0.0012513593301584011
tkhd(5)_Create Time,0.0012072641499499494
hdlr(9),0.0011738253636556122
sgpd(4),0.0011333701596044567
stsz(5)_Sample Size,0.0010523647726997033
mdhd(5)_Timescale,0.0009652674495292492
meta(2),0.0007170818839932672
mdhd(5)_Create Time,0.0005731964190012345
hdlr(10),0.0005569979174427088
elst(5)_Rate,0.0005153062488607256
elst(2)_Rate,0.000447110805018624
gmhd(2),0.00042555186496703146
sgpd(3),0.0003238683928387652
tkhd(5)_Track ID,0.0002861504625864718
tkhd(4)_Height,0.0002325233453267744
dinf(2),0.0001455973075609472
elst(5)_Media Time,9.468633411126477e-05
smhd,7.451593570359128e-05
mdhd(4)_Timescale,2.0058790435390765e-05
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
vhdr,0.0
gmhd(3),0.0
smme,0.0
skip,0.0
soct,0.0
0,0.0
sdtp(2),0.0
stsz(5)_Sample Count,0.0
auth,0.0
tagc(2),0.0
tagc(3),0.0
stss(2),0.0
sgpd(5),0.0
sbgp(3),0.0
cslg(2),0.0
ctts(2),0.0
tgas,0.0
vmhd(2),0.0
free(2),0.0
tapt(2),0.0
SDLN,0.0
smrd,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
type,0.0
wide,0.0
tagc,0.0
mvhd_Create Time,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
