Feature,Importance
elst(2)_Media Time,0.028408491458369226
elst_Media Time,0.019790751324587248
GOP,0.01929258534433163
sdtp,0.01926823479834315
stco(2),0.018860692184159374
ctts,0.017292518018096982
meta,0.016700008818133293
SPS_vui_parameters_present_flag,0.016435986851241615
hdlr(3),0.016403438346601767
mvhd_Timescale,0.016151660059926357
SPS_num_ref_frames,0.015903582453523375
ftyp_Major Brand,0.015777318191981256
mdhd(2)_Language Code,0.015550487960195238
SPS_vui.time_scale,0.015343105822187104
ftyp_Minor Version,0.015285701718224999
SPS_level_idc,0.014533888610658291
mdhd_Modify Time,0.0135590081892547
cslg,0.013249224124407705
SPS_bit_depth_luma_minus8,0.01317244152295198
SPS_qpprime_y_zero_transform_bypass_flag,0.01317101003509878
SPS_bit_depth_chroma_minus8,0.013139193673828615
stco(4),0.013125043870579355
SPS_pic_width_in_mbs_minus1,0.012887334713635193
stco,0.012879809957088593
tapt,0.012748427437630707
mdhd_Timescale,0.012586930928126959
SPS_frame_cropping_flag,0.012265000757828017
SPS_profile_idc,0.012197672603953259
sbgp(2),0.01206106622586975
hdlr(2),0.01199882999352294
SPS_vui.video_full_range_flag,0.011828808209591049
SPS_vui.num_units_in_tick,0.010412611754529517
SPS_vui.aspect_ratio_info_present_flag,0.010087256435449157
SPS_vui.fixed_frame_rate_flag,0.0096531844747309
sgpd(2),0.009597437984550723
mdhd(2)_Timescale,0.009531202775319271
SPS_vui.matrix_coefficients,0.009505936817150777
tkhd_Create Time,0.009308092365670307
SPS_pic_height_in_map_units_minus1,0.009283804326219008
SPS_vui.overscan_info_present_flag,0.008886216099483093
stsz(4)_Sample Size,0.008743851347950374
SPS_vui.vcl_hrd_parameters_present_flag,0.008711712265113745
SPS_frame_crop_bottom_offset,0.008691699605864843
sgpd,0.00855858484729003
SPS_vui.chroma_sample_loc_type_bottom_field,0.008422449556426017
SPS_vui.chroma_loc_info_present_flag,0.008264766571679545
mdhd_Language Code,0.008134201269929324
SPS_vui.video_format,0.008031925650318761
SPS_vui.nal_hrd_parameters_present_flag,0.007938063663335054
ftyp_Compatible Brands,0.007851821214076795
tkhd(2)_Width,0.0077312597006830045
stco(3),0.007653507955043933
stsz(3)_Sample Size,0.007497501186489838
SPS_frame_crop_right_offset,0.0074772010797068515
hdlr(4),0.007377613448166358
SPS_log2_max_frame_num_minus4,0.007014028591896672
SPS_vui.chroma_sample_loc_type_top_field,0.006877608302643299
tkhd_Modify Time,0.006792368513022321
free,0.006753662765351891
SPS_vui.colour_primaries,0.006699976713562948
stss,0.00658170153694377
elst_Rate,0.006319995633539613
mdhd(2)_Modify Time,0.006278198836135134
SPS_vui.num_reorder_frames,0.00609558841882736
SPS_chroma_format_idc,0.005984431022323251
SPS_vui.transfer_characteristics,0.005931261386916198
tkhd(3)_Track ID,0.005899321459014479
SPS_vui.pic_struct_present_flag,0.005875632632595555
SPS_pic_order_cnt_type,0.005718352598799317
SPS_frame_mbs_only_flag,0.005716303701456641
tkhd_Width,0.0056502988176134585
name(2),0.005538052426426052
elst(3)_Rate,0.005492593589175397
SPS_constraint_set5_flag,0.0053465679831313255
mdhd(3)_Create Time,0.005316218040135313
hdlr(5),0.005068988063825845
SPS_constraint_set4_flag,0.005053347973986191
SPS_direct_8x8_inference_flag,0.004935155847389383
mdhd_Create Time,0.004929241015601056
tkhd(3)_Height,0.004882995784558059
SPS_frame_crop_top_offset,0.004856160894122692
tkhd_Height,0.004656519211402022
mvhd_Next Track ID,0.0043965490798416095
tkhd(4)_Modify Time,0.004390635497409772
SPS_vui.video_signal_type_present_flag,0.004371700633665881
SPS_constraint_set1_flag,0.004332062876120236
stco(5),0.004288209056507158
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.004191367880893283
tkhd(2)_Create Time,0.003860689729358732
tkhd(2)_Modify Time,0.0037770666065979086
sbgp,0.003758240924859858
hdlr,0.0036268110559017296
stsz(2)_Sample Size,0.003530206211255019
SPS_vui.bitstream_restriction_flag,0.0033282200430761622
tkhd(4)_Height,0.00311052580718374
SPS_frame_crop_left_offset,0.0031077814472124828
SPS_vui.colour_description_present_flag,0.0030498294304677604
tkhd(3)_Width,0.002934623900831818
tkhd(5)_Width,0.0028578509500343623
mdhd(2)_Create Time,0.0028292112693561666
SPS_seq_parameter_set_id,0.002819118071807337
SPS_constraint_set3_flag,0.002754476889052581
dinf(3),0.0026819756718111966
elst(2)_Rate,0.0026728144291333434
tkhd(2)_Height,0.002639972899847588
SPS_vui.aspect_ratio_idc,0.0025007675215103077
stsz(5)_Sample Size,0.0024667884967508906
hdlr(8),0.002443858035531175
SPS_constraint_set0_flag,0.002442048625587638
tkhd(3)_Create Time,0.0024111425253875458
hdlr(6),0.002407520520962967
SPS_seq_scaling_matrix_present_flag,0.0023883287520498563
SPS_log2_max_pic_order_cnt_lsb_minus4,0.0023374312386835587
sgpd(3),0.002252665245379945
sequence,0.002152626083467391
gmhd(2),0.0021046946627715866
mdhd(4)_Create Time,0.0020950003909035965
mdhd(5)_Create Time,0.0020769751886108626
tkhd(4)_Width,0.002054296942228929
tkhd(5)_Modify Time,0.0020247772689063947
mdhd(3)_Timescale,0.002002825753841889
elst(3)_Media Time,0.001999695258414036
tkhd(5)_Track ID,0.0019954713082886064
hdlr(7),0.001969510075256835
tkhd(4)_Create Time,0.0019476262722673715
tref(2),0.001926664712557329
tkhd(4)_Track ID,0.001748569522663085
mdhd(4)_Modify Time,0.001714910119112725
SPS_vui.max_bytes_per_pic_denom,0.0017069915139642077
SPS_constraint_set2_flag,0.0017016567350381622
SPS_vui.max_bits_per_mb_denom,0.001664614780532141
csgm(2),0.0016300240513646349
SPS_vui.max_dec_frame_buffering,0.0015294866808641912
tkhd(5)_Create Time,0.001500770426150293
mdhd(5)_Timescale,0.00146589875228672
SPS_vui.timing_info_present_flag,0.0014249981419887205
dinf(4),0.0013117947737081347
gmhd,0.001308971438147183
mdhd(3)_Language Code,0.0012987986774802818
SPS_gaps_in_frame_num_value_allowed_flag,0.0012297928227979088
elst(4)_Media Time,0.0012271673371456468
elst(4)_Rate,0.0011767274601222808
mvhd_Create Time,0.0010883931127820953
mdhd(4)_Timescale,0.001047919502499768
hdlr(10),0.0010431722054296624
mdhd(3)_Modify Time,0.0009950368715297986
sgpd(4),0.000989040237850226
tkhd(5)_Height,0.0009291941453871553
SPS_vui.low_delay_hrd_flag,0.000911414303287279
tref,0.0008509402959106941
mvhd_Modify Time,0.0007283017887663831
elst(5)_Media Time,0.0007250004906630225
tref(3),0.0007227058088293222
SPS_hrd.bit_rate_scale,0.0006742528981603257
mdhd(5)_Language Code,0.0006404359019163237
elst(5)_Rate,0.0006380016057796944
hdlr(9),0.0005960872308581758
SPS_vui.log2_max_mv_length_vertical,0.0005856282080237541
mdhd(4)_Language Code,0.0005425742494395615
meta(2),0.0004919080913638538
SPS_hrd.cpb_size_scale,0.00039546691287209093
gmhd(3),0.0002446402142760396
dinf(5),0.0002287340054119937
smhd,0.00015278507928875865
mdhd(5)_Modify Time,0.00010213443302719228
tkhd(2)_Track ID,8.011356279589273e-05
SPS_vui.log2_max_mv_length_horizontal,6.774638844079579e-05
dinf(2),5.241523345485279e-05
SPS_hrd.initial_cpb_removal_delay_length_minus1,3.9400387503589704e-05
csgm,1.2479882539416874e-18
mdhd_Duration,0.0
vmhd,0.0
tkhd_Track ID,0.0
tgas,0.0
elst(3)_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
SPS_hrd.cpb_cnt_minus1,0.0
dinf,0.0
tkhd(3)_Modify Time,0.0
sbgp(3),0.0
sgpd(5),0.0
stsd_Entry Count,0.0
tkhd(3)_Duration,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
tagc(2),0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
soct,0.0
0,0.0
skip,0.0
smme,0.0
vhdr,0.0
auth,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
type,0.0
tkhd_Duration,0.0
