Feature,Importance
stco(2),2882
stco,2480
GOP,1259
SPS_pic_height_in_map_units_minus1,765
SPS_level_idc,749
SPS_pic_width_in_mbs_minus1,617
sdtp,581
SPS_frame_crop_bottom_offset,512
mvhd_Timescale,477
hdlr,475
elst_Media Time,444
stss,387
stco(4),376
meta,321
cslg,319
mvhd_Next Track ID,310
SPS_vui_parameters_present_flag,309
elst(2)_Media Time,304
mdhd(2)_Language Code,262
SPS_vui.chroma_sample_loc_type_top_field,261
SPS_profile_idc,258
ftyp_Minor Version,243
elst(3)_Media Time,240
mdhd_Timescale,215
sgpd,211
SPS_frame_crop_right_offset,205
stsz(4)_Sample Size,158
ftyp_Major Brand,155
SPS_chroma_format_idc,136
SPS_num_ref_frames,134
SPS_vui.matrix_coefficients,134
tkhd_Width,120
mdhd(2)_Timescale,114
stsz(2)_Sample Size,101
SPS_vui.colour_primaries,98
SPS_frame_cropping_flag,96
sgpd(2),84
tref,83
ctts,71
tkhd_Create Time,70
stsz(3)_Sample Size,67
SPS_vui.video_full_range_flag,67
hdlr(2),67
SPS_vui.aspect_ratio_info_present_flag,63
SPS_seq_scaling_matrix_present_flag,61
stco(3),46
sbgp(2),45
tkhd(5)_Track ID,44
SPS_frame_crop_left_offset,37
SPS_vui.log2_max_mv_length_horizontal,36
hdlr(3),36
mdhd_Language Code,36
SPS_vui.chroma_loc_info_present_flag,31
SPS_vui.transfer_characteristics,31
SPS_vui.aspect_ratio_idc,28
ftyp_Compatible Brands,28
meta(2),25
tkhd(2)_Width,19
SPS_vui.video_format,18
tkhd(2)_Create Time,17
SPS_vui.time_scale,17
SPS_vui.video_signal_type_present_flag,14
SPS_log2_max_frame_num_minus4,14
SPS_vui.nal_hrd_parameters_present_flag,12
tkhd(4)_Track ID,11
SPS_vui.bitstream_restriction_flag,11
SPS_vui.timing_info_present_flag,10
elst_Rate,9
tapt,9
elst(5)_Media Time,8
hdlr(4),6
SPS_constraint_set1_flag,4
tkhd(4)_Create Time,3
stsz(5)_Sample Size,2
elst(3)_Rate,1
SPS_constraint_set4_flag,0
stsz_Sample Size,0
stsc(5)_Entry Count,0
stsz(5)_Sample Count,0
stco(5),0
tkhd(2)_Modify Time,0
tkhd(2)_Track ID,0
wide,0
stsz_Sample Count,0
sgpd(3),0
tagc,0
csgm,0
csgm(2),0
sgpd(4),0
tapt(2),0
vmhd(2),0
ctts(2),0
cslg(2),0
stss(2),0
stts(5)_Entry Count,0
stsd(5)_Entry Count,0
dinf(5),0
tkhd(2)_Duration,0
tkhd(2)_Height,0
tkhd(5)_Create Time,0
tkhd(5)_Modify Time,0
tkhd(5)_Duration,0
tkhd(5)_Width,0
tkhd(5)_Height,0
elst(5)_Entry Count,0
elst(5)_Entries,0
elst(5)_Rate,0
hdlr(10),0
tref(3),0
mdhd(5)_Create Time,0
mdhd(5)_Modify Time,0
mdhd(5)_Timescale,0
mdhd(5)_Duration,0
mdhd(5)_Language Code,0
hdlr(9),0
gmhd(3),0
sdtp(2),0
tagc(2),0
stsz(4)_Sample Count,0
