Feature,Importance
elst(2)_Rate,2.36178480783103
mvhd_Timescale,1.9972738035858881
tref(2),1.8143088406369325
ftyp_Compatible Brands,1.629837584644526
elst(2)_Media Time,1.5907615361934218
mdhd(2)_Timescale,1.4981025884290398
soct,1.3237119514737308
meta,1.3129212558189092
tkhd_Height,1.2562009029069257
tkhd_Width,1.2562009029069257
cslg,1.193390232477334
stsz(2)_Sample Size,1.1918961784038218
elst_Rate,1.169631376108154
free,1.1275868788641874
sgpd(2),1.081986058013108
sdtp,1.0704724297628034
stsz(3)_Sample Size,1.0553017313320612
sgpd(3),1.0165141778867208
sbgp,0.9918321627457412
sgpd,0.9918297701212686
ftyp_Minor Version,0.9467396896347287
stsz_Sample Size,0.9444104258917722
tkhd_Track ID,0.9444104258917722
dinf,0.9444104258917715
elst_Media Time,0.9067759671864092
auth,0.8982295913346361
stsz(5)_Sample Size,0.889088903951729
tkhd(2)_Height,0.8687775608391589
tkhd(2)_Width,0.8687775608391589
vhdr,0.8438103018821447
stco(5),0.7637477681912843
hdlr,0.7465182488849312
stss,0.7041682823271425
ftyp_Major Brand,0.6989031519710821
meta(2),0.6948505455185655
tapt,0.6347511742474687
sgpd(4),0.590210860406163
csgm,0.5877423976861
hdlr(2),0.5630543408013281
stsz(4)_Sample Size,0.5579111007951055
ctts,0.5307801051332629
tref,0.4986603042565573
csgm(2),0.4926086046948138
tkhd(2)_Modify Time,0.489518980724832
mdhd(2)_Modify Time,0.489518980724832
SDLN,0.42787431720241526
type,0.422859949749897
tkhd(2)_Create Time,0.4162302085331725
mdhd(2)_Create Time,0.4162302085331725
mdhd_Language Code,0.4135164804374201
sbgp(2),0.40534463296405115
mvhd_Modify Time,0.39500360095900233
stco(4),0.3884722776412768
smta,0.3803095051986384
smrd,0.3636438554873788
skip,0.35636562304399366
smme,0.35636562304399216
smhd,0.35092887862693034
tkhd(2)_Track ID,0.35092887862693034
dinf(2),0.3509288786269303
stco,0.3308129689283948
mvhd_Create Time,0.32171482876734303
tkhd_Modify Time,0.31984947620184256
mdhd_Modify Time,0.31984947620184256
name(2),0.30470176135478094
tkhd_Create Time,0.24656070401018196
mdhd_Create Time,0.24656070401018196
mdhd(4)_Modify Time,0.23934839063699653
mdhd(4)_Create Time,0.23934839063699653
tkhd(4)_Height,0.23934839063699653
tkhd(4)_Width,0.23934839063699653
tkhd(4)_Modify Time,0.23934839063699653
tkhd(4)_Create Time,0.23934839063699653
GOP,0.21280908765184414
stco(2),0.20984343360792201
stco(3),0.20780924632498166
hdlr(8),0.17511792892196196
mdhd(4)_Language Code,0.17511792892196196
mdhd(4)_Timescale,0.17511792892196196
tkhd(4)_Track ID,0.17511792892196196
dinf(4),0.1751179289219614
hdlr(7),0.1751179289219614
elst(4)_Rate,0.16934648239862654
mdhd_Timescale,0.16779328541883337
elst(4)_Media Time,0.16335869906275813
mvhd_Next Track ID,0.1453866100791508
tkhd(5)_Width,0.13473357180073783
tkhd(5)_Height,0.13473357180073783
mdhd(5)_Create Time,0.13473357180073783
mdhd(5)_Modify Time,0.13473357180073783
tkhd(5)_Modify Time,0.13473357180073783
tkhd(5)_Track ID,0.13473357180073783
tkhd(5)_Create Time,0.13473357180073783
tkhd(3)_Modify Time,0.13095360427372074
tkhd(3)_Track ID,0.13095360427372074
tkhd(3)_Create Time,0.13095360427372074
mdhd(3)_Modify Time,0.13095360427372074
mdhd(3)_Create Time,0.13095360427372074
tkhd(3)_Width,0.13095360427372074
tkhd(3)_Height,0.13095360427372074
mdhd(2)_Language Code,0.11273851983488047
vmhd(2),0.10072492515587037
sdtp(2),0.10072492515587031
gmhd(2),0.0743930037660911
tref(3),0.07050311008570345
gmhd(3),0.07050311008570345
dinf(5),0.07050311008570345
hdlr(9),0.07050311008570345
mdhd(5)_Timescale,0.07050311008570301
mdhd(5)_Language Code,0.07050311008570301
hdlr(10),0.07050311008570301
elst(3)_Media Time,0.06687160289961647
mdhd(3)_Language Code,0.06672314255868539
hdlr(6),0.06672314255868539
gmhd,0.06672314255868513
dinf(3),0.06672314255868513
elst(3)_Rate,0.06672314255868513
hdlr(5),0.06606629451535372
tgas,0.06581848194357082
elst(5)_Rate,0.06473166356236859
elst(5)_Media Time,0.06473166356236852
hdlr(4),0.059079146460825814
hdlr(3),0.05903015930346683
tagc(2),0.03649446344083527
tagc(3),0.036494463440835144
tagc,0.036494463440835144
tapt(2),0.03649446344083512
ctts(2),0.03649446344083463
sbgp(3),0.03649446344083463
cslg(2),0.03649446344083463
sgpd(5),0.03649446344083463
stss(2),0.036494463440834186
vmhd,0.012359148948067333
mdhd(3)_Timescale,0.009966033141127865
wide,0.0
mvhd_Duration,0.0
stsd_Entry Count,0.0
0,0.0
elst_'Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
elst(2)_'Duration,0.0
free(2),0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
stsc_Entry Count,0.0
elst_Entries,0.0
mdhd_Duration,0.0
stts_Entry Count,0.0
elst(3)_Entry Count,0.0
stsz_Sample Count,0.0
stsc(4)_Entry Count,0.0
mdhd(3)_Duration,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
tkhd(4)_Duration,0.0
SPS,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
stsz(2)_Sample Count,0.0
stsc(2)_Entry Count,0.0
mdhd(4)_Duration,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stts(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
stsz(4)_Sample Count,0.0
stsd(2)_Entry Count,0.0
tkhd(5)_Duration,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(3)_Entries,0.0
mdhd(5)_Duration,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
stsz(3)_Sample Count,0.0
