Feature,Importance
elst(2)_Media Time,0.06832624426852034
elst(2)_Rate,0.06272698598492385
tref(2),0.04354776748283313
mdhd(2)_Timescale,0.03784060388317863
stsz(3)_Sample Size,0.03764363747799757
sbgp,0.03582126690657689
sequence,0.03426097666387733
tref,0.03321935136940204
elst(4)_Media Time,0.031554541173764286
mdhd(2)_Language Code,0.0287462124770573
hdlr(8),0.02592664668141742
mdhd_Language Code,0.020995582660191997
tkhd(4)_Height,0.020878024972222905
SDLN,0.020356546442560543
hdlr(7),0.020347088667696123
tkhd_Height,0.01928243208351569
sgpd,0.017809942577803908
stsz(4)_Sample Size,0.016910502378653866
stco(2),0.015813215314808476
ctts,0.015486153030230081
mdhd_Timescale,0.014730477923362734
smrd,0.013880096127018238
mdhd(4)_Create Time,0.013832303425161086
mdhd(4)_Timescale,0.013245579896088537
hdlr(6),0.013196745578750533
tkhd_Width,0.012653950474407025
elst(4)_Rate,0.012306176835736522
ftyp_Major Brand,0.01165601556535073
GOP,0.010097762542841815
auth,0.010077701728223176
tkhd(2)_Modify Time,0.009041024498825774
tkhd(4)_Modify Time,0.008506784909552529
mdhd(4)_Language Code,0.0084788525720436
smta,0.008474397482064385
tkhd(4)_Width,0.008124836667977166
gmhd(2),0.007810346428650723
sdtp,0.007796545974924851
elst_Media Time,0.007664974689527574
mvhd_Next Track ID,0.007575253209958582
ftyp_Compatible Brands,0.00746830383506619
gmhd(3),0.007453008830919745
dinf(4),0.007261299150271825
tkhd(3)_Track ID,0.006777656592705136
tkhd_Modify Time,0.0065559831803612065
stsz(2)_Sample Size,0.006474359547692005
dinf(5),0.006444884393704609
elst(3)_Rate,0.00630640719092113
cslg,0.006211588379691316
tkhd(4)_Track ID,0.006119969429220602
tkhd(5)_Width,0.006013949822721137
mvhd_Timescale,0.005903932266978139
vhdr,0.00586010817522721
mdhd(3)_Timescale,0.005676476217051822
ftyp_Minor Version,0.005508286404375933
tkhd(3)_Width,0.005324088729929891
sgpd(2),0.005267162337862079
sgpd(3),0.0051704146832479494
stsz_Sample Size,0.005058331880299255
mdhd(2)_Modify Time,0.004987093685894864
hdlr,0.004947430484227555
meta,0.004732843907902774
stco,0.004617157289677076
mdhd(2)_Create Time,0.00451890839950567
mdhd_Modify Time,0.0035643618245014604
smhd,0.00315186861497333
mdhd_Create Time,0.0030794513335950526
free,0.0029369291317172495
tkhd_Track ID,0.0026471507270565144
tkhd_Create Time,0.0023972357978826967
