Feature,Importance
tref(2),0.04893102119369696
SPS_frame_crop_right_offset,0.04258469296875224
stsz(3)_Sample Size,0.04234006493004414
SPS_level_idc,0.03329738523625284
tkhd(3)_Height,0.026500578463239166
tref,0.025445504829056907
tkhd(4)_Track ID,0.02278407056440386
sequence,0.022737758780983604
sgpd,0.021227971374870452
mdhd_Timescale,0.019929988287285403
SPS_vui.video_format,0.019305895805301267
dinf(4),0.018526114605231698
elst(2)_Media Time,0.01774399966626864
mdhd(4)_Timescale,0.016995348490667524
mdhd_Language Code,0.015831302169197484
elst(4)_Media Time,0.014510578924705999
elst(2)_Rate,0.014264904088237933
ftyp_Minor Version,0.014040227911138953
tkhd(4)_Width,0.013976520818822717
sbgp,0.013876906256408736
auth,0.013870677390170377
gmhd(2),0.013525869849503616
mdhd(2)_Timescale,0.013100413015633467
hdlr(5),0.013041228653802622
ftyp_Compatible Brands,0.012712102507956886
SPS_log2_max_frame_num_minus4,0.011841261723425034
mdhd_Modify Time,0.011136044246460707
mdhd(2)_Create Time,0.01085670546636071
smrd,0.009935118125866862
SDLN,0.009897369423444945
SPS_vui.num_reorder_frames,0.00987872902616725
ctts,0.009632995203879103
sgpd(2),0.009610020408844058
stsz(4)_Sample Size,0.009566708887265974
SPS_pic_width_in_mbs_minus1,0.00931304910675311
mdhd_Create Time,0.009089757208640914
tkhd(4)_Modify Time,0.008871978413694043
SPS_pic_height_in_map_units_minus1,0.008774990057743475
elst_Media Time,0.008565955520136358
SPS_vui.max_bytes_per_pic_denom,0.008470956879340737
mdhd(2)_Language Code,0.008062188416298539
tkhd_Width,0.007923780665652629
SPS_num_ref_frames,0.00788261548383756
mdhd(4)_Modify Time,0.007416137040525171
sgpd(3),0.007291847792874584
SPS_log2_max_pic_order_cnt_lsb_minus4,0.007119986361276139
vhdr,0.007017999023607165
elst(3)_Media Time,0.0069361025648797415
stco(2),0.006801714577741427
tkhd_Height,0.006791678501759098
SPS_vui.log2_max_mv_length_horizontal,0.006759611876308659
elst(4)_Rate,0.006584603483203986
tkhd(4)_Height,0.006567179404470659
mdhd(4)_Create Time,0.006545794346900982
elst(5)_Media Time,0.006522542633697481
mdhd(3)_Create Time,0.006521215139444579
gmhd(3),0.0064872355331951105
